	Estimate	p-value
NCL	2.537671843716857	0.0
HNRNPM	0.9209968421867218	0.0
NUDT21	0.18078950069635347	0.0
PCBP1	1.8468273382794673	0.0
SRP54	-2.6486117794524913	0.0
HNRNPU	-3.7419127755502606	0.0
RBMS1	0.17605931883662396	0.0
SNRPA	0.45807323454498927	0.0
RBFOX2	-0.19876058143618103	0.0
OAS1	0.2586130259725001	0.0
KHDRBS1	2.3457458614038256	0.0
CELF5	2.0808714946479094	0.0
TUT1	4.3196241141438225	0.0
ESRP1	2.5027224298605804	0.0
RBM24	0.7320670058007781	0.0
NONO	1.6665797231620254	0.0
HNRNPDL	-2.273580745481473	0.0
HNRNPK	3.7718274478678153	0.0
RBMS3	2.8022035496164928	0.0
SNRPB2	-1.7681512398721662	0.0
ZRANB2	2.940038169975288	0.0
DHX58	-1.2913672268204097	0.0
CSTF2	2.9767151678563994	0.0
ZFP36L2	0.36756864746194773	0.0
MSI1	0.6199020780653537	0.0
SRSF6	-2.0086707886209023	0.0
GRSF1	0.6090729305180871	0.0
HNRNPF	0.7017495839364192	0.0
GRN	0.929945935720935	0.0
PPRC1	3.1763020230891588	0.0
SNRNP70	-1.0722815468241587	0.0
ZFP36	0.2968909570700715	0.0
PABPN1	0.5631075634786261	0.0
DDX19B	-0.5681460939622418	0.0
HNRNPH2	-2.263143275164151	0.0
ESRP2	-1.5226021483429422	0.0
HNRNPAB	0.49499530097032884	0.0
AGO1	-1.0452281484177661	0.0
YBX2	0.21512750047647833	0.0
RALY	-2.6060838472574375	0.0
RBM42	-1.5381851293234796	0.0
TRA2A	-0.10077009680144586	0.0
SF3B1	-0.5331554850314024	0.0
RAVER1	1.3256723080676052	0.0
IGF2BP2	0.6566816675814273	0.0
FXR1	0.9113186852666006	0.0
SRP14	-0.764809152446045	0.0
CMTR1	1.6915775182714128	0.0
G3BP1	1.094715627072662	0.0
PUM1	1.161453827664786	0.0
CPEB4	0.6172572220176908	0.0
SP1	2.9656036705641844	0.0
RBM38	0.8149784429211299	0.0
YTHDC1	4.125177713385442	0.0
MBNL1	-0.18791977503176227	0.0
SF3B4	-2.631125961485111	0.0
SRSF9	0.1578116338003821	0.0
TRA2B	-1.954875722135884	0.0
ZNF638	-1.642336175637268	0.0
AGO2	-0.8329561778358245	0.0
RBM5	-1.039327971074993	0.0
QKI	1.3463079360617796	0.0
SART3	2.5066535560003746	0.0
RBM6	-0.23105970511157903	0.0
TIA1	-0.26737191090402246	0.0
EIF4B	-4.456015027082088	0.0
HNRNPD	-0.8089073485189933	0.0
HNRNPLL	1.797401881297188	0.0
SYNCRIP	1.6710868814606463	0.0
ERI1	-2.5112566098837483	0.0
CPEB1	-0.7912666382906792	0.0
SRSF10	-2.0334895083560927	0.0
NOVA1	-0.5906693339450797	0.0
FXR2	2.374938934527632	0.0
DHX9	-3.018334405497596	0.0
G3BP2	-1.1655449695296412	0.0
SAMD4A	-2.3591263199920007	0.0
(Intercept)	-20.454523778208927	0.0
