	Estimate	p-value
CPEB2	-0.1820167496807002	0.0
SRSF7	0.5143762859190624	0.0
IFIH1	-0.055290335139694335	0.0
NUDT21	0.24985342913933217	0.0
RBM6	0.365461389384935	0.0
TUT1	0.7601955835555795	0.0
SRP19	0.07591213215011774	0.0
EIF4A3	-0.3061792207880335	0.0
HNRNPU	3.250073568587642	0.0
SART3	0.5082106933206392	0.0
RAVER1	0.8288967011493554	0.0
ZCRB1	-0.04894126914461602	0.0
RBM3	-0.3666870872187099	0.0
TRA2A	-1.008902676932672	0.0
SRSF5	0.24379040523869883	0.0
SNRPB2	0.17451722567193875	0.0
ZFP36	0.17320227145965592	0.0
SFPQ	-0.9036976151408664	0.0
TIAL1	0.24467639545506875	0.0
DHX9	-0.13514233159032477	0.0
SRSF6	-0.45069530033871763	0.0
CSTF2	0.28940920513711554	0.0
CMTR1	0.9039537124721131	0.0
XPO5	-0.009934956657197569	0.0
ADAR	0.31295404035504965	0.0
RBM42	-0.5139257749177246	0.0
AGO1	-0.35866002775250055	0.0
RBM8A	0.3264756056111122	0.0
QKI	0.06572578166779897	0.0
SRSF2	-1.4501616721090753	0.0
CELF2	-0.09892476032037856	0.0
DDX58	0.03419682261800627	0.0
PCBP1	1.1033471463128248	0.0
SF3B4	-1.292561683646829	0.0
PPIE	0.5536480638388892	0.0
HNRNPM	0.3842065566819449	0.0
NONO	0.3035848094266249	0.0
ESRP1	0.35910928947992526	0.0
SNRNP70	0.12488005872196697	0.0
PABPN1	-0.013410049432616478	0.0
SRSF10	1.0651644419687176	0.0
ERI1	0.35670508173998866	0.0
AKAP1	0.29027085358529203	0.0
SNRPA	0.23089572393799254	0.0
SRRM1	0.08628126282782678	0.0
SRP14	0.42165147056498953	0.0
TIA1	-1.9419917253494117	0.0
AGO2	-0.4222020253557459	0.0
GRN	-0.5373420226452624	0.0
SRP54	-0.7058651160089983	0.0
HNRNPA1	-2.024236968686138	0.0
DAZAP1	-0.3915788493018545	0.0
NELFE	-0.830981174822901	0.0
OAS1	-0.5804543711716574	0.0
HNRNPH2	0.04300341427449261	0.0
ACO1	0.18173390933479663	0.0
G3BP2	1.440354771471285	0.0
HNRNPD	-0.5559176412682495	0.0
KHDRBS3	0.49388579119550025	0.0
IGF2BP2	0.22553288745655986	0.0
NCL	-0.06450137212552998	0.0
G3BP1	-0.03015982653110516	0.0
PABPC1	-0.034899556157308664	0.0
CPEB4	-0.46844858744367407	0.0
DDX19B	-0.49354066009648345	0.0
SRSF11	1.1176492026385372	0.0
ESRP2	-0.1586024219844494	0.0
RALY	-0.04252739430888386	0.0
HNRNPF	0.05666306262010301	0.0
RBM24	0.42355691241857923	0.0
PABPC4	-0.3207107578611888	0.0
TRA2B	-0.4997339036622286	0.0
HNRNPK	-0.47529665051201975	0.0
DHX58	0.029909117084130243	0.0
ZNF638	-0.8643278896556466	0.0
RBM5	-0.03402344458397111	0.0
(Intercept)	18.943737708533362	0.0
