	Estimate	p-value
ADAR	0.2602625784822063	0.0
NCL	-0.03147095014247869	0.0
HNRNPM	-1.171318696717251	0.0
HNRNPA3	-0.2645068579605383	0.0
NUDT21	0.29487074392873447	0.0
PCBP1	1.5336775557476794	0.0
RC3H1	-0.43245974191785946	0.0
SRP54	0.38269120850868765	0.0
HNRNPU	0.16686098678930988	0.0
HNRNPH3	-0.6814589920176246	0.0
RBMS1	-0.6215967751295408	0.0
RBFOX2	0.9396058020421454	0.0
SNRPA	-1.0479259439650985	0.0
SRSF5	-0.037511423761515325	0.0
PHAX	0.7931049635895888	0.0
CELF1	-0.6665102858791283	0.0
SRSF1	0.0033523935147231065	0.0
OAS1	-0.00083208460990436	0.0
KHDRBS1	0.32637118829986933	0.0
CELF5	0.047104144722253605	0.0
TUT1	-0.6101130374159582	0.0
EIF4A3	0.016229016953162166	0.0
ZCRB1	-0.197189904580497	0.0
RBM24	-0.05425191560758558	0.0
ESRP1	-0.24247026816425002	0.0
NONO	0.275836464611665	0.0
CPEB2	-0.10447509193212279	0.0
HNRNPDL	-0.7737796742863986	0.0
ELAVL1	0.08399139432882785	0.0
HNRNPK	0.38272424386555043	0.0
CELF2	0.38659388973367437	0.0
RBMS3	0.33871260681576265	0.0
SNRPB2	-0.18607987583491858	0.0
XPO5	0.17494256552439838	0.0
ZRANB2	1.0436686817495617	0.0
TARDBP	0.07028485195213527	0.0
DHX58	-0.21727315045064577	0.0
CSTF2	0.4796539884438398	0.0
ZFP36L2	0.10912380786941533	0.0
RBM3	-0.01818361141467545	0.0
IGHMBP2	0.09211432198658304	0.0
RBM25	1.128542161706464	0.0
CELF4	0.3388712041767187	0.0
PABPC1	0.20343509942141358	0.0
MSI1	0.0894997489540158	0.0
GRSF1	0.36269016279398236	0.0
AKAP1	0.06213325134663633	0.0
HNRNPF	0.1768277014945619	0.0
SRRM1	0.15596267136843017	0.0
PPIE	-0.41491553634060574	0.0
GRN	0.14429221738625336	0.0
DDX58	0.22605354515278958	0.0
PPRC1	0.14478965424104018	0.0
PUM2	-0.46569803956313044	0.0
SNRNP70	0.1316270435779312	0.0
PCBP2	0.21878035467179874	0.0
RBM8A	0.18555542376557854	0.0
ZFP36	-0.005509368834160366	0.0
PABPN1	-0.40718144804016376	0.0
DDX19B	-0.35773102836963294	0.0
HNRNPH2	-0.4704519158711764	0.0
ESRP2	0.1480815248529686	0.0
SRP19	-0.3442292098924375	0.0
HNRNPAB	-0.16031413179951992	0.0
RBMX	1.0979671332421561	0.0
SF1	0.05664619850320074	0.0
YBX2	0.05876465399725189	0.0
PABPC4	0.14093977100082195	0.0
RALY	0.24469138892038544	0.0
RBM42	-0.44962173561075497	0.0
TRA2A	-0.6409317573761129	0.0
SF3B1	0.2826784603243382	0.0
SRSF2	-0.6159104304225249	0.0
NXF1	0.5115545073647413	0.0
FUS	0.19916728178194776	0.0
SRP68	0.5079203439030339	0.0
RAVER1	0.47097170076566225	0.0
IGF2BP2	-0.07138583397780054	0.0
FXR1	0.25860829749769365	0.0
SRP14	-1.0565867804433644	0.0
CMTR1	-0.15746187050508131	0.0
TIAL1	-0.8563860892145281	0.0
SRSF3	0.20175036197149798	0.0
G3BP1	-0.03042935635750993	0.0
CPEB4	-0.32276403342490845	0.0
SP1	0.6211233132791367	0.0
SFPQ	-0.29097985671537885	0.0
RBM38	0.1999954628567262	0.0
MBNL1	-0.5098571375545343	0.0
SF3B4	-0.5304861387074025	0.0
SRSF9	-0.16009467269488942	0.0
AGO2	-0.3406929729964626	0.0
CFTR	0.35961651168733944	0.0
QKI	0.1146799424219852	0.0
SART3	0.18222721002887574	0.0
U2AF2	0.46970851832019433	0.0
SRSF11	-0.6289877244913162	0.0
SRSF7	0.44850473386940937	0.0
TIA1	-0.995251230277341	0.0
HNRNPA2B1	1.9961204284698295	0.0
ACO1	0.104602483328677	0.0
EIF4B	-0.5638324327626518	0.0
KHSRP	-0.34292481064525837	0.0
RBM14	-0.30052530180612985	0.0
IFIH1	0.054855409383456635	0.0
HNRNPH1	0.39223290566910446	0.0
HNRNPD	-0.12860652588946783	0.0
YBX1	0.03555889825134645	0.0
HNRNPLL	-0.25502907974600314	0.0
SYNCRIP	0.33594819775589213	0.0
ERI1	-0.27429271882510275	0.0
CPEB1	0.4643439339996316	0.0
FMR1	-0.5456922748987332	0.0
NELFE	-0.15203682593453494	0.0
SUPV3L1	0.5299086421107769	0.0
SRSF10	-0.28438448952948375	0.0
NOVA1	-0.06705386909436473	0.0
FXR2	-0.33724641823948615	0.0
DHX9	-0.3412980243546332	0.0
G3BP2	-0.10833748370206153	0.0
SAMD4A	0.12160894863483049	0.0
HNRNPA1	-0.3985107976991964	0.0
(Intercept)	4.902731359086577	0.0
