	Estimate	p-value
ADAR	0.2713389492715759	0.0
NUDT21	1.3329298795117879	0.0
PCBP1	1.608921642850881	0.0
RC3H1	0.16745920065032374	0.0
SRP54	-0.11294677229687755	0.0
RBMS1	0.23267374447212502	0.0
RBFOX2	-1.2270043011650051	0.0
SNRPA	2.79258751507614	0.0
SRSF5	-2.0615831636216937	0.0
PHAX	-0.6854714963476083	0.0
CELF1	-1.8752458192304173	0.0
SRSF1	-0.43754960289917544	0.0
OAS1	-0.27564586883435005	0.0
KHDRBS1	1.237135795534638	0.0
TUT1	-1.7943858569230917	0.0
NONO	-0.7393775769580112	0.0
CPEB2	0.163010087494881	0.0
HNRNPDL	0.2894730833343151	0.0
ELAVL1	-2.7587047586011275	0.0
CELF2	-0.35179648221383086	0.0
RBMS3	0.06549245272981974	0.0
SNRPB2	0.5254927620182968	0.0
XPO5	-1.1667896387249015	0.0
DHX58	-0.207409061813976	0.0
CSTF2	0.06804579764781465	0.0
RBM3	-0.15794245983219968	0.0
RBM25	2.39995393208672	0.0
PABPC1	-0.08828093364591005	0.0
MSI1	-0.20522071543690945	0.0
SRSF6	0.9725619218078909	0.0
GRSF1	1.2251340352815143	0.0
AKAP1	0.5018746593894805	0.0
GRN	-0.30191130096954755	0.0
PUM2	-0.6514447910044081	0.0
SNRNP70	-2.5484112709693427	0.0
PCBP2	-1.4713793711163763	0.0
RBM8A	-0.8880136501758922	0.0
ZFP36	-0.17929604699396062	0.0
PABPN1	0.2101692298274802	0.0
DDX19B	-1.2293347606896528	0.0
HNRNPH2	0.9591587039673097	0.0
ESRP2	0.639220796304413	0.0
SRP19	0.7321446803836402	0.0
HNRNPAB	-0.5996676976235893	0.0
SF1	2.4805439861151974	0.0
AGO1	2.4447805694341485	0.0
YBX2	0.09484201716431229	0.0
PABPC4	-1.4929913279070393	0.0
RALY	-1.6925412282098211	0.0
RBM42	1.2118618586464422	0.0
TRA2A	0.12976844941074273	0.0
SF3B1	0.47052020733666666	0.0
SRSF2	0.9456847852171346	0.0
NXF1	0.06511549894276014	0.0
RAVER1	0.9860066504290359	0.0
IGF2BP2	-0.19211820042487338	0.0
SRP14	-0.13030675011461246	0.0
CMTR1	1.9420779423562515	0.0
SRSF3	-2.616025104786732	0.0
G3BP1	-0.16710000025815042	0.0
PUM1	-1.6072711390765686	0.0
SP1	-1.1611815415192268	0.0
RBM38	-0.29473115016570905	0.0
YTHDC1	-1.2898147337252661	0.0
SRSF9	0.0898692807073953	0.0
CFTR	-0.3581488013353336	0.0
DAZAP1	0.1438963466398493	0.0
QKI	0.03278936814859568	0.0
SART3	-0.8882911804921481	0.0
U2AF2	-0.17054816871427614	0.0
SRSF11	-0.851526502908269	0.0
PTBP1	-2.4180097582555495	0.0
SRSF7	-0.4553488250568546	0.0
TIA1	-2.645999621942515	0.0
ACO1	0.17269357053111478	0.0
EIF4B	-0.43118539165867287	0.0
HNRNPH1	1.4412265831577695	0.0
HNRNPD	-1.2204307870806073	0.0
SRSF4	1.659319245932324	0.0
YBX1	-1.4469990336394352	0.0
HNRNPLL	0.8140569897460227	0.0
ERI1	-1.0714088264062698	0.0
CPEB1	0.6282262600674078	0.0
FMR1	-0.6374972025506976	0.0
NELFE	0.44552525256361497	0.0
SUPV3L1	-0.4101066615271438	0.0
SRSF10	-0.7795349371797878	0.0
FXR2	0.4238104137819766	0.0
DHX9	2.4294962944764595	0.0
G3BP2	0.3277535387389636	0.0
SAMD4A	1.3656965037777278	0.0
HNRNPA1	1.9491334264611404	0.0
(Intercept)	40.835528921368564	0.0
