	Estimate	p-value
NCL	0.08086147088684065	0.0
HNRNPA3	0.18659746272608588	0.0
NUDT21	-0.09814948138160802	0.0
PCBP1	0.2962521871070114	0.0
SRP54	0.4059851093069686	0.0
HNRNPH3	0.16540054510434773	0.0
RBMS1	-0.16197904598695606	0.0
SNRPA	-0.30376220723167846	0.0
RBFOX2	0.2945872114637618	0.0
PHAX	-0.1505979907192531	0.0
CELF1	0.18154319621887924	0.0
CELF5	-0.012841508482933523	0.0
TUT1	-0.5015269539012868	0.0
EIF4A3	0.2618278253335769	0.0
ZCRB1	-0.07099465194753597	0.0
RBM24	0.04672964703471296	0.0
ESRP1	-0.41554032483825293	0.0
NONO	-0.43148475454507507	0.0
CPEB2	0.08884042466980935	0.0
HNRNPDL	0.31243808599970985	0.0
HNRNPL	0.15144218607554186	0.0
ELAVL1	-0.13029477100480336	0.0
CELF2	0.6803632233349907	0.0
RBMS3	0.43465409224964086	0.0
XPO5	0.11311818629639596	0.0
ZRANB2	0.2014815977756309	0.0
DHX58	0.17895349731360544	0.0
CSTF2	0.2874823730705974	0.0
RBM3	0.16668348074485645	0.0
IGHMBP2	0.5153778570925801	0.0
RBM25	-0.30042473670251413	0.0
PABPC1	0.06519679661205248	0.0
MSI1	0.2714827781732242	0.0
SRSF6	-0.25768858847341986	0.0
GRSF1	-0.15134419419177206	0.0
AKAP1	0.24955517156775153	0.0
HNRNPF	-0.07893556829463377	0.0
SRRM1	0.383282317971598	0.0
KHDRBS3	-0.10303807446877614	0.0
PPIE	0.20253487078789914	0.0
GRN	0.25300476373677927	0.0
DDX58	0.3122480837254328	0.0
PPRC1	0.0963091380292723	0.0
PCBP2	-0.020162965474048986	0.0
RBM8A	0.0963820924361952	0.0
ZFP36	-0.1136439934119979	0.0
PABPN1	-0.10249539762762414	0.0
DDX19B	-0.6151371447847946	0.0
HNRNPH2	0.35954687860734236	0.0
ESRP2	-0.15341430873094936	0.0
HNRNPAB	-0.11558952296197106	0.0
SF1	-0.20277227338455966	0.0
AGO1	-0.1212678808525916	0.0
CNOT4	-0.42710134324923227	0.0
RALY	-0.2017124447766469	0.0
RBM42	-0.36099381394975705	0.0
TRA2A	-0.15143318181533988	0.0
SRSF2	0.1278289566004904	0.0
NXF1	0.06761805122496917	0.0
FUS	-0.25297775505522263	0.0
RAVER1	0.5300204261111154	0.0
IGF2BP2	-0.039574768907629176	0.0
FXR1	-0.3080915136146775	0.0
SRP14	-0.22809907340643554	0.0
TIAL1	0.043021386080744746	0.0
SRSF3	-0.15128747815974738	0.0
PUM1	-0.08242040157745617	0.0
CPEB4	0.09539399673172887	0.0
SP1	-0.16764078391643666	0.0
SFPQ	-0.3243287315520479	0.0
RBM38	0.25129976220084027	0.0
YTHDC1	-0.2416278839825015	0.0
MBNL1	-0.6307977642120295	0.0
SF3B4	-0.30417723033117994	0.0
ZNF638	-0.11820754039482681	0.0
AGO2	0.17016628678559567	0.0
CFTR	-0.18490954658561098	0.0
RBM5	-0.2437426505251138	0.0
QKI	0.5843254670787524	0.0
RBM6	0.0818492514283439	0.0
HNRNPC	-0.19212032755043087	0.0
SRSF11	-0.0969080147642731	0.0
SRSF7	0.08288823348877966	0.0
TIA1	-0.25131362341567437	0.0
EIF4B	0.1683323011281218	0.0
SSB	0.3295864418771473	0.0
KHSRP	-0.05601012454239085	0.0
IFIH1	0.39232938962668273	0.0
HNRNPH1	0.2710044419140847	0.0
NOVA2	-0.2736096210872927	0.0
SRSF4	0.00517376068429775	0.0
YBX1	0.3481171563685813	0.0
HNRNPLL	0.2544471110925213	0.0
ERI1	-0.10075761302867765	0.0
FMR1	0.39516108995233795	0.0
NELFE	-0.11857828852659436	0.0
SRSF10	-0.0989178351013842	0.0
NOVA1	-0.6033784129485663	0.0
FXR2	0.21680909244551894	0.0
DHX9	0.41204741219322794	0.0
G3BP2	0.20082058030409225	0.0
SAMD4A	0.17748625094439585	0.0
HNRNPA1	-0.2148356161514445	0.0
(Intercept)	5.975365249049891	0.0
