	Estimate	p-value
CPEB2	-0.2544906149843781	0.0
KHDRBS1	1.1808851287562776	0.0
SF3B4	-0.07323239045458158	0.0
IFIH1	0.11776758035735585	0.0
PCBP2	1.3634871255064946	0.0
TARDBP	-0.08152024995371535	0.0
SSB	0.5850431766226223	0.0
ZFP36L2	0.5739752627318091	0.0
DHX9	-0.6537749835453663	0.0
NONO	-1.1480004569951168	0.0
PUM1	0.21165808822697224	0.0
G3BP2	1.3439119597159015	0.0
ACO1	-1.0581054810978598	0.0
NUDT21	1.3709037507395845	0.0
HNRNPA2B1	1.6425874219430516	0.0
IGF2BP2	-0.5116451474177743	0.0
PABPN1	-0.08507432070548399	0.0
HNRNPAB	1.5595953211386604	0.0
SRSF10	-0.4456283330685562	0.0
ERI1	1.3199351749976833	0.0
TUT1	-0.09609824698593579	0.0
CSTF2	-0.1123343713552174	0.0
SRP19	-0.677281346749838	0.0
YTHDC1	0.9341307221013264	0.0
SNRPA	-0.44864214990112083	0.0
AKAP1	-0.63726142272326	0.0
NCL	0.5771632735533587	0.0
G3BP1	-0.7191947467320301	0.0
HNRNPLL	-1.3058855256361297	0.0
SART3	-1.5209483455857238	0.0
RBM42	1.8067915993324764	0.0
SRP14	-0.05915926511510591	0.0
RBM3	-0.4048588714176825	0.0
CPEB1	0.9666378404554066	0.0
CPEB4	-0.5189842199278205	0.0
DDX19B	-0.5864100792545488	0.0
SF1	0.6404030298944109	0.0
RAVER1	1.6677093502190212	0.0
SRRM1	-0.2635774260957431	0.0
HNRNPH3	1.120647707789821	0.0
SRSF5	-0.7594619829010264	0.0
AGO1	-0.020970030598408296	0.0
U2AF2	0.706157431299458	0.0
RALY	0.31989148955628355	0.0
HNRNPF	-0.8030448781378736	0.0
SUPV3L1	0.10226736047093132	0.0
GRN	1.6025405420845609	0.0
RBM8A	-1.1594819298966028	0.0
SNRPB2	-0.43551068898799017	0.0
SRSF4	0.4196767865345048	0.0
SRP54	0.29215326234353434	0.0
QKI	1.2091862444878978	0.0
TRA2B	1.174855815072674	0.0
NELFE	0.2644467909530488	0.0
SRSF2	-2.695393883427398	0.0
CELF2	-1.3364467936790208	0.0
HNRNPK	0.04173617483473113	0.0
DHX58	-0.26872568929126683	0.0
OAS1	1.1932903868257152	0.0
SFPQ	-0.2077544826416015	0.0
SRSF9	0.5938346414300766	0.0
PCBP1	-0.27037655030201824	0.0
RBM38	-1.9603311032451929	0.0
DDX58	-0.11766868717512932	0.0
MBNL1	1.312161172386779	0.0
NOVA1	-1.8049545844863488	0.0
SP1	-0.5914436067447064	0.0
RBM25	-0.702919111092413	0.0
(Intercept)	-26.67424077523375	0.0
