	Estimate	p-value
CPEB2	0.34628584762718123	0.0
PPIE	-0.3090050647299832	0.0
TARDBP	-0.9181400961460642	0.0
DHX9	0.9152828258978698	0.0
PUM1	-0.5956607155007243	0.0
ESRP1	0.3406224537965264	0.0
G3BP2	0.10599311078369873	0.0
IGF2BP2	-0.11951549221801656	0.0
PUM2	-0.3317942163996014	0.0
SNRNP70	-0.052861338273455634	0.0
PABPN1	-0.23826969407076537	0.0
RBM6	0.12184153624978301	0.0
CSTF2	0.3887931100243796	0.0
TUT1	0.02851534987084732	0.0
SRP19	0.16421456629329131	0.0
SF3B1	0.35667757852096793	0.0
AKAP1	0.08635205416812902	0.0
SNRPA	0.16514047022031064	0.0
SAMD4A	0.5267835458852581	0.0
XPO5	-0.1328520534358744	0.0
G3BP1	0.5166195873774375	0.0
FUS	-0.7566136829621645	0.0
RBFOX2	0.06835903090173684	0.0
ADAR	0.04418944706229067	0.0
SART3	1.0963776671945655	0.0
RBM42	-0.3170468358828692	0.0
SRP14	-0.20636510473396572	0.0
CPEB4	-0.12959930505140002	0.0
RAVER1	0.017319569598044895	0.0
SRRM1	0.01605745879251278	0.0
TRA2A	-0.2306048257680501	0.0
AGO1	0.26481753816444564	0.0
AGO2	0.15965683891014038	0.0
RALY	-0.11923004250986899	0.0
RBM24	0.17899226065447615	0.0
GRN	-0.01945577040820297	0.0
RBM8A	0.23567787812432034	0.0
SNRPB2	-0.5707971799936593	0.0
SRP54	0.13391387360150844	0.0
QKI	-0.19625695169896512	0.0
DAZAP1	-0.5693661279928078	0.0
NELFE	0.18311397453935346	0.0
PCBP1	-0.05733919490505911	0.0
RBM38	-0.25346017845358093	0.0
MBNL1	0.12361990339672131	0.0
SP1	-0.7331772475811826	0.0
RBM25	0.647437859660373	0.0
(Intercept)	11.820278740909322	0.0
