	Estimate	p-value
TIA1	-0.018599277135220284	0.0
CELF2	1.5191786889130745	0.0
HNRNPAB	-1.9971135483279099	0.0
ACO1	-0.10741856693980428	0.0
EIF4B	-1.956004491609285	0.0
HNRNPM	-0.17638284395296372	0.0
RALY	-1.4872173333321084	0.0
RBM42	-0.2643555037796069	0.0
TRA2A	-0.7363254031005442	0.0
DHX58	-2.8034727276711107	0.0
HNRNPU	-0.5230315393773546	0.0
RAVER1	3.744035250708705	0.0
PABPC1	0.824821744180488	0.0
SRP14	-3.8035730493998114	0.0
SNRPA	6.165337977111992	0.0
RBFOX2	-4.466712982273584	0.0
PUM1	3.5271378916648835	0.0
RBM38	-1.1671233358888737	0.0
HNRNPF	2.5494197132342418	0.0
SRSF1	-2.758992671810376	0.0
MBNL1	0.3851691967093653	0.0
CPEB1	1.6871501648481169	0.0
KHDRBS1	-4.6745171872629365	0.0
CFTR	-0.26340621858707003	0.0
FMR1	1.5382872505495078	0.0
QKI	1.1461941064846521	0.0
ESRP1	-0.5573063107260992	0.0
SNRNP70	-4.7205711292818835	0.0
FXR2	-9.8274943320657	0.0
DHX9	5.041305575406762	0.0
G3BP2	-2.453600236066976	0.0
ZFP36	-0.6209973539066742	0.0
PABPN1	-0.7437582368957093	0.0
DDX19B	-0.5110841599536091	0.0
(Intercept)	111.84581580468381	0.0
