	Estimate	p-value
ADAR	0.009492394983948962	0.0
NCL	0.7165176840889868	0.0
HNRNPM	0.16081272634234337	0.0
HNRNPA3	-1.0811529151530448	0.0
NUDT21	0.19878787550764937	0.0
PCBP1	0.8793482045761508	0.0
RC3H1	-0.11327827547675245	0.0
SRP54	0.8624947149176058	0.0
HNRNPH3	-1.239981278957678	0.0
RBFOX2	0.5956855544765188	0.0
SNRPA	0.30605840870151807	0.0
SRSF5	-0.17519891916416463	0.0
SRSF1	-0.5597844410708532	0.0
OAS1	0.7138305972831873	0.0
KHDRBS1	0.8010524621480425	0.0
TUT1	-0.44486008450470926	0.0
EIF4A3	0.5282389979607288	0.0
ZCRB1	0.1916578620311622	0.0
RBM24	-0.04680744025765006	0.0
ESRP1	0.2386638582730488	0.0
NONO	-0.6811487668081382	0.0
CPEB2	0.2660540595366631	0.0
HNRNPDL	0.9603561558405881	0.0
HNRNPL	1.727774212131601	0.0
CELF2	0.3948875140557764	0.0
RBMS3	0.39229868187215344	0.0
SNRPB2	0.45022402760255364	0.0
XPO5	-0.22959962282785767	0.0
ZRANB2	0.6963451619526787	0.0
DHX58	-1.0205911456354755	0.0
CSTF2	0.4959660871994097	0.0
ZFP36L2	-0.5820018611171036	0.0
IGHMBP2	-0.1411641849926919	0.0
PABPC1	0.3154062737417952	0.0
MSI1	0.35814868938202205	0.0
SRSF6	-0.2592262142964076	0.0
GRSF1	-1.2370122550703941	0.0
AKAP1	0.47275843232045855	0.0
HNRNPF	1.0042635624777199	0.0
PPIE	0.43659769105720214	0.0
DDX58	-0.695178480161319	0.0
PCBP2	-1.4254220855091386	0.0
RBM8A	-1.642633838862604	0.0
ZFP36	0.2570307370946145	0.0
PABPN1	0.8059229317761881	0.0
DDX19B	-0.9191473698358368	0.0
ESRP2	0.4088331793498794	0.0
SRP19	0.13608503033298613	0.0
HNRNPAB	0.23382056866154155	0.0
YBX2	-0.11862591405027234	0.0
PABPC4	-0.344974808986686	0.0
RALY	-1.8963908350160152	0.0
RBM42	-0.5623463681212346	0.0
TRA2A	0.06021071743605416	0.0
NXF1	0.5967494529362425	0.0
SRP68	0.7876154098512141	0.0
RAVER1	2.4014995036445	0.0
IGF2BP2	-0.25586258459883243	0.0
FXR1	0.18921081658939165	0.0
HNRNPA0	-0.23615182906189514	0.0
SRP14	-0.7831333937360767	0.0
PUM1	0.026858467316672713	0.0
CPEB4	-0.4243026057846593	0.0
RBM38	-0.0017721819276013129	0.0
SF3B4	0.5789103751472773	0.0
SRSF9	0.3249114995639766	0.0
TRA2B	0.9477475131080785	0.0
ZNF638	-0.5707491066089753	0.0
CFTR	0.028377233831812676	0.0
DAZAP1	-0.5739417135563014	0.0
QKI	-0.2349280408074926	0.0
SART3	1.5026404879894435	0.0
RBM6	0.20429105210505516	0.0
U2AF2	0.08529802412889352	0.0
HNRNPC	-0.08600097512750182	0.0
SRSF11	-0.7839944185021082	0.0
PTBP1	-1.6585770967935138	0.0
SRSF7	-2.1888286868420836	0.0
TIA1	0.5772594680799791	0.0
ACO1	0.6608842594706132	0.0
KHSRP	-2.1384096021648746	0.0
RBM14	-0.13399763092375244	0.0
HNRNPH1	0.4291932911115426	0.0
HNRNPD	-0.5923925632480935	0.0
NOVA2	0.6389408479139254	0.0
SRSF4	-0.7661847472806764	0.0
YBX1	0.6518048303260455	0.0
HNRNPLL	1.7555983249864555	0.0
SYNCRIP	-0.4578682292077848	0.0
ERI1	-1.1617797138897887	0.0
CPEB1	-0.07785934950100193	0.0
NELFE	0.47340831583753484	0.0
SUPV3L1	-0.07081466104404488	0.0
NOVA1	-0.36417631880550844	0.0
FXR2	0.025919015115290545	0.0
DHX9	0.9451173040774381	0.0
G3BP2	-0.9516660644533562	0.0
SAMD4A	0.0708939953833242	0.0
HNRNPA1	0.05001102474251484	0.0
(Intercept)	15.448740828509699	0.0
