	Estimate	p-value
DHX9	1.6028110729735838	0.0
G3BP2	0.3206655256961377	0.0
NUDT21	0.6831827400608568	0.0
SNRNP70	0.08662879004928009	0.0
PABPN1	0.3882402426124774	0.0
CSTF2	0.7016143867488878	0.0
TUT1	0.11931819900800655	0.0
EIF4B	0.29415418307228286	0.0
SNRPA	-2.3703762318385793	0.0
RBFOX2	0.4075501705068325	0.0
ADAR	0.056278417408195	0.0
RBM42	-0.8554424122672263	0.0
SRP14	-0.27257508573944095	0.0
CPEB4	-0.13165073727458648	0.0
RAVER1	1.2447544697928614	0.0
QKI	-0.023548972097748117	0.0
NELFE	-0.518133064527432	0.0
SRSF2	-1.399710090002538	0.0
CELF2	0.35335128269540994	0.0
PCBP1	0.013910103174184063	0.0
(Intercept)	11.13951498366907	0.0
