	Estimate	p-value
ELAVL1	-4.285613883855009	0.0
TIA1	-1.3666055070744991	0.0
ADAR	-0.11677829083829205	0.0
CELF2	0.21379317135592055	0.0
ACO1	0.44818249812224087	0.0
RBMS3	-0.25453692263339717	0.0
SF1	0.7399819894846744	0.0
AGO1	0.4466358010814965	0.0
RALY	-0.5427169915982533	0.0
RBM42	-0.9986179812645088	0.0
SNRPB2	0.49242570030655713	0.0
PCBP1	-0.578074351386558	0.0
TRA2A	-1.0863976836584548	0.0
SRSF2	-0.6797137297018877	0.0
NXF1	0.49907337251415845	0.0
IFIH1	-0.19645348413604813	0.0
DHX58	-0.08648045613986444	0.0
CSTF2	1.1644233675199351	0.0
RAVER1	2.129005353031901	0.0
RBMS1	1.1708318093390941	0.0
IGHMBP2	3.5336031654279094	0.0
RBM25	0.21849798695531186	0.0
CELF4	-0.30760583265804686	0.0
SNRPA	-0.25439409663173984	0.0
CMTR1	0.8729449962607571	0.0
RBFOX2	0.5480093209239993	0.0
PHAX	1.7280706916767503	0.0
SRSF6	-1.0617135054663325	0.0
PABPN1	-0.2289057239359109	0.0
SP1	1.5610309950323213	0.0
CELF1	1.1736448512530906	0.0
RBM38	-0.4241611561192513	0.0
MBNL1	-0.42662173591864894	0.0
SRSF1	0.6822926938935134	0.0
ERI1	0.40062420215640904	0.0
CPEB1	-0.3651118854504768	0.0
AKAP1	-0.43687628264107947	0.0
SRSF9	0.27399263819677067	0.0
SRRM1	0.66610015666689	0.0
SF3B4	-1.479498064665458	0.0
PPIE	1.4236995500037186	0.0
OAS1	-0.08531820867673767	0.0
ZFP36	0.09343792452157387	0.0
AGO2	0.6049805769214998	0.0
CELF5	0.7462705956221505	0.0
CFTR	1.2630354544887115	0.0
TUT1	-0.8595696111111759	0.0
EIF4A3	1.4758167170059462	0.0
ZCRB1	0.25561914169793853	0.0
NONO	2.7231644168171374	0.0
PUM2	-1.5622787558785507	0.0
CPEB2	0.12568366021314992	0.0
SART3	-0.4695282654057097	0.0
RBM6	0.3029337841548174	0.0
PCBP2	-0.4565488871900568	0.0
G3BP2	0.1364283033576119	0.0
SRSF11	0.8774709875642471	0.0
SAMD4A	-0.42876970599122466	0.0
HNRNPA1	-1.7969018303723334	0.0
(Intercept)	-0.35048682237629336	0.0
