	Estimate	p-value
ADAR	-0.6106220777348327	0.0
HNRNPM	1.564028908713486	0.0
HNRNPA3	0.951340601353487	0.0
NUDT21	1.3703366830087378	0.0
PCBP1	2.7112438621646553	0.0
RC3H1	0.4976183567803941	0.0
HNRNPU	-0.8958476214405416	0.0
HNRNPH3	-0.1266245530487149	0.0
RBMS1	0.6774417975084039	0.0
RBFOX2	-0.7566024727779369	0.0
SNRPA	1.4324249170785828	0.0
SRSF5	-1.293341092383659	0.0
CELF1	0.3661391117144341	0.0
SRSF1	0.9269370181677925	0.0
OAS1	0.7370328017119163	0.0
KHDRBS1	2.3638227173138624	0.0
CELF5	-0.512535588901691	0.0
TUT1	-0.8473241210411961	0.0
EIF4A3	-0.1251901408053916	0.0
ZCRB1	0.22705342852281576	0.0
RBM24	-0.23382021111330226	0.0
NONO	-0.09816057275704751	0.0
CPEB2	0.36446186623921994	0.0
CELF2	1.5383527349971748	0.0
RBMS3	0.09424849381322514	0.0
SNRPB2	-0.9401966058619023	0.0
XPO5	0.9770479261244893	0.0
ZRANB2	-0.6746628051609953	0.0
TARDBP	0.6300740840839602	0.0
DHX58	-0.7950185649205814	0.0
CSTF2	0.47936900954229744	0.0
ZFP36L2	-0.3229639968665991	0.0
RBM3	0.2761322333149345	0.0
IGHMBP2	0.3823999734232183	0.0
RBM25	1.2353408584104568	0.0
PABPC1	-0.8333375697347356	0.0
MSI1	0.36846400233763554	0.0
SRSF6	0.6113648048253559	0.0
AKAP1	0.4644512990332589	0.0
HNRNPF	0.16557420457251304	0.0
SRRM1	0.019460665665697596	0.0
KHDRBS3	-0.5207010657787103	0.0
PPIE	-0.3126284673150643	0.0
GRN	0.4160931446063754	0.0
DDX58	0.45922682594446934	0.0
PPRC1	1.1363294150221366	0.0
SNRNP70	-0.9310298787559916	0.0
ZFP36	0.5677975529809834	0.0
PABPN1	-0.5164125772833066	0.0
DDX19B	-0.7453800149314203	0.0
ESRP2	-0.6034208908132586	0.0
SRP19	1.004482835791642	0.0
HNRNPAB	-0.8883976960038236	0.0
RBMX	2.1191186885145847	0.0
SF1	0.8333177034290625	0.0
YBX2	0.5369689354072568	0.0
PABPC4	1.1482485654660075	0.0
CNOT4	-1.0248743421516902	0.0
RALY	-1.1253717391551143	0.0
RBM42	0.5225609138496474	0.0
TRA2A	-0.9566489702157093	0.0
SF3B1	-1.2230913190325126	0.0
SRSF2	-0.2918251781802957	0.0
FUS	1.7245382502187203	0.0
RAVER1	-0.2529289733837691	0.0
IGF2BP2	-0.33787989848587974	0.0
FXR1	2.4085249962223725	0.0
HNRNPA0	-1.0244059523730897	0.0
SRP14	0.14858495316583295	0.0
TIAL1	-0.11304060332404597	0.0
SRSF3	-1.8770035064063713	0.0
G3BP1	1.6149114446043271	0.0
CPEB4	-0.14917141823904967	0.0
SFPQ	-2.5545781877128277	0.0
YTHDC1	-0.14229695557089722	0.0
MBNL1	-2.630100258807	0.0
SF3B4	-0.21920498206727557	0.0
SRSF9	-1.0462058365949718	0.0
ZNF638	-0.1887380499716519	0.0
CFTR	0.14211119162264474	0.0
QKI	0.6355661399494895	0.0
SART3	3.141306305550297	0.0
RBM6	0.8201613450208665	0.0
SRSF11	1.164408056249256	0.0
SRSF7	-3.4985506833594466	0.0
TIA1	-0.49965060123558147	0.0
HNRNPA2B1	-0.3682376600934576	0.0
EIF4B	-0.5035590055239657	0.0
KHSRP	-1.2242584001561287	0.0
RBM14	-1.1801305989995075	0.0
SRSF4	-1.0000301895165413	0.0
YBX1	-1.3451665831769797	0.0
HNRNPLL	0.12106929124570659	0.0
SYNCRIP	-0.7957523885005523	0.0
ERI1	-1.2313499564940322	0.0
SUPV3L1	-0.16949751546226535	0.0
NOVA1	0.32507522771763053	0.0
FXR2	-1.0501383321326274	0.0
DHX9	-0.5455047414721463	0.0
G3BP2	0.26279025033313935	0.0
SAMD4A	0.0030089799926127925	0.0
(Intercept)	17.34663120239035	0.0
