	Estimate	p-value
SRSF7	2.572361948536999	0.0
TIAL1	-3.5509681115050773	0.0
IFIH1	-2.6775400510667007	0.0
CFTR	0.9410231205632992	0.0
ZFP36L2	-0.9430643934120673	0.0
PUM1	-0.7357237559967217	0.0
GRSF1	-1.7621042181863884	0.0
SRSF1	-1.0574643291666963	0.0
KHDRBS3	-2.6075886331788922	0.0
IGF2BP2	-0.10586572802184868	0.0
SRSF6	-1.0972685550167462	0.0
PABPN1	-3.866595604644275	0.0
RBM6	0.939236785254138	0.0
CSTF2	0.5521722615613309	0.0
ERI1	-0.7844080630342755	0.0
SRP19	-1.4227214145640406	0.0
CMTR1	7.270906243812819	0.0
YBX2	0.4248910506888226	0.0
SF3B1	0.9337989059919989	0.0
NCL	-0.47729627506466527	0.0
SYNCRIP	1.7328827987411626	0.0
SAMD4A	1.2876997340459921	0.0
XPO5	-0.6121457166859146	0.0
G3BP1	1.8941303961376437	0.0
SRP68	-1.7616905441810964	0.0
FUS	5.667972956647006	0.0
EIF4A3	-1.4400977717989	0.0
RBFOX2	-2.1715115823133497	0.0
ADAR	0.7571832429076766	0.0
SART3	2.996626199586123	0.0
ZRANB2	4.2991871649565985	0.0
RBM42	-2.7392326234880033	0.0
ZCRB1	-0.7731382098018642	0.0
RBM3	0.924587243292095	0.0
RBM14	-1.1799619590106434	0.0
CPEB1	0.7454831017863767	0.0
SRP14	1.8825420389453154	0.0
SF1	0.41202271305330845	0.0
CPEB4	-0.49345613826992984	0.0
DDX19B	-0.5951686703929533	0.0
TIA1	-1.134350874217139	0.0
SRSF11	-2.3665190193112045	0.0
ESRP2	-2.46128475686355	0.0
CELF4	0.793753086800731	0.0
AGO2	-0.2639374919393762	0.0
RALY	-1.5626791255644061	0.0
RBM24	1.1929145841932924	0.0
FXR2	-1.8381696755075987	0.0
HNRNPH1	-3.0711522128797637	0.0
IGHMBP2	2.389647561182235	0.0
SRP54	-1.0943909944511239	0.0
RBMX	-2.8337526787136467	0.0
PPRC1	0.11956283429263159	0.0
MSI1	0.3846297130887737	0.0
QKI	1.589848729694452	0.0
DAZAP1	-0.6844372020697597	0.0
SRSF2	2.35535778613265	0.0
YBX1	-1.94018036253861	0.0
ZFP36	0.22997710902487656	0.0
CELF2	-1.2691813946680446	0.0
PABPC4	-0.43867023151056117	0.0
TRA2B	0.5894828669081711	0.0
HNRNPK	1.8622496835475313	0.0
DHX58	0.7778434114247924	0.0
RBM5	-1.6148001761200828	0.0
HNRNPA0	0.7853408610234662	0.0
PCBP1	0.23822172376404627	0.0
RBM38	-0.9154077877380002	0.0
ZNF638	-3.249393100950231	0.0
DDX58	0.2822699182562207	0.0
RBM25	-2.032983878509987	0.0
CELF5	0.36906046407842463	0.0
SFPQ	5.146326639304176	0.0
(Intercept)	19.513028045093378	0.0
