	Estimate	p-value
ADAR	1.1579397804705367	0.0
PCBP1	-1.8125549581064706	0.0
SRP54	-1.9671515142739007	0.0
HNRNPH3	0.15550164547574274	0.0
RBMS1	-0.1126551378793319	0.0
RBFOX2	-0.16623501398946972	0.0
SNRPA	-0.05459821219389749	0.0
SRSF5	1.5659240258931504	0.0
PHAX	1.6924977920926236	0.0
KHDRBS1	1.9319404096255046	0.0
CELF5	-3.8021202239411505	0.0
TUT1	-1.1271318700073634	0.0
EIF4A3	-0.03919241346285007	0.0
ESRP1	-0.11233671927385114	0.0
RBM24	0.3390736682327806	0.0
NONO	4.4618958659047365	0.0
HNRNPDL	4.303556437613064	0.0
HNRNPL	-1.8005860342195001	0.0
HNRNPK	-0.30419539106432314	0.0
CELF2	0.019957573237593174	0.0
RBMS3	0.20238413896345087	0.0
SNRPB2	-0.7833921755355169	0.0
ZRANB2	-1.0496509941910372	0.0
XPO5	-1.4319263480268105	0.0
TARDBP	5.886074704207239	0.0
DHX58	-1.4752730494695308	0.0
CSTF2	0.02036454598799864	0.0
ZFP36L2	-1.0564931592036988	0.0
RBM3	-0.028472004177333865	0.0
IGHMBP2	-3.916096219749969	0.0
CELF4	0.8278065803027514	0.0
PABPC1	-0.17749824618653998	0.0
MSI1	0.6554913755592162	0.0
SRSF6	1.2154910345552385	0.0
GRSF1	1.352463874170676	0.0
HNRNPF	0.905461186338939	0.0
SRRM1	-0.35553913088465805	0.0
KHDRBS3	-1.2216047799974952	0.0
PPIE	-1.4760854230208484	0.0
DDX58	-0.5835106828146963	0.0
PPRC1	-0.13783807758921052	0.0
SNRNP70	0.3817954231751848	0.0
PCBP2	-4.002234172424661	0.0
RBM8A	-1.9870042197678717	0.0
ZFP36	0.2735472524611464	0.0
PABPN1	1.966313071870375	0.0
DDX19B	2.965872199057079	0.0
ESRP2	0.5729461481895424	0.0
SRP19	-2.0227926414302106	0.0
HNRNPAB	7.467306499324904	0.0
RBMX	-0.5155254562010934	0.0
YBX2	-1.880183711095082	0.0
PABPC4	1.066229548622326	0.0
RALY	1.5088530674259801	0.0
RBM42	0.7128236536611262	0.0
TRA2A	2.6836930956135507	0.0
SF3B1	1.4827922230374664	0.0
SRSF2	-0.4250422106929661	0.0
NXF1	3.692910710752611	0.0
FUS	-2.496387246164767	0.0
RAVER1	2.794536615011969	0.0
IGF2BP2	-1.0696692027434231	0.0
FXR1	2.416607319303947	0.0
HNRNPA0	-4.353856206742636	0.0
CMTR1	3.674346035502766	0.0
TIAL1	-0.20467288874982037	0.0
SRSF3	-4.833535488402633	0.0
G3BP1	-6.274846846781957	0.0
PUM1	-1.3475300880057788	0.0
SP1	4.110720375616916	0.0
SFPQ	0.22827216534849448	0.0
RBM38	0.4862873028432855	0.0
YTHDC1	6.994574325246084	0.0
MBNL1	-1.8839477263598259	0.0
SF3B4	-0.20473142438610636	0.0
TRA2B	-0.13196649384739612	0.0
ZNF638	-5.0912976721416285	0.0
AGO2	-1.5332393676615734	0.0
CFTR	-0.06764934111243681	0.0
RBM5	-3.3388476663991336	0.0
QKI	4.144990398076478	0.0
RBM6	0.6403822410140965	0.0
U2AF2	-2.876569190237566	0.0
SRSF11	-0.19277934218288673	0.0
PTBP1	-0.18936619491620993	0.0
SRSF7	0.20181030264489497	0.0
TIA1	-1.0659931867094194	0.0
HNRNPA2B1	-0.5561507471127496	0.0
SSB	0.22827498693269588	0.0
KHSRP	-3.300257054408952	0.0
RBM14	4.58406283577261	0.0
IFIH1	0.9260373436872864	0.0
HNRNPH1	1.4052219181955616	0.0
HNRNPD	-6.330951799634172	0.0
SRSF4	-4.1118898602902565	0.0
YBX1	1.946258592882518	0.0
CPEB1	-0.9455299899575547	0.0
SUPV3L1	-0.6173867000385531	0.0
NOVA1	-3.063797751462328	0.0
FXR2	1.1973122320738927	0.0
G3BP2	2.2924389983594455	0.0
HNRNPA1	2.056233537431512	0.0
(Intercept)	-47.532004978270436	0.0
