	Estimate	p-value
ADAR	-1.2342056722051074	0.0
NCL	0.3462044953135883	0.0
HNRNPM	3.3140681637091687	0.0
HNRNPA3	-0.4537634282010855	0.0
RC3H1	-3.2137218314704157	0.0
HNRNPU	3.0006851353995665	0.0
RBFOX2	1.896255433218494	0.0
SNRPA	-0.21696556547531415	0.0
SRSF5	-5.100546812674405	0.0
CELF1	3.133406232702973	0.0
SRSF1	2.3007634226987426	0.0
OAS1	0.19687249026484932	0.0
CELF5	0.051250653085757936	0.0
TUT1	-4.786541535529002	0.0
EIF4A3	0.2689472491663266	0.0
ZCRB1	-1.1856179420891217	0.0
RBM24	-1.296845146683348	0.0
CPEB2	-0.5757430932632239	0.0
HNRNPDL	1.1298762390330654	0.0
RBMS3	1.2022009250175674	0.0
SNRPB2	-2.582535786998035	0.0
ZRANB2	-6.25124577318211	0.0
XPO5	1.023112727781018	0.0
TARDBP	2.3416889146681674	0.0
DHX58	0.43241632983981626	0.0
CSTF2	-2.1060056249572714	0.0
ZFP36L2	-0.3991581563034986	0.0
RBM3	0.4227271613798895	0.0
RBM25	2.9536898100935596	0.0
CELF4	-0.05025874958353582	0.0
PABPC1	1.1548073933161054	0.0
SRSF6	0.6565304707426598	0.0
GRSF1	-0.4036220552889953	0.0
AKAP1	-1.5017210544402015	0.0
HNRNPF	0.03405335617655725	0.0
KHDRBS3	1.2469491555958936	0.0
PPIE	-1.3618691446284075	0.0
GRN	-0.8801616212080592	0.0
PPRC1	1.3586125154059299	0.0
PCBP2	-2.30529786176578	0.0
RBM8A	-0.5816496274215481	0.0
ZFP36	0.36961206970043836	0.0
PABPN1	9.424738912094895	0.0
DDX19B	5.430837294458714	0.0
HNRNPH2	4.628497325091849	0.0
SRP19	-2.6446490612587574	0.0
HNRNPAB	2.984840973771955	0.0
SF1	-5.7800797504493415	0.0
AGO1	-0.2568760117182862	0.0
PABPC4	2.716022431711024	0.0
RALY	1.2152933586716081	0.0
RBM42	-0.7949100920567713	0.0
TRA2A	2.100423287924635	0.0
SF3B1	-3.226112121379196	0.0
SRSF2	-2.56446989731388	0.0
RAVER1	0.9929712890029765	0.0
FXR1	1.9401459090290056	0.0
HNRNPA0	-0.1480646790778073	0.0
SRP14	-2.4152968269065664	0.0
TIAL1	2.3776416227170145	0.0
SRSF3	0.6870948218821662	0.0
PUM1	6.169684722161428	0.0
CPEB4	-0.1998977114009941	0.0
SP1	3.8361400393730953	0.0
RBM38	-0.7675292698717606	0.0
SF3B4	-1.9741801863980362	0.0
SRSF9	-0.1269457318771401	0.0
AGO2	-0.9905862971031958	0.0
QKI	-1.6560323371166512	0.0
SART3	2.5055808250110396	0.0
PTBP1	-9.662743210002883	0.0
SRSF7	0.7640446671723196	0.0
HNRNPA2B1	-8.798403029352466	0.0
ACO1	-0.9253840610392403	0.0
EIF4B	1.4329675699953333	0.0
SSB	2.510134568076968	0.0
RBM14	4.629459392151528	0.0
HNRNPH1	1.1986606900644912	0.0
HNRNPD	1.7012987129710595	0.0
NOVA2	-0.0063332537756979335	0.0
YBX1	-0.4294745936152261	0.0
HNRNPLL	-4.894611197581491	0.0
CPEB1	1.0473674387063832	0.0
FMR1	-0.44443165056339096	0.0
NELFE	-3.725166932701614	0.0
SUPV3L1	-5.051704203264292	0.0
SRSF10	-9.931105603358656	0.0
DHX9	8.195221371234009	0.0
G3BP2	-0.12984489818614242	0.0
SAMD4A	-0.6272967170583232	0.0
HNRNPA1	-4.998755988480234	0.0
(Intercept)	66.18904744927336	0.0
