	Estimate	p-value
ADAR	-0.6497815982244529	0.0
NCL	1.3637895113451448	0.0
HNRNPM	-0.8468933010197561	0.0
PCBP1	-0.8457770790447056	0.0
HNRNPH3	1.6462471218898571	0.0
RBMS1	0.9705194245103123	0.0
RBFOX2	-0.5700117686402487	0.0
SNRPA	0.2443526582897835	0.0
SRSF5	-0.909153676776393	0.0
PHAX	0.20817163119820442	0.0
CELF1	-0.6265675917250367	0.0
SRSF1	0.2054883889930259	0.0
OAS1	-0.6949414065340292	0.0
KHDRBS1	-1.7728201042261564	0.0
CELF5	0.28196151083858867	0.0
TUT1	-0.2036899288839238	0.0
EIF4A3	1.2813592294958511	0.0
ZCRB1	0.06658284094462874	0.0
RBM24	-0.10078853173074233	0.0
ESRP1	-1.0067003976508797	0.0
NONO	-0.18016221697350665	0.0
CPEB2	-0.6331410061977074	0.0
ELAVL1	-2.9260903312576954	0.0
HNRNPK	0.21817815514483152	0.0
CELF2	0.42425194567177926	0.0
RBMS3	2.241328567803614	0.0
SNRPB2	0.8299624814522515	0.0
XPO5	0.39125606500412513	0.0
ZRANB2	0.5031264398169044	0.0
TARDBP	-0.7109594719804384	0.0
DHX58	1.1140475286742215	0.0
CSTF2	-0.22615492129688464	0.0
ZFP36L2	-0.6047370641248511	0.0
RBM3	0.30441210427505716	0.0
IGHMBP2	-0.25027061594946887	0.0
RBM25	0.017559658281413426	0.0
CELF4	1.4654106822505728	0.0
PABPC1	0.6981700625644301	0.0
SRSF6	-0.5124826096450664	0.0
AKAP1	-0.29612319415237054	0.0
SRRM1	0.10395498477072185	0.0
KHDRBS3	-0.02684383431792614	0.0
PPIE	0.1436931868879816	0.0
GRN	0.05965335142212713	0.0
PPRC1	-0.10797547860467172	0.0
SNRNP70	0.26457429980145675	0.0
PCBP2	-0.6899207524112585	0.0
RBM8A	-0.16830808559251226	0.0
ZFP36	0.20830211749850713	0.0
PABPN1	0.10084954357406839	0.0
HNRNPH2	0.06959433840394885	0.0
ESRP2	1.167294193841242	0.0
SRP19	0.20505592732245392	0.0
HNRNPAB	-0.02571601878758542	0.0
RBMX	-0.46051254886973486	0.0
SF1	1.7262803196532719	0.0
YBX2	-0.9474572618967079	0.0
PABPC4	0.0918817562065056	0.0
RALY	0.4575311384086006	0.0
RBM42	-1.8629275908957157	0.0
TRA2A	0.08671388110338352	0.0
SF3B1	2.0910794254248892	0.0
SRSF2	-2.1782521871582317	0.0
NXF1	-0.3862312621945947	0.0
RAVER1	-0.558598062121596	0.0
IGF2BP2	-0.2776364569031239	0.0
HNRNPA0	1.0903353243383267	0.0
CMTR1	3.3417059805153646	0.0
SRP14	-1.1619775095393288	0.0
TIAL1	-0.11318462282315242	0.0
SRSF3	0.6391727455658118	0.0
G3BP1	-1.1121441547425408	0.0
PUM1	-0.2786469587442319	0.0
CPEB4	0.08100234513046624	0.0
SP1	0.7741570576663338	0.0
SFPQ	-2.7351272471824286	0.0
YTHDC1	-0.029725845975936305	0.0
SF3B4	0.46153938515342735	0.0
SRSF9	1.4706961045673324	0.0
TRA2B	1.2816074327939642	0.0
ZNF638	-1.6928326283214268	0.0
AGO2	1.1260920316509389	0.0
CFTR	-0.13466266557483086	0.0
RBM5	0.508625108323108	0.0
DAZAP1	1.7906755704280575	0.0
QKI	-0.6929530877446294	0.0
SART3	0.6857159571302213	0.0
U2AF2	-1.0739508956483763	0.0
SRSF11	0.8001166082963218	0.0
PTBP1	2.371893428375937	0.0
TIA1	-0.8015686335609579	0.0
HNRNPA2B1	0.8940777846276382	0.0
ACO1	0.02503985189002511	0.0
EIF4B	-0.8955307141944926	0.0
SSB	-0.10003991282856242	0.0
KHSRP	1.821461624794304	0.0
RBM14	-0.2566761309075021	0.0
IFIH1	0.2628075964973986	0.0
HNRNPH1	0.5586973283399053	0.0
HNRNPD	-0.5745470338801385	0.0
NOVA2	-0.1800154632566095	0.0
YBX1	-0.2688019056522773	0.0
SYNCRIP	0.8939072210065899	0.0
ERI1	-0.31657228206662325	0.0
NELFE	-1.7808832449230143	0.0
SUPV3L1	-0.43037924483882983	0.0
SRSF10	-1.033229289538824	0.0
NOVA1	-0.5724356280675176	0.0
FXR2	-0.8299373318791552	0.0
DHX9	2.8852153771775577	0.0
G3BP2	-0.08940385167314768	0.0
SAMD4A	-0.31333901705573985	0.0
HNRNPA1	-1.0558806926194229	0.0
(Intercept)	1.13415831816976	0.0
