	Estimate	p-value
ADAR	0.14936406596427118	0.0
NCL	0.7541620920220922	0.0
HNRNPM	0.5686274459191635	0.0
HNRNPA3	0.21665515540695107	0.0
NUDT21	-0.11979429649847528	0.0
PCBP1	0.1696423586558806	0.0
SRP54	-0.1888644805792863	0.0
HNRNPU	-0.04219751911542233	0.0
HNRNPH3	0.7604572578277597	0.0
RBMS1	0.17163543344729965	0.0
SRSF5	0.664556428885574	0.0
RBFOX2	1.0697842018058308	0.0
PHAX	-0.3715426026477271	0.0
SRSF1	0.2532124102998454	0.0
OAS1	0.21256903907351243	0.0
KHDRBS1	0.49591340021404107	0.0
TUT1	-0.24752185484908262	0.0
EIF4A3	0.014127823594247912	0.0
ZCRB1	-0.16873042923997628	0.0
RBM24	0.19917029689725596	0.0
ESRP1	0.2917430861983519	0.0
NONO	-0.21097186400972612	0.0
CPEB2	0.6136918483724919	0.0
HNRNPDL	-0.3030716637301065	0.0
HNRNPL	0.6862164752358995	0.0
ELAVL1	-0.39091120684929215	0.0
CELF2	-0.24290735891061488	0.0
RBMS3	0.5550470745148963	0.0
SNRPB2	-0.3835190262527832	0.0
XPO5	-0.16650596689356334	0.0
ZRANB2	0.08207062046152208	0.0
TARDBP	0.44597119915497496	0.0
DHX58	-0.0763136488346961	0.0
ZFP36L2	-0.7138562926692337	0.0
RBM3	-0.09977778644872859	0.0
IGHMBP2	0.07501174710558718	0.0
CELF4	-0.05247127144657253	0.0
MSI1	0.1748416405746453	0.0
GRSF1	-0.1956496092161743	0.0
HNRNPF	0.0881921835621062	0.0
SRRM1	0.7994837794934658	0.0
PPIE	-0.8608619892628273	0.0
GRN	-0.6464162658682134	0.0
DDX58	0.29867834258279374	0.0
PPRC1	-0.2538601280145789	0.0
PUM2	-0.914694576718595	0.0
PCBP2	0.4569931531831574	0.0
RBM8A	-0.19569219355701117	0.0
ZFP36	0.13653594191176494	0.0
PABPN1	-0.1681879273248163	0.0
DDX19B	-0.8304165049925649	0.0
HNRNPH2	-0.3372822314450997	0.0
ESRP2	0.4726798748248555	0.0
SRP19	-0.5154515607373652	0.0
HNRNPAB	-0.5699828502337587	0.0
RBMX	0.8485035026944681	0.0
SF1	-0.5549559245212741	0.0
AGO1	-0.24383953068937253	0.0
YBX2	-0.4897432199162794	0.0
PABPC4	-0.10603568195600432	0.0
CNOT4	0.10090718847877644	0.0
RBM42	0.06283127271076766	0.0
SRSF2	-0.3256515809537158	0.0
FUS	-0.7937146526535497	0.0
RAVER1	0.5609117684938792	0.0
IGF2BP2	0.31198039184045945	0.0
FXR1	0.8951336943699377	0.0
SRP14	-0.2681012477223324	0.0
TIAL1	0.1646981219107912	0.0
SRSF3	0.6242165908529973	0.0
G3BP1	0.20873438676430758	0.0
SP1	-0.6891361560694026	0.0
RBM38	-0.302813261619799	0.0
MBNL1	-0.027649083565696342	0.0
SF3B4	-0.39332003176191355	0.0
SRSF9	0.25016703506722454	0.0
TRA2B	0.020680545325326642	0.0
ZNF638	-0.7596589872541464	0.0
AGO2	-0.3726928530889907	0.0
CFTR	0.1257351568382331	0.0
RBM5	-0.3855384469652593	0.0
QKI	0.08539461787918964	0.0
RBM6	-0.11607639640328682	0.0
U2AF2	-0.3874294185394875	0.0
HNRNPC	0.24397704017630636	0.0
PTBP1	-0.2613836823745028	0.0
SRSF7	0.7515761271026138	0.0
HNRNPA2B1	0.20548247690141347	0.0
ACO1	-0.4614285762786229	0.0
EIF4B	0.06500704950314351	0.0
SSB	-0.18267176427061638	0.0
KHSRP	0.3132598836193033	0.0
RBM14	0.5929075167396115	0.0
IFIH1	0.5213349619434252	0.0
HNRNPH1	0.5806548678226773	0.0
HNRNPD	-0.6113411387381729	0.0
SRSF4	-0.08164890626658283	0.0
YBX1	-0.24755179940512778	0.0
HNRNPLL	0.5007145691698517	0.0
SYNCRIP	0.1674926272333925	0.0
ERI1	0.4042160095116822	0.0
FMR1	-0.25193184837213706	0.0
NELFE	-0.04106077014267134	0.0
SUPV3L1	-0.6591521038507407	0.0
SRSF10	-0.03935492740781641	0.0
NOVA1	-1.4104528982191882	0.0
FXR2	-0.5610768247153082	0.0
DHX9	0.2754397402107358	0.0
G3BP2	0.1785646743707445	0.0
SAMD4A	-0.30808193701000053	0.0
HNRNPA1	-0.2935388203952211	0.0
(Intercept)	8.047335366520189	0.0
