	Estimate	p-value
CPEB2	-0.8081056489974653	0.0
SSB	0.9042614396104413	0.0
HNRNPH2	-0.2704488699767772	0.0
ESRP1	-1.3199700365403377	0.0
HNRNPD	0.917196026223218	0.0
G3BP2	1.7114444564417433	0.0
SRSF1	1.5697117069125537	0.0
HNRNPA2B1	-3.201588365156123	0.0
IGF2BP2	-0.3032243096783729	0.0
PABPN1	1.661628068943168	0.0
HNRNPAB	-0.8256851708285803	0.0
CSTF2	0.36404211531167985	0.0
TUT1	-3.4269551774204503	0.0
SRP19	0.54971337874722	0.0
AKAP1	-0.7974011651141838	0.0
SNRPA	-0.604597659062998	0.0
SYNCRIP	-0.05659459946751244	0.0
G3BP1	-0.9452025240923874	0.0
NXF1	-0.11950460578753087	0.0
RBFOX2	0.6174631229481088	0.0
PABPC1	-0.1172393503127935	0.0
ADAR	-0.10352042286353079	0.0
RBM42	0.8968335418941645	0.0
SRP14	-0.45307799458896375	0.0
RAVER1	0.6520846206403067	0.0
DDX19B	-0.7064392291475847	0.0
FXR1	-1.181335629946275	0.0
AGO1	-0.7957046336811715	0.0
HNRNPA3	-0.6796550159046736	0.0
RALY	-1.063140162906571	0.0
HNRNPF	-1.603809623522731	0.0
GRN	1.4308596152812971	0.0
ELAVL1	-2.255771532250055	0.0
FXR2	-0.044224018145049795	0.0
SNRPB2	0.5494779628577569	0.0
IGHMBP2	2.010295485420545	0.0
MSI1	-0.321414585208779	0.0
PPRC1	2.01310718329112	0.0
PABPC4	-0.19537404619469143	0.0
TRA2B	-4.401695479139195	0.0
FMR1	1.6057877450467581	0.0
YBX1	0.22592662347303105	0.0
CELF2	-0.0659600296786852	0.0
DHX58	-0.11574836053342201	0.0
SRSF3	1.4865156615554416	0.0
PCBP1	1.8931839045033552	0.0
RBM38	0.12956032896394454	0.0
RBM25	1.5378539328745062	0.0
SP1	1.8882024411094727	0.0
(Intercept)	12.758670721829404	0.0
