	Estimate	p-value
TIA1	-4.230417210213644	0.0
ADAR	0.30445768068320955	0.0
HNRNPA2B1	3.6924177640039098	0.0
SRP19	-2.6349897717572084	0.0
ACO1	0.46366869929549615	0.0
RBMX	0.37908370905062344	0.0
SF1	1.1392819796113614	0.0
AGO1	-0.20572874312310008	0.0
YBX2	0.5449943714470586	0.0
EIF4B	-0.012518295151800363	0.0
PABPC4	-1.2585770819208022	0.0
HNRNPAB	0.870196744696083	0.0
NCL	-0.5632127583841811	0.0
HNRNPM	3.7392674505170294	0.0
RBM42	-0.9563032090974022	0.0
NUDT21	-0.3401026833601002	0.0
XPO5	-1.310684060467035	0.0
PCBP1	0.8736905038499232	0.0
TRA2A	-1.9343402485258336	0.0
SF3B1	-3.6574661069371714	0.0
SRP54	-1.2350456996989496	0.0
HNRNPD	-1.019590730242402	0.0
DHX58	-1.3112128942666939	0.0
SRP68	1.5882205944440146	0.0
CSTF2	1.1427134561330485	0.0
SRSF4	1.4416083910465	0.0
RAVER1	0.8347243353763247	0.0
RBM25	-0.1422913417296625	0.0
PABPC1	1.2434057035161987	0.0
SNRPA	3.3643818664377685	0.0
SRP14	-0.4024298782085478	0.0
HNRNPLL	4.6913967920605275	0.0
RBFOX2	-0.133334033151435	0.0
SRSF3	4.039378888350328	0.0
PHAX	1.0752730081378248	0.0
SFPQ	-2.3837689960395054	0.0
MBNL1	-0.5801044269213997	0.0
HNRNPF	0.13575839697421854	0.0
SRSF1	-0.01578940610205204	0.0
ERI1	-1.536020418214862	0.0
CPEB1	0.3516258844466391	0.0
SF3B4	-0.33094857685005286	0.0
SRSF9	-1.7684481039392885	0.0
ZFP36	-0.44729662349136257	0.0
OAS1	0.33831474366979974	0.0
ZNF638	2.69481213751917	0.0
NELFE	1.9730146958933923	0.0
GRN	0.30531396917259435	0.0
TUT1	-1.9464716718291393	0.0
SUPV3L1	0.580038559487339	0.0
DDX58	-0.07273563671104966	0.0
SRSF10	2.644899276734576	0.0
DAZAP1	-5.662603989328287	0.0
EIF4A3	0.3081380265352749	0.0
QKI	-0.9121106041798034	0.0
RBM24	-0.9732253504897657	0.0
NOVA1	-0.883548455452575	0.0
NONO	-2.6291751206414333	0.0
ESRP1	-0.5666566473151256	0.0
SART3	-0.3342596473413152	0.0
HNRNPL	-6.026585619273787	0.0
RBM6	1.6617979473694802	0.0
FXR2	-0.44950905100270355	0.0
RBM8A	-0.3603203683698173	0.0
DHX9	1.9122774661049349	0.0
G3BP2	-1.3089840335216971	0.0
SRSF11	2.4575897559958833	0.0
PABPN1	-0.803953575593088	0.0
DDX19B	1.3107480452864113	0.0
HNRNPA1	-0.7800317516588267	0.0
SRSF7	-4.331696504120285	0.0
(Intercept)	32.70224943918368	0.0
