	Estimate	p-value
ADAR	2.427727710158628	0.0
NCL	-3.364929216147594	0.0
HNRNPM	1.112047847457615	0.0
HNRNPA3	-2.895229560934957	0.0
NUDT21	-1.2437322788594047	0.0
PCBP1	1.351644556393766	0.0
RC3H1	-3.0826309501326903	0.0
SRP54	0.2677491193295497	0.0
HNRNPU	1.013480748458361	0.0
HNRNPH3	0.8239433650672919	0.0
RBMS1	2.0824041422414266	0.0
RBFOX2	0.6612492873098113	0.0
SNRPA	-3.5967251934343576	0.0
SRSF5	-1.0494571244080166	0.0
PHAX	-1.6886450147301906	0.0
CELF1	-0.9573038153989689	0.0
SRSF1	-0.8375289374387969	0.0
OAS1	-0.22948578750818194	0.0
KHDRBS1	-2.9454119299611965	0.0
CELF5	0.1667932618815713	0.0
TUT1	-0.09288306136517943	0.0
ESRP1	0.7530836162249447	0.0
CPEB2	-0.16660728853963724	0.0
HNRNPDL	-0.6201189880570916	0.0
ELAVL1	-2.927748648793329	0.0
HNRNPK	-2.6861948818378845	0.0
CELF2	-0.49962616875877996	0.0
RBMS3	0.6641605152716161	0.0
SNRPB2	-0.1661840008301474	0.0
XPO5	-0.20718477737814273	0.0
ZRANB2	0.9768070241395286	0.0
TARDBP	-0.14304672450437228	0.0
DHX58	-0.1415249878144791	0.0
CSTF2	0.9528368481302467	0.0
IGHMBP2	-1.5194392647629011	0.0
RBM25	0.9317602865077043	0.0
CELF4	0.7441669062804452	0.0
MSI1	1.0910808629332758	0.0
SRSF6	0.30820732992263367	0.0
AKAP1	-0.4098584961546435	0.0
HNRNPF	-0.12456933093955991	0.0
SRRM1	-0.46357272894181567	0.0
KHDRBS3	0.08544097184493737	0.0
PPIE	2.283287590869115	0.0
GRN	-0.4504605030161295	0.0
DDX58	-0.9326641398887704	0.0
PPRC1	2.817973113601969	0.0
PUM2	-1.3192080325246547	0.0
SNRNP70	-0.6483781774742907	0.0
PCBP2	-1.212166493400139	0.0
RBM8A	0.6394115712348578	0.0
ZFP36	-0.1407603164730275	0.0
PABPN1	1.3097212307293304	0.0
DDX19B	0.7636394561191996	0.0
ESRP2	-1.0695339596500615	0.0
SRP19	-2.9792956750119615	0.0
HNRNPAB	1.3170266671855353	0.0
SF1	0.1649082392312441	0.0
AGO1	-0.592835742296639	0.0
YBX2	-1.473656693180246	0.0
PABPC4	0.7000729289454173	0.0
CNOT4	2.261598693973527	0.0
RALY	1.5442134832495025	0.0
RBM42	-0.19489067783191014	0.0
TRA2A	-1.555405919679881	0.0
SF3B1	-0.5588836858876186	0.0
SRSF2	2.1041467457611063	0.0
NXF1	-0.011326746799561582	0.0
FUS	0.11791286045287852	0.0
RAVER1	-0.34341221804327704	0.0
IGF2BP2	-0.35096085344067474	0.0
FXR1	0.444594909706047	0.0
HNRNPA0	-0.8702950877147182	0.0
CMTR1	2.2082328838785266	0.0
SRP14	0.46325469019442067	0.0
TIAL1	-0.8244660258372032	0.0
SRSF3	0.09939539109874118	0.0
G3BP1	-3.094982950770686	0.0
PUM1	1.8356297856846	0.0
CPEB4	-0.6722648897027845	0.0
SP1	1.8005045375065873	0.0
SFPQ	-1.9456839198627687	0.0
RBM38	-0.24482868499168392	0.0
YTHDC1	-1.0016742734781987	0.0
MBNL1	-0.5233916625244206	0.0
SF3B4	-0.6359198214899395	0.0
SRSF9	-0.5577849188785855	0.0
TRA2B	4.266919907993187	0.0
AGO2	1.7281621075506697	0.0
CFTR	-0.3026652871391351	0.0
RBM5	-0.6563629510383044	0.0
DAZAP1	0.656133155789126	0.0
SART3	-0.5952211408468697	0.0
RBM6	1.0240987433800535	0.0
HNRNPC	2.72654267875804	0.0
SRSF11	0.004834820181412347	0.0
PTBP1	-2.3063714223805616	0.0
SRSF7	-0.5788978018268343	0.0
TIA1	-1.905426544330676	0.0
HNRNPA2B1	0.4938829324004877	0.0
ACO1	-0.021519997131712043	0.0
EIF4B	1.5108756020695135	0.0
SSB	0.7031441043580058	0.0
KHSRP	4.244397863187799	0.0
RBM14	0.3805239413487266	0.0
IFIH1	1.2683332871034354	0.0
HNRNPH1	1.7647274183891772	0.0
HNRNPD	1.982977626086738	0.0
NOVA2	-1.0788603018269125	0.0
SRSF4	-2.502420724443871	0.0
YBX1	-0.9161044124017201	0.0
HNRNPLL	0.7731087252184687	0.0
SYNCRIP	0.15358500126559127	0.0
ERI1	0.3533984568301384	0.0
CPEB1	-0.953621864086073	0.0
FMR1	-0.8014311550377151	0.0
NELFE	-2.625303409784405	0.0
SUPV3L1	0.020836979382193414	0.0
NOVA1	-0.3537725310041768	0.0
DHX9	-2.12988792649359	0.0
G3BP2	3.3809059952629568	0.0
SAMD4A	0.09609796080112121	0.0
(Intercept)	43.59291797371921	0.0
