	Estimate	p-value
CPEB2	0.5008635582315304	0.0
ZFP36L2	3.363497044144137	0.0
SRSF1	-20.822780986221602	0.0
RBMS3	-5.642841278772899	0.0
NUDT21	3.0141072760922407	0.0
RBM6	5.848264791553935	0.0
TUT1	33.867020973493126	0.0
SRP19	0.28563630713016086	0.0
YBX2	7.215944534516302	0.0
EIF4A3	-0.3608041926569685	0.0
SART3	-52.680153988815384	0.0
ZRANB2	2.8626017328565827	0.0
RAVER1	11.810238852691285	0.0
SF1	-26.310007714789993	0.0
TRA2A	-1.5759629093280547	0.0
SRSF5	27.887859600791266	0.0
SUPV3L1	-18.089820891864957	0.0
SNRPB2	-43.50550112666123	0.0
FXR2	23.253022316365666	0.0
SRSF4	16.464273044379187	0.0
PPRC1	4.6678837971719584	0.0
ZFP36	-1.5008773027509665	0.0
SP1	19.23745657705553	0.0
DHX9	12.524071133964823	0.0
SRSF6	21.896992231218793	0.0
CSTF2	16.2591671249864	0.0
CMTR1	14.161099593602444	0.0
SAMD4A	1.691242653464338	0.0
XPO5	19.171854383409254	0.0
HNRNPLL	24.204073754982186	0.0
ADAR	-2.547520844547486	0.0
RBM42	12.29570814268946	0.0
RBM14	-4.654330809341656	0.0
AGO1	34.08979369545121	0.0
CNOT4	-5.302109303418073	0.0
RBM8A	5.883427375307072	0.0
QKI	6.530430980664512	0.0
DDX58	6.006570119966234	0.0
NOVA1	-1.9219436731280921	0.0
PCBP1	-22.10612964317762	0.0
KHDRBS1	9.458983536413042	0.0
SF3B4	-2.1688268961234343	0.0
HNRNPM	-5.136893162553797	0.0
NONO	-0.4876844849761497	0.0
PUM1	-40.88113686467011	0.0
ESRP1	-4.25948682257213	0.0
SNRNP70	-32.04869884957144	0.0
PABPN1	-21.76490509559663	0.0
EIF4B	-1.4623308005846933	0.0
SNRPA	-18.10041164634096	0.0
SYNCRIP	-4.263782571831772	0.0
PHAX	-18.720411228737973	0.0
SRP68	11.236500186647351	0.0
SRRM1	-5.2975788806585165	0.0
SRP14	3.531714417488491	0.0
HNRNPDL	-7.149021790732821	0.0
TIA1	-21.82216816232863	0.0
GRN	-1.039625642242365	0.0
RC3H1	3.9919727440929216	0.0
HNRNPA1	8.336020411849159	0.0
DAZAP1	2.2180105283970293	0.0
OAS1	-6.752656783182951	0.0
SRSF9	9.21940182436056	0.0
CELF1	-27.604097207844347	0.0
HNRNPH2	-9.053731565357255	0.0
ACO1	-2.610416473404025	0.0
G3BP2	-36.3093971137626	0.0
KHDRBS3	7.732010274745482	0.0
HNRNPAB	-10.855070871533057	0.0
SF3B1	-16.34653701471303	0.0
YTHDC1	-21.771873696025185	0.0
NCL	4.968969236972088	0.0
RBMS1	10.919469298062655	0.0
G3BP1	62.430812079917246	0.0
PABPC1	-0.09113863687703372	0.0
DDX19B	3.695596409643643	0.0
SRSF11	33.48352748615098	0.0
RALY	20.63036624771049	0.0
HNRNPF	1.327997934217695	0.0
RBM24	9.218601817853287	0.0
HNRNPH1	-1.5108413789236357	0.0
IGHMBP2	-9.984139576432243	0.0
PABPC4	-10.772237287175445	0.0
DHX58	13.030098118237767	0.0
ZNF638	-4.2248078388149075	0.0
RBM5	21.67611025790252	0.0
CELF5	-8.229310337648549	0.0
(Intercept)	256.39780140308306	0.0
