	Estimate	p-value
IFIH1	0.6542276591033831	0.0
HNRNPM	4.2226086180951405	0.0
CFTR	-0.43414886842943634	0.0
SSB	0.5921885623720552	0.0
DHX9	-1.5561071325383988	0.0
NONO	0.11855191968771356	0.0
ESRP1	0.21354676983412202	0.0
G3BP2	-0.9543902475460896	0.0
NUDT21	0.8586567552151774	0.0
KHDRBS3	0.03221395515099942	0.0
IGF2BP2	-0.06118490948287569	0.0
SNRNP70	-2.2878802133303795	0.0
PABPN1	-0.4230981676291523	0.0
RBM6	1.2916662905152216	0.0
CSTF2	-1.200281720260707	0.0
ERI1	-0.3793221336431021	0.0
TUT1	-0.8009733880984813	0.0
SRP19	-0.22230718024685947	0.0
CMTR1	-1.9995949739247687	0.0
SF3B1	0.7366126063586382	0.0
YTHDC1	2.689731786257184	0.0
SNRPA	-0.4972828832268513	0.0
AKAP1	-1.019740427790059	0.0
SYNCRIP	0.7420725508386026	0.0
SAMD4A	0.010151794837713113	0.0
XPO5	1.1159237032099867	0.0
NCL	-0.44838984565201645	0.0
G3BP1	0.615032663467616	0.0
EIF4A3	0.6261369268901449	0.0
PABPC1	1.7604069315261874	0.0
RBFOX2	1.7419751032315838	0.0
DDX58	-1.0857963778718285	0.0
HNRNPLL	-0.518237360884942	0.0
ADAR	2.4355118889520204	0.0
SART3	3.422999158199917	0.0
HNRNPU	-2.93897567249358	0.0
RBM42	0.5951018005766534	0.0
SRP14	1.2907918057352972	0.0
RBM3	-0.7175184361003879	0.0
DDX19B	-0.09921603176036414	0.0
RAVER1	-0.09226074316913624	0.0
FXR1	-0.061093225115781746	0.0
TRA2A	-1.2762560824572886	0.0
AGO1	-0.4590986797460559	0.0
U2AF2	1.208324671714675	0.0
RALY	0.2210766111964076	0.0
HNRNPA3	0.9319689033851857	0.0
AGO2	-1.7732015969037969	0.0
GRN	0.1169454866679942	0.0
ELAVL1	-0.1322636554977532	0.0
SNRPB2	-2.6599123796199144	0.0
HNRNPH1	-0.22379282383201526	0.0
SRP54	0.49764855550606446	0.0
HNRNPA1	-2.9187246051735927	0.0
QKI	-0.24391125038377548	0.0
TRA2B	0.9536061209867424	0.0
FMR1	0.9922425733625018	0.0
YBX1	0.7118370742131748	0.0
ZFP36	-0.3042052415243272	0.0
CELF2	0.7449139192070655	0.0
OAS1	0.05957798502874567	0.0
DHX58	-0.013771018986262595	0.0
SRSF9	-1.585151257282399	0.0
HNRNPA0	-0.3189510452764033	0.0
RBM38	0.4998742492279342	0.0
RBM5	-0.18445257452358188	0.0
PCBP1	0.16411177122331244	0.0
(Intercept)	-8.153302038358781	0.0
