	Estimate	p-value
CPEB2	0.5374976835632888	0.0
IFIH1	0.07757997824548857	0.0
PCBP2	-0.21724027431856846	0.0
CFTR	-0.3363790948189446	0.0
ZFP36L2	0.0674280295437788	0.0
SRSF1	0.18122257851839146	0.0
RBMS3	-0.9285601439690405	0.0
NUDT21	0.22764880721133085	0.0
RBM6	-0.11611942145831322	0.0
TUT1	0.23430398763875976	0.0
SRP19	-0.2407490262132424	0.0
YBX2	-0.2935034903573368	0.0
EIF4A3	-0.4179081211087975	0.0
SART3	0.16514316044405686	0.0
ZRANB2	0.6918744877862018	0.0
ZCRB1	0.6573950925116036	0.0
RBM3	-0.45197080822869495	0.0
FXR1	-0.9061130792158959	0.0
SF1	-0.04251546099928449	0.0
TRA2A	-0.20427845165588515	0.0
SRSF5	-0.1294993855195031	0.0
CELF4	-0.3986694866383156	0.0
SUPV3L1	0.12213185077503863	0.0
FXR2	0.22210709931681127	0.0
KHSRP	-0.19606070358092187	0.0
SNRPB2	-0.8017680815721241	0.0
PPRC1	-0.25138587940503454	0.0
YBX1	0.23906765000845737	0.0
ZFP36	0.2899751081969413	0.0
RBM38	-0.5882783042549673	0.0
SP1	-0.25631859960812736	0.0
SFPQ	0.22519204891012834	0.0
TIAL1	-0.3821991786630494	0.0
DHX9	0.32232633818921186	0.0
PUM2	0.22988819350976808	0.0
SRSF6	-0.5262527526664107	0.0
CSTF2	0.16833348520806296	0.0
CMTR1	0.08761443468175333	0.0
XPO5	0.19519671647807604	0.0
RBFOX2	0.19419725327011522	0.0
HNRNPLL	0.1482965727819759	0.0
ADAR	0.6072296087719325	0.0
RBM42	0.09567682234514618	0.0
CPEB1	-0.0770697562288255	0.0
AGO1	0.3016054495483643	0.0
RBM8A	0.6634534377394818	0.0
RBMX	-0.20877435873033817	0.0
QKI	0.07815873443660126	0.0
SRSF2	0.3426881232383554	0.0
CELF2	0.2947831446929562	0.0
HNRNPA0	0.21605286826066172	0.0
DDX58	0.3963297822460311	0.0
RBM25	0.0035712017606715912	0.0
NOVA1	0.9584410873849454	0.0
SSB	0.1358763324598299	0.0
KHDRBS1	0.04890877360930997	0.0
SF3B4	-0.19811799898991916	0.0
PPIE	-0.24981451799705234	0.0
HNRNPM	0.5484325325865408	0.0
TARDBP	-0.2610344105559999	0.0
PUM1	-0.43493950437190093	0.0
GRSF1	-0.01886481021587231	0.0
ESRP1	-0.26043809257292516	0.0
SNRNP70	0.07861300884182132	0.0
PABPN1	-0.24546943556445117	0.0
ERI1	0.5972747173654597	0.0
EIF4B	0.4679365353363256	0.0
SNRPA	-0.33548285064641986	0.0
SRP68	0.6633156626609826	0.0
FUS	-0.09559914322519855	0.0
SRRM1	-0.22013736806849177	0.0
SRP14	0.8576343796852095	0.0
NOVA2	-0.3816318217585952	0.0
HNRNPDL	-0.22548683856753843	0.0
TIA1	0.27226318588939363	0.0
AGO2	-0.2161371093778719	0.0
GRN	0.5228728121378108	0.0
HNRNPL	0.05801500371480553	0.0
HNRNPA1	-0.046582466427201576	0.0
DAZAP1	-0.3455636778772687	0.0
NELFE	0.05720603282734352	0.0
OAS1	0.06410356226143152	0.0
SRSF9	0.3638415708684211	0.0
PTBP1	-0.8722841207594344	0.0
MBNL1	-0.7325631802381886	0.0
HNRNPH2	-0.2760163985740301	0.0
ACO1	0.3527984930082543	0.0
G3BP2	0.19268266181862992	0.0
KHDRBS3	0.20932367569676882	0.0
HNRNPA2B1	0.15453432953711543	0.0
IGF2BP2	0.30026552315538124	0.0
HNRNPAB	-0.31891394925632593	0.0
SF3B1	0.07032990491095603	0.0
NCL	0.5283454712637152	0.0
RBMS1	-0.42699084036310886	0.0
G3BP1	-0.39852066879649034	0.0
NXF1	0.7985856678761716	0.0
PABPC1	0.12791794619421354	0.0
DDX19B	-0.03763391806397154	0.0
HNRNPC	0.07676975958342093	0.0
SRSF11	0.46692440335037894	0.0
ESRP2	-0.4485303971261795	0.0
U2AF2	0.1774088022609499	0.0
RALY	-1.2948702440505815	0.0
HNRNPF	-0.07460538589440141	0.0
RBM24	0.1704723007001805	0.0
HNRNPH1	0.6073403692039415	0.0
IGHMBP2	-0.2101048390179726	0.0
MSI1	-0.0625940229366756	0.0
TRA2B	-0.2654011967391654	0.0
HNRNPK	-0.1170693275157842	0.0
ZNF638	-0.34491438564712623	0.0
RBM5	-0.18553374130448674	0.0
CELF5	-0.5674287664485487	0.0
(Intercept)	-0.5721241154475152	0.0
