	Estimate	p-value
CPEB2	0.06794748076466771	0.0
IFIH1	-0.23526674599428962	0.0
CFTR	0.12439201715697884	0.0
ZFP36L2	-0.021670050129860785	0.0
SRSF1	-0.8572310390500223	0.0
RBMS3	0.015070350849146236	0.0
NUDT21	0.33939982571175153	0.0
RBM6	0.1831005799062176	0.0
TUT1	-0.5352055336831264	0.0
SRP19	-0.13476567320545618	0.0
YBX2	-0.03281703114093343	0.0
EIF4A3	0.1293727691164946	0.0
HNRNPU	0.23663407187384478	0.0
SART3	-0.030799948558546952	0.0
ZRANB2	0.24580475907668714	0.0
RAVER1	0.5171500045673177	0.0
ZCRB1	-0.2386924760526863	0.0
RBM3	0.04719976180858415	0.0
SF1	0.37423382847375297	0.0
TRA2A	0.03922327981780155	0.0
SRSF5	-0.38526314794220784	0.0
CELF4	-0.3299775363074051	0.0
HNRNPA3	0.0057491321041845955	0.0
SUPV3L1	0.2808727945133921	0.0
FXR2	-0.27759295285464225	0.0
KHSRP	-0.3324248437816665	0.0
SNRPB2	-0.020862062685500393	0.0
PPRC1	0.013646179099099515	0.0
FMR1	-0.3472872091389046	0.0
YBX1	0.09350203021312453	0.0
ZFP36	-0.01410974997924086	0.0
SRSF3	-0.7214473799724858	0.0
RBM38	0.13459791931221032	0.0
SP1	0.42250705565742414	0.0
SFPQ	-0.2277434992847257	0.0
TIAL1	-0.2647426287089261	0.0
DHX9	0.28603253064569856	0.0
PUM2	-0.7287959812440401	0.0
SRSF6	-0.2770954912030747	0.0
CSTF2	0.6657984516831474	0.0
CMTR1	0.5140287491100736	0.0
SAMD4A	0.0888599145860228	0.0
XPO5	0.17035614698712132	0.0
RBFOX2	0.045959763735270914	0.0
HNRNPLL	0.17901280068958625	0.0
ADAR	0.429685309058937	0.0
RBM42	-0.19581736999528596	0.0
RBM14	-0.11465138395117688	0.0
CPEB1	-0.1141489313526092	0.0
AGO1	0.0036541855796663747	0.0
CNOT4	-0.46211749887080755	0.0
ELAVL1	-0.28116824271807045	0.0
RBM8A	0.2366535442139996	0.0
RBMX	0.5205546835297137	0.0
QKI	0.006791640306748115	0.0
SRSF2	-0.43010506350184596	0.0
CELF2	0.09175483089940842	0.0
HNRNPA0	0.27133875075905717	0.0
DDX58	-0.012547312202522615	0.0
RBM25	0.8493770588520098	0.0
NOVA1	-0.1898960349462523	0.0
PCBP1	0.6121062032826624	0.0
KHDRBS1	0.5755722060637913	0.0
SF3B4	-0.36973957556986137	0.0
PPIE	-0.2655451923492365	0.0
HNRNPM	0.3415994418096515	0.0
TARDBP	0.01772111065269638	0.0
NONO	0.3909119722202363	0.0
PUM1	-0.7665312835117012	0.0
GRSF1	-0.28297064355677715	0.0
ESRP1	-0.1069640652993514	0.0
SNRNP70	-0.30549371407464004	0.0
PABPN1	-0.25458009005389964	0.0
ERI1	-0.10187191252442396	0.0
EIF4B	0.002196430141760186	0.0
AKAP1	-0.06753585801216122	0.0
SNRPA	-0.6527971992105162	0.0
SYNCRIP	0.2720653607377773	0.0
PHAX	0.01281152308356473	0.0
FUS	-0.19356391054116076	0.0
SRRM1	0.10209022157997863	0.0
SRP14	-0.27790816080886943	0.0
NOVA2	-0.0788073675912458	0.0
HNRNPDL	0.07541436153767136	0.0
TIA1	-0.5308930928296763	0.0
HNRNPH3	-0.37653936905211055	0.0
AGO2	-0.1421418633044136	0.0
GRN	-0.0051849022108901854	0.0
RC3H1	-0.9295475855337634	0.0
HNRNPL	0.4866659486548549	0.0
SRP54	-0.14623042642466022	0.0
HNRNPA1	-0.5493295571867939	0.0
DAZAP1	-0.0494918025222538	0.0
NELFE	0.12749327582923592	0.0
OAS1	0.023334640502026438	0.0
SRSF9	0.2525244302905352	0.0
PTBP1	-0.7053752816755117	0.0
MBNL1	-0.3126435788300393	0.0
CELF1	0.3944819361142219	0.0
HNRNPH2	-0.4101048869899264	0.0
ACO1	0.050895500039596864	0.0
G3BP2	0.37677864786305376	0.0
HNRNPD	-0.25083548694124436	0.0
KHDRBS3	0.14468910468888024	0.0
HNRNPA2B1	-0.13871243765047547	0.0
IGF2BP2	-0.024730563746111517	0.0
HNRNPAB	-0.2058681745003328	0.0
SF3B1	0.4958845984147181	0.0
YTHDC1	0.593024011565266	0.0
RBMS1	0.23714946594360736	0.0
G3BP1	0.08417449891286838	0.0
NXF1	0.10765393129551257	0.0
PABPC1	0.13426183794419444	0.0
CPEB4	0.035796065112086856	0.0
DDX19B	-0.22095239216291657	0.0
HNRNPC	0.06839366448914685	0.0
SRSF11	0.04185715573419174	0.0
ESRP2	0.21161895881078005	0.0
U2AF2	0.27127575373746354	0.0
RALY	-0.18481249493367025	0.0
HNRNPF	0.2620680970343738	0.0
RBM24	0.05115755572361508	0.0
HNRNPH1	0.5857133168722662	0.0
IGHMBP2	0.11456374222759053	0.0
MSI1	0.08995709952626109	0.0
PABPC4	0.0099796575369831	0.0
TRA2B	0.6044717203745977	0.0
DHX58	-0.06664161605023221	0.0
ZNF638	-0.25112710933819193	0.0
RBM5	-0.17147225692903267	0.0
CELF5	0.3546341829469646	0.0
(Intercept)	11.85428918728496	0.0
