	Estimate	p-value
ELAVL1	-0.2962715633876893	0.0
ADAR	-0.46509904010950254	0.0
CELF2	0.12329730791874438	0.0
SRP19	0.17261541062764985	0.0
ESRP2	0.44238131390447155	0.0
HNRNPAB	-0.08502852965857133	0.0
ACO1	-0.5218164973177684	0.0
EIF4B	0.17643236975785342	0.0
YBX2	0.1043231888471623	0.0
NCL	0.0790769220814207	0.0
CNOT4	-0.13793519985615565	0.0
RALY	-0.3594105974558895	0.0
RBM42	0.3924683205074728	0.0
NUDT21	0.6748883376609416	0.0
SNRPB2	-0.45109736062490513	0.0
SF3B1	0.22063486930404114	0.0
SRP54	0.2877519606173912	0.0
CSTF2	0.49365731276740255	0.0
NOVA2	-0.18160571534317452	0.0
HNRNPH3	0.10213450930648293	0.0
RBMS1	-0.24858556451421884	0.0
RBM3	-0.2526661241414593	0.0
RBM25	0.863881817287609	0.0
CELF4	-0.7824469748607101	0.0
PABPC1	-0.3406939909222416	0.0
SNRPA	-0.004157317650698489	0.0
RBFOX2	0.8759565222606447	0.0
MSI1	0.0017213105604108048	0.0
HNRNPA0	-0.13518398902329654	0.0
TIAL1	0.35385840787630013	0.0
G3BP1	0.34414384656356767	0.0
GRSF1	0.6462646012878166	0.0
SP1	-0.2040947014839565	0.0
RBM38	0.2421722976081242	0.0
HNRNPF	-0.4214986703693135	0.0
YTHDC1	-0.07231504481689816	0.0
MBNL1	0.3334353983753333	0.0
ERI1	-0.10950934636063792	0.0
SF3B4	0.2847947296700007	0.0
SRSF9	-0.16196441117171634	0.0
KHDRBS3	-0.5067287196056828	0.0
PPIE	-0.010979436208926496	0.0
OAS1	-0.2528371579849791	0.0
CELF5	-1.204401424465515	0.0
NELFE	0.11825537925130614	0.0
DDX58	0.09057963552353204	0.0
RBM5	-0.22337381717799942	0.0
PPRC1	0.46076208994654305	0.0
ESRP1	0.6447641016129333	0.0
QKI	-0.6919483478877582	0.0
RBM24	-0.20177659148005464	0.0
SNRNP70	0.8071502058439479	0.0
HNRNPDL	-0.1460674469407428	0.0
RBM6	-0.10908085630320719	0.0
FXR2	-0.696580229595212	0.0
G3BP2	0.016275059194901187	0.0
ZFP36	-0.10881534513943592	0.0
PABPN1	-0.5070035462020577	0.0
HNRNPL	-0.791961595869217	0.0
(Intercept)	-5.878315447404033	0.0
