	Estimate	p-value
TIA1	-0.6420227051229201	0.0
HNRNPK	0.8834246556720756	0.0
ADAR	-0.37424845171086846	0.0
ESRP2	0.7095700221837719	0.0
HNRNPAB	-0.557878759116868	0.0
RBMX	-0.6143923390832471	0.0
SF1	-0.5623012313425336	0.0
PABPC4	-0.18392544380456832	0.0
HNRNPA3	0.2913531954758729	0.0
RBM42	-0.24880099267122308	0.0
NUDT21	-0.22411806235208714	0.0
SNRPB2	-0.05915064285903151	0.0
ZRANB2	-0.305214417151557	0.0
PCBP1	0.5602382415179903	0.0
RC3H1	0.14226304485960545	0.0
SRP54	-0.25650597074614523	0.0
HNRNPH1	-0.0817672778056493	0.0
DHX58	0.332826282359468	0.0
FUS	0.13025220706279675	0.0
ZFP36L2	0.08948951183753812	0.0
RAVER1	0.034701281841635345	0.0
HNRNPH3	-0.323540652664169	0.0
RBMS1	-0.1317546339934625	0.0
RBM3	-0.07577288957796802	0.0
IGF2BP2	-0.07062384073095543	0.0
PABPC1	0.2167620967120119	0.0
RBFOX2	0.5592299533875722	0.0
SRP14	-0.3248453828304206	0.0
MSI1	-0.049853583339370455	0.0
PHAX	-0.10723461799383718	0.0
YBX1	-0.12679936749344833	0.0
HNRNPLL	-0.3418898376570325	0.0
SYNCRIP	0.14774175665638273	0.0
G3BP1	0.3577817517244172	0.0
PABPN1	-0.15366917426589893	0.0
SP1	-0.03639576589767607	0.0
AKAP1	0.10440350910958218	0.0
RBM38	-0.09189916057789349	0.0
SF3B4	0.2288967114976621	0.0
ZFP36	0.12985496230959212	0.0
SRSF9	0.5393342966832937	0.0
KHDRBS3	0.10918350564048013	0.0
PPIE	0.3327700001996371	0.0
TRA2B	0.642994806427849	0.0
AGO2	-0.08397553772926622	0.0
CELF5	-0.2395358835617106	0.0
NELFE	-0.45559281150885544	0.0
TUT1	-0.35558069784783586	0.0
SUPV3L1	-0.35010682938711735	0.0
ESRP1	0.5012853153700092	0.0
RBM24	0.09417864070604454	0.0
NOVA1	-0.04152623776527892	0.0
NONO	-0.2622146158206141	0.0
CPEB2	0.018084504005418278	0.0
SART3	0.30499920679278314	0.0
RBM8A	-0.45105636723484077	0.0
FXR2	-0.2911775081593603	0.0
G3BP2	-0.29850798222042996	0.0
SRSF11	0.4909498353070392	0.0
SAMD4A	-0.427004731035615	0.0
(Intercept)	-0.7520976914684239	0.0
