	Estimate	p-value
TIA1	-0.6334903763904403	0.0
ADAR	-0.2192360365279425	0.0
ESRP2	0.6470573275572578	0.0
SRP19	-1.0099176705070738	0.0
YBX2	-0.19441612457411334	0.0
PABPC4	-0.5181501207363173	0.0
RBM42	-0.38049604391302166	0.0
SNRPB2	-0.29723523462438545	0.0
HNRNPD	0.19553010237864302	0.0
CSTF2	0.7263826504301762	0.0
ZFP36L2	-0.10540574060705757	0.0
SRSF4	1.0108063098706264	0.0
RAVER1	-0.4836642623859054	0.0
RBMS1	0.4579145323553961	0.0
RBM3	-0.22290803559864306	0.0
IGF2BP2	-0.0603113151441461	0.0
FXR1	0.16228134392433569	0.0
CELF4	-0.519745643197138	0.0
SRP14	0.04262260757423159	0.0
HNRNPLL	0.02484982685297329	0.0
MSI1	0.13005414816619498	0.0
TIAL1	-0.060082138576231715	0.0
PUM1	-0.43079596181679175	0.0
CPEB4	-0.26408960155075273	0.0
RBM38	-0.2351373083041034	0.0
YTHDC1	0.33102926159243645	0.0
MBNL1	0.2595847180193794	0.0
ERI1	-0.06850332169739554	0.0
CPEB1	0.07442324144640253	0.0
PPIE	0.20600644011552247	0.0
OAS1	0.2616353227682365	0.0
TRA2B	0.21325667269240028	0.0
CFTR	-0.05477670298781903	0.0
FMR1	-0.39509283235219894	0.0
GRN	0.4527190176667848	0.0
NELFE	-0.4240231841912489	0.0
SUPV3L1	0.5467260237958017	0.0
DAZAP1	0.3727989581837981	0.0
EIF4A3	-0.40941797504438837	0.0
ESRP1	0.6035678749350989	0.0
RBM24	-0.2423683847261107	0.0
NOVA1	-1.6226842232629766	0.0
PUM2	1.0051442424361432	0.0
RBM8A	-0.6904298154976002	0.0
ZFP36	0.20117574885719539	0.0
DDX19B	-0.08080107671083572	0.0
HNRNPH2	-0.7422991217248227	0.0
(Intercept)	-3.9050197480920805	0.0
