	Estimate	p-value
CPEB2	-0.07610069704598339	0.0
CFTR	-0.03210931062364142	0.0
ZFP36L2	-0.1251656946305831	0.0
HNRNPH2	-0.12387775897915593	0.0
NONO	-0.7782474263936138	0.0
PUM1	-0.08084827726373639	0.0
ESRP1	0.577356404242594	0.0
SRSF1	-0.6354730006759005	0.0
NUDT21	-0.24038367336061445	0.0
ACO1	-0.11579618602753294	0.0
SP1	0.3705026014900486	0.0
IGF2BP2	-0.1471860125348938	0.0
SNRNP70	-1.0617923093369617	0.0
SRSF6	-0.17416897187840658	0.0
PABPN1	0.07229398891346239	0.0
RBM6	-0.011291411891127243	0.0
ERI1	-0.269103978818494	0.0
TUT1	-0.9158067662614512	0.0
SRP19	0.2232729390371147	0.0
CMTR1	0.002652278435619798	0.0
YBX2	0.08763573053445556	0.0
YTHDC1	1.034363076040946	0.0
AKAP1	0.393556704189332	0.0
NCL	0.03740217090052367	0.0
XPO5	0.18640400140313046	0.0
RBMS1	0.4883879072692645	0.0
G3BP1	0.05964213393546838	0.0
SRP68	-0.07013368206882342	0.0
RBFOX2	0.6016884288867764	0.0
PABPC1	0.02274611464006593	0.0
DDX58	0.46263675402818943	0.0
ZRANB2	-0.2016358014656327	0.0
RBM42	0.6907956432101015	0.0
CPEB4	-0.23955272087425616	0.0
RBM3	0.05223770203261374	0.0
DDX19B	0.4930488987271442	0.0
NOVA2	-0.9797554858931259	0.0
SRSF11	0.5559994791225022	0.0
HNRNPH3	0.2235702455267431	0.0
AGO1	-0.21639214771575754	0.0
ESRP2	0.4892618532310357	0.0
CELF4	-0.12842967139842987	0.0
CNOT4	0.6331434176364585	0.0
HNRNPA3	-1.0968893844805838	0.0
HNRNPF	0.3618703872896031	0.0
RBM24	-0.1697700505598966	0.0
RBM8A	0.7205475743955627	0.0
RC3H1	0.310330621333497	0.0
FXR2	0.21735198338837725	0.0
HNRNPL	-0.4765486820243532	0.0
MSI1	0.1054622946659716	0.0
PABPC4	0.04681095515281365	0.0
TRA2B	0.829056559247555	0.0
NELFE	-0.5407363070040182	0.0
YBX1	0.60321519184247	0.0
ZFP36	-0.03141527041399694	0.0
CELF2	-0.04900275580072755	0.0
OAS1	0.04720658815143258	0.0
PCBP1	-0.4554264199569286	0.0
RBM5	-0.18382375000640003	0.0
MBNL1	-0.20240589036748152	0.0
SSB	0.02315528314103457	0.0
RBM25	-0.48238554257883576	0.0
(Intercept)	-5.348943063405823	0.0
