	Estimate	p-value
TIA1	-0.3533391311362833	0.0
CELF2	-0.20156021521035888	0.0
ESRP2	0.575033497940717	0.0
HNRNPAB	-0.18875425561350268	0.0
RBMS3	-0.09602518045142609	0.0
EIF4B	-0.16883019966159302	0.0
NCL	0.1144591136195543	0.0
RALY	-0.09030885156289288	0.0
SNRPB2	-0.012462109829130652	0.0
SF3B1	0.1693544323986213	0.0
NXF1	-0.1037563379138744	0.0
SRP54	0.2519131417635641	0.0
HNRNPH1	-0.1689602332402507	0.0
ZFP36L2	-0.19339814690954307	0.0
RAVER1	0.03001177287157976	0.0
RBM3	-0.005548480522596619	0.0
IGHMBP2	-0.09161130760803525	0.0
IGF2BP2	-0.04764668046800778	0.0
RBM25	0.15897913486242174	0.0
SRP14	-0.11203996722840398	0.0
MSI1	0.10998733164981535	0.0
AKAP1	0.18345464350753504	0.0
YTHDC1	0.35075081181853224	0.0
ERI1	-0.22734299673474917	0.0
CPEB1	-0.24486875147893894	0.0
OAS1	0.06156133587478371	0.0
CELF5	-0.8704080526978007	0.0
FMR1	-0.2186032826768877	0.0
GRN	0.09917977478995016	0.0
TUT1	-0.2848287399552104	0.0
NELFE	-0.0575052427935998	0.0
DDX58	0.14865672322764195	0.0
EIF4A3	-0.15572677790531708	0.0
ESRP1	0.39027018351901144	0.0
RBM24	0.09207568859510733	0.0
CPEB2	-0.11467553027849359	0.0
U2AF2	-0.41634843711319525	0.0
FXR2	-0.25408351391793876	0.0
G3BP2	-0.014839493268105913	0.0
ZFP36	0.03300640844742924	0.0
HNRNPA1	-0.011994323622791642	0.0
(Intercept)	0.9065454319232684	0.0
