	Estimate	p-value
ADAR	-0.12780850484826936	0.0
NCL	0.12204139562419965	0.0
HNRNPA3	0.10700999479630337	0.0
NUDT21	0.32923543961023427	0.0
PCBP1	-0.003240941383569562	0.0
SRP54	-0.09562402433005376	0.0
HNRNPH3	-0.43496017866342485	0.0
SNRPA	-0.21528083167256873	0.0
SRSF5	0.3299790923475204	0.0
RBFOX2	0.4420832299599968	0.0
PHAX	-0.1603830807088789	0.0
KHDRBS1	0.037905725507111666	0.0
CELF5	-0.18760939796790466	0.0
TUT1	-0.600132876643713	0.0
EIF4A3	-0.03586211953980811	0.0
ESRP1	0.49797597145015055	0.0
ZCRB1	0.3563608903362703	0.0
RBM24	0.097844240612281	0.0
NONO	-0.13722490884612032	0.0
CPEB2	0.02018058833050379	0.0
HNRNPL	-0.8102536629472186	0.0
ELAVL1	-0.2719121849622765	0.0
HNRNPK	0.815429498895396	0.0
CELF2	-0.212064585261018	0.0
SNRPB2	0.04857042626721181	0.0
ZRANB2	-0.7625773760383968	0.0
DHX58	-0.2375714688420773	0.0
CSTF2	0.3939558199053699	0.0
ZFP36L2	0.18089920337750842	0.0
RBM3	-0.19574317170081557	0.0
IGHMBP2	0.1119626286293296	0.0
CELF4	-0.020901625629045045	0.0
PABPC1	-0.11227726514091729	0.0
MSI1	-0.051179264488909915	0.0
AKAP1	-0.19417950879263596	0.0
HNRNPF	-0.25340027346246874	0.0
KHDRBS3	-0.06144550960892056	0.0
GRN	0.22334172389878434	0.0
DDX58	0.19361332798673347	0.0
SNRNP70	0.18958730642435512	0.0
PCBP2	-0.3420973152803025	0.0
DDX19B	-0.7172509099780149	0.0
HNRNPH2	-0.36784760911928505	0.0
ESRP2	0.493961083882561	0.0
SRP19	-0.18333714236289625	0.0
RBMX	-0.28623924418951713	0.0
SF1	0.8446543903966881	0.0
YBX2	-0.23231424172303192	0.0
RALY	-0.38800989760700877	0.0
RBM42	0.08225819200109508	0.0
SF3B1	-0.0007755573560094542	0.0
RAVER1	-0.32129912556246054	0.0
IGF2BP2	0.077425559842698	0.0
FXR1	0.17670111720270698	0.0
HNRNPA0	-0.3659817907023615	0.0
CMTR1	-0.2718564321904226	0.0
TIAL1	0.19659295125574153	0.0
SRSF3	0.6377653459098223	0.0
G3BP1	-0.2868204010732493	0.0
PUM1	-0.4936689410204968	0.0
SP1	0.7503666586845685	0.0
RBM38	-0.017359764315568238	0.0
YTHDC1	0.05729090714070388	0.0
SF3B4	-0.17564909043332655	0.0
TRA2B	0.36850645234378665	0.0
ZNF638	-0.015208148163579183	0.0
AGO2	-0.3615990390090343	0.0
QKI	-0.23427048586246832	0.0
SART3	-0.5768569189101164	0.0
U2AF2	-0.23425598983599616	0.0
SRSF11	0.15958817999345343	0.0
PTBP1	0.8089780961565176	0.0
TIA1	0.09625101165431074	0.0
ACO1	-0.28210541039657255	0.0
EIF4B	0.10896835165991303	0.0
SSB	-0.008793011828456428	0.0
KHSRP	0.07665799088195996	0.0
IFIH1	-0.06192124146207187	0.0
HNRNPH1	-0.3822180618947701	0.0
YBX1	0.20038893615176528	0.0
HNRNPLL	-0.6087465178229823	0.0
ERI1	-0.8219126672877192	0.0
CPEB1	0.5986901724222288	0.0
FMR1	-0.43490136551822456	0.0
NELFE	0.055562416537137505	0.0
NOVA1	0.0544997172703755	0.0
FXR2	0.20351650147331402	0.0
SAMD4A	-0.09802416468509145	0.0
(Intercept)	-0.5120393856379284	0.0
