	Estimate	p-value
ADAR	-0.8852392713895253	0.0
HNRNPM	-0.038490936406573306	0.0
PCBP1	0.19180481494517643	0.0
RC3H1	0.3120379909327344	0.0
SRP54	0.22579489848174894	0.0
HNRNPU	-0.09315272949894608	0.0
RBMS1	-1.0038619009809295	0.0
SNRPA	-0.6697853814477888	0.0
SRSF5	0.6502344014665314	0.0
RBFOX2	0.9289966784166009	0.0
SRSF1	-0.43297492919914193	0.0
OAS1	0.5368916066552896	0.0
TUT1	-0.7627937880424528	0.0
EIF4A3	0.33457408754468665	0.0
ESRP1	0.6248999120776135	0.0
RBM24	0.11149159379058882	0.0
NONO	0.380690599102699	0.0
CPEB2	-0.08142297949537713	0.0
HNRNPDL	0.4193396293340377	0.0
HNRNPL	-0.8241594677133867	0.0
CELF2	-0.4088541112702144	0.0
RBMS3	-0.006820860096685366	0.0
SNRPB2	-0.4778928487233417	0.0
XPO5	-1.2050638224315464	0.0
TARDBP	0.1912884494477415	0.0
ZFP36L2	0.18882243223370487	0.0
RBM3	-0.3449080651442814	0.0
IGHMBP2	-0.9455683440080659	0.0
RBM25	-0.47804863786061	0.0
CELF4	-1.0167407464959477	0.0
PABPC1	-0.5857981181013932	0.0
MSI1	0.7581508085810332	0.0
SRSF6	-1.2303014878721317	0.0
AKAP1	-0.2608018429286493	0.0
HNRNPF	0.003063888977364315	0.0
SRRM1	0.1528361090523429	0.0
KHDRBS3	-0.057425067258139784	0.0
PPIE	-0.20565922600799136	0.0
GRN	0.6121855663988922	0.0
DDX58	-0.9016548068116295	0.0
PPRC1	0.6455766416706152	0.0
PUM2	2.0669522551468007	0.0
SNRNP70	0.014987422998086863	0.0
ZFP36	-0.02070195564172539	0.0
PABPN1	0.3715360134327488	0.0
DDX19B	1.279696348856019	0.0
ESRP2	0.4998997954898172	0.0
SRP19	0.4504319102670207	0.0
HNRNPAB	0.3697927345606361	0.0
RBMX	-0.286253186234237	0.0
AGO1	-0.6549557528205775	0.0
YBX2	1.1390028030592843	0.0
PABPC4	-0.4177886230782455	0.0
RBM42	-1.3734492650839263	0.0
TRA2A	1.0301838953562001	0.0
SRP68	0.10207544804269603	0.0
RAVER1	0.8223188829635373	0.0
HNRNPA0	-0.42957771510610593	0.0
CMTR1	-0.06086868466853712	0.0
SRP14	-0.37246722257520715	0.0
TIAL1	-0.15326769209298158	0.0
SRSF3	-1.0596914366948982	0.0
PUM1	0.5108485180525246	0.0
CPEB4	-0.006563027448057868	0.0
RBM38	-0.16593988090811934	0.0
MBNL1	-0.9289350864280026	0.0
SF3B4	0.4983394306479243	0.0
SRSF9	-1.2824882041758303	0.0
TRA2B	1.7048437154124003	0.0
AGO2	-0.12036973579585764	0.0
CFTR	-0.010057752336197434	0.0
DAZAP1	-0.47792760843781096	0.0
SART3	0.20763628566854447	0.0
HNRNPC	-0.8972378805761508	0.0
PTBP1	-1.308689843961819	0.0
TIA1	-0.9259462658654811	0.0
ACO1	0.5790245385492425	0.0
SSB	0.4324546496006154	0.0
KHSRP	0.6366855974848993	0.0
RBM14	-2.073523285512385	0.0
IFIH1	0.5056605170987098	0.0
HNRNPH1	1.347499763645272	0.0
SRSF4	-0.6226429682084922	0.0
HNRNPLL	-0.20148765236560973	0.0
SYNCRIP	-0.7762297780282068	0.0
ERI1	-0.13417242121952944	0.0
FMR1	-1.2364948349065923	0.0
NELFE	0.38560493802797835	0.0
SUPV3L1	-0.534967244951972	0.0
SRSF10	0.12487692116332037	0.0
NOVA1	-1.0071674791901226	0.0
SAMD4A	0.15632511900895352	0.0
HNRNPA1	1.0985777031428428	0.0
(Intercept)	19.718198970253585	0.0
