	Estimate	p-value
CPEB2	0.30113518703009234	0.0
ACO1	0.26581328727273623	0.0
G3BP2	-0.05220096507965999	0.0
KHDRBS3	-0.26049929634911906	0.0
HNRNPAB	-0.3493756158446217	0.0
PABPC1	-0.5739708851084975	0.0
RAVER1	0.5286545299248921	0.0
SRP14	-0.3670449454508142	0.0
SRSF5	-0.24180554240558533	0.0
ESRP2	2.2401906817392803	0.0
IGHMBP2	0.35305158318342633	0.0
MSI1	-0.10301066940637327	0.0
QKI	0.10630195332826256	0.0
CELF2	0.0024715681944999235	0.0
ZFP36	-0.37703012065028474	0.0
DHX58	-0.18229158917344457	0.0
OAS1	-0.10669511773913853	0.0
SSB	0.679567919729362	0.0
(Intercept)	-2.470511076373815	0.0
