	Estimate	p-value
ADAR	-0.2563429705664841	0.0
HNRNPM	0.24687775300662873	0.0
HNRNPA3	0.19348308086115013	0.0
NUDT21	0.3377888846507791	0.0
PCBP1	-0.14407652061336904	0.0
RC3H1	0.07095292752018667	0.0
HNRNPU	0.1834193520229659	0.0
HNRNPH3	-0.38991404364187654	0.0
RBMS1	-0.03225073210949014	0.0
SNRPA	0.2604160996323306	0.0
SRSF5	0.02654561250800061	0.0
RBFOX2	0.398096031990309	0.0
PHAX	-0.39887760499465974	0.0
CELF1	-0.5361688129875307	0.0
SRSF1	-0.09335052538174629	0.0
OAS1	0.06721794695596614	0.0
KHDRBS1	-0.1760656305640316	0.0
CELF5	-0.20483276046126997	0.0
TUT1	-0.5601405054148194	0.0
EIF4A3	0.11662559401860532	0.0
ESRP1	0.4883532275027834	0.0
ZCRB1	0.10484491296198817	0.0
RBM24	-0.05625307407255553	0.0
NONO	-0.25245745598012753	0.0
CPEB2	-0.12637077441364808	0.0
HNRNPDL	0.1483414219793543	0.0
HNRNPL	-0.42395662562626	0.0
ELAVL1	-0.33299038719529095	0.0
HNRNPK	0.7489917361852991	0.0
CELF2	-0.03663139559621059	0.0
SNRPB2	-0.23962003073051444	0.0
XPO5	0.1319851181523286	0.0
ZRANB2	0.02957059889420399	0.0
TARDBP	0.1420533667647642	0.0
DHX58	0.16392305717469277	0.0
CSTF2	0.4746382672540396	0.0
ZFP36L2	-0.07315564634889182	0.0
RBM3	-0.20541692716473936	0.0
IGHMBP2	0.01868625905314686	0.0
RBM25	0.03813291607530539	0.0
CELF4	-0.07121937432805756	0.0
PABPC1	0.19256527777200078	0.0
MSI1	-0.07887378401970037	0.0
SRSF6	-0.06040474808383269	0.0
AKAP1	-0.11515031032781867	0.0
SRRM1	0.10734180857956965	0.0
KHDRBS3	-0.2973983948799588	0.0
PPIE	0.07556567163900896	0.0
GRN	0.015445373164072018	0.0
PPRC1	0.29117116965685014	0.0
PUM2	0.7305323561455309	0.0
SNRNP70	0.14760522537969703	0.0
PCBP2	-0.13545749012240857	0.0
RBM8A	-0.1280300377021762	0.0
ZFP36	0.007792958518636539	0.0
DDX19B	-0.2727835036629681	0.0
HNRNPH2	0.3325009429638195	0.0
ESRP2	0.5207680059306421	0.0
SRP19	0.13605495603543996	0.0
HNRNPAB	-0.18714359957450602	0.0
RBMX	-0.5895158035286265	0.0
SF1	0.21951171893566393	0.0
AGO1	-0.225116300567892	0.0
YBX2	-0.05738277809979431	0.0
PABPC4	-0.15061713459986315	0.0
CNOT4	-0.18278173959645827	0.0
RALY	0.12627963423910848	0.0
RBM42	-0.05042606044426995	0.0
SRSF2	-0.2959533322397442	0.0
NXF1	0.1966705248402909	0.0
FUS	0.04190425453547236	0.0
RAVER1	-0.04062808833175477	0.0
IGF2BP2	-0.10287676575133639	0.0
FXR1	0.06054302249399601	0.0
HNRNPA0	-0.2148621521062351	0.0
CMTR1	-0.44807862133659243	0.0
SRP14	-0.284645375006911	0.0
TIAL1	0.34097381604423704	0.0
G3BP1	-0.14738828965963174	0.0
PUM1	-0.48816784182107453	0.0
CPEB4	0.21820072251890255	0.0
SFPQ	0.39294887967869435	0.0
RBM38	-0.23685778710967811	0.0
MBNL1	0.2813399254649655	0.0
SF3B4	0.2277864670753847	0.0
SRSF9	0.041436951356739304	0.0
TRA2B	0.723930579169334	0.0
ZNF638	-0.40570538637939774	0.0
AGO2	0.1233109004632475	0.0
CFTR	-0.08028250634107115	0.0
DAZAP1	-0.26728535815433185	0.0
QKI	-0.16444287587954148	0.0
SART3	0.2831233492305037	0.0
RBM6	-0.20384214593687755	0.0
U2AF2	-0.1036501474343765	0.0
HNRNPC	0.004610848445915389	0.0
PTBP1	-0.2948641773221972	0.0
SRSF7	-0.21227672645015092	0.0
TIA1	-0.25375611939395165	0.0
HNRNPA2B1	0.05092304349239746	0.0
ACO1	-0.19326143465377799	0.0
EIF4B	-0.3843310576431979	0.0
KHSRP	0.0693627812267587	0.0
HNRNPH1	-0.12293089167702251	0.0
HNRNPD	-0.17349752133854993	0.0
NOVA2	0.009787817930900083	0.0
SRSF4	0.4182737774693013	0.0
YBX1	-0.0008235309378991397	0.0
HNRNPLL	-0.31343286576870505	0.0
SYNCRIP	0.48936088571978853	0.0
ERI1	-0.0931456583667883	0.0
CPEB1	0.04158472361568796	0.0
FMR1	-0.36967111245438816	0.0
NELFE	-0.2357839124799706	0.0
SUPV3L1	-0.2269931276167223	0.0
SRSF10	-0.2449811352842176	0.0
NOVA1	0.19023714794695798	0.0
DHX9	-0.3134547614484157	0.0
G3BP2	0.14219116864923587	0.0
HNRNPA1	0.3688708229730122	0.0
(Intercept)	-2.001688427107255	0.0
