	Estimate	p-value
CPEB2	0.03878723154973188	0.0
KHDRBS1	-1.5744395478481936	0.0
TIAL1	-0.24939317795458596	0.0
ZFP36L2	0.12432997656699947	0.0
ACO1	-0.49694167198039235	0.0
ESRP1	0.8577407957783374	0.0
G3BP2	0.23840929962752577	0.0
GRSF1	0.05820263512786816	0.0
RBMS3	-0.30749855893398825	0.0
NUDT21	0.20855776356643907	0.0
PUM2	-0.3029967773519728	0.0
SNRNP70	0.2535811388823901	0.0
KHDRBS3	-0.2574770436876833	0.0
IGF2BP2	-0.033045854038955325	0.0
SRSF6	-0.5091871188420203	0.0
CSTF2	0.26789658266565564	0.0
ERI1	-0.1235639751481086	0.0
EIF4B	0.4165168582939368	0.0
AKAP1	-0.25748094249874587	0.0
SNRPA	-0.17480709233461028	0.0
NCL	-0.003607954747774089	0.0
SYNCRIP	0.8817097136088384	0.0
XPO5	0.015675165079669928	0.0
RBMS1	0.4099723545334682	0.0
G3BP1	0.08695075457954726	0.0
SRP68	0.34062977680806594	0.0
FUS	0.5097738488191497	0.0
NXF1	0.5045550423749556	0.0
RBFOX2	0.2798275981485917	0.0
PABPC1	-0.38746971692511817	0.0
DDX58	-0.13106063940965118	0.0
RBM42	0.22074447683068776	0.0
SRP14	-0.5179051138492508	0.0
CPEB1	-0.7226436122480967	0.0
NOVA2	0.41543797156508017	0.0
FXR1	0.18930025756274677	0.0
TRA2A	0.6000880013251673	0.0
SRSF5	-0.10620560242108262	0.0
AGO1	0.8034695025450023	0.0
ESRP2	-0.26913338284884814	0.0
CNOT4	-0.05320032888992604	0.0
U2AF2	0.10034919912930249	0.0
RALY	0.03453157020180993	0.0
CELF4	-0.6758177684684038	0.0
SUPV3L1	0.5779744370263971	0.0
GRN	0.4210706979768736	0.0
FXR2	-0.4134696705890574	0.0
KHSRP	-0.0038741360036695094	0.0
HNRNPH1	0.28559594822803325	0.0
SNRPB2	-0.12515225059232649	0.0
PPRC1	-0.15006344382326378	0.0
MSI1	-0.2251238826047719	0.0
QKI	-1.0567292415127718	0.0
PABPC4	-0.20890702978175582	0.0
SRSF2	0.026926751558145168	0.0
CELF2	-0.1305487605939052	0.0
ZFP36	-0.07703198749077972	0.0
DHX58	-0.017248928170061566	0.0
OAS1	0.13765535377006377	0.0
SFPQ	0.2766782930057913	0.0
RBM38	0.12781035740581115	0.0
ZNF638	0.8267431212440954	0.0
RBM5	-0.40535510395622043	0.0
MBNL1	0.4364943638025498	0.0
CELF5	-0.8304547357201822	0.0
SP1	-0.047567377278761674	0.0
RBM25	0.6041326236611186	0.0
(Intercept)	-11.506662456430508	0.0
