	Estimate	p-value
SF3B4	0.1963252346809035	0.0
PPIE	0.5153905184668082	0.0
IFIH1	0.06648734804175314	0.0
PCBP2	-0.05737949954291874	0.0
HNRNPH2	0.14006535314756147	0.0
ZFP36L2	0.05736033468098869	0.0
ACO1	0.10212091845492893	0.0
ESRP1	0.5011529424175362	0.0
KHDRBS3	0.09693857944204232	0.0
SRSF6	-0.31446468095483193	0.0
HNRNPAB	-0.10667060301234398	0.0
YBX2	-0.03383268445138632	0.0
AKAP1	0.19192270105633363	0.0
SNRPA	-0.28836465815235146	0.0
XPO5	-0.07691906716672806	0.0
G3BP1	0.4770684392101707	0.0
SRP68	-0.16970953977388142	0.0
FUS	0.225193960175463	0.0
NXF1	0.20804263081941107	0.0
EIF4A3	0.008269439225626216	0.0
RBFOX2	0.44363636254917943	0.0
HNRNPLL	-0.3248388143255213	0.0
CPEB4	0.04692494069115738	0.0
RAVER1	0.20139658992822898	0.0
RBM3	-0.062306377155010334	0.0
DDX19B	-0.04544005373968453	0.0
TRA2A	0.27292344194718576	0.0
HNRNPH3	-0.5419726386016009	0.0
ESRP2	-0.09932260311076088	0.0
U2AF2	-0.06703473049240728	0.0
RALY	-0.05535658814543086	0.0
RBM24	0.03474058658588851	0.0
GRN	0.1183897766453131	0.0
RC3H1	0.15028585768140879	0.0
SNRPB2	-0.07680222558347358	0.0
IGHMBP2	-0.04819003134838163	0.0
SRP54	-0.19024428718737793	0.0
MSI1	-0.07457340403222851	0.0
QKI	-0.23485006844072592	0.0
PABPC4	-0.5211992153509831	0.0
YBX1	0.014939007221499767	0.0
ZFP36	0.0472587568689341	0.0
FMR1	-0.20962444471484873	0.0
CELF2	-0.2839685917871596	0.0
OAS1	0.07341218985504534	0.0
RBM38	-0.11612243839258754	0.0
ZNF638	0.28266787507627583	0.0
NOVA1	0.05859056754605299	0.0
PCBP1	0.2342190638184729	0.0
(Intercept)	-4.719248709387392	0.0
