	Estimate	p-value
ADAR	-0.1514126764667617	0.0
NCL	-0.36596845292920316	0.0
NUDT21	-0.07562819143218569	0.0
PCBP1	-0.42281906434626815	0.0
SRP54	0.6634503722171634	0.0
HNRNPH3	0.21455714044903115	0.0
RBMS1	0.1179187623503003	0.0
SRSF5	-0.0038040127184829076	0.0
RBFOX2	0.6012838550284171	0.0
PHAX	-0.34219463863443755	0.0
CELF1	0.33379203923026535	0.0
OAS1	0.2709036011059159	0.0
EIF4A3	-0.4119420575754922	0.0
ESRP1	0.423826837368142	0.0
RBM24	-0.18816176070681517	0.0
CPEB2	0.1757586422451129	0.0
CELF2	-0.01563424976456529	0.0
RBMS3	0.2603830301841109	0.0
SNRPB2	-0.47414306885747237	0.0
ZRANB2	-0.4470529288993618	0.0
TARDBP	0.3241717594830179	0.0
DHX58	-0.16431469098582202	0.0
CSTF2	0.4414855466794486	0.0
ZFP36L2	-0.07892504880744977	0.0
RBM3	0.05844237543381556	0.0
IGHMBP2	-0.3457767333730559	0.0
RBM25	0.165278808234733	0.0
CELF4	-0.35857785315142704	0.0
PABPC1	-0.05804144407452419	0.0
MSI1	0.017947491133020854	0.0
SRSF6	0.5309032314417494	0.0
GRSF1	0.04053997430700762	0.0
AKAP1	0.0023578096283031202	0.0
KHDRBS3	-0.05633654967158504	0.0
PPIE	0.21386355515805322	0.0
GRN	-0.0565881567339105	0.0
PPRC1	0.09204169997288261	0.0
PUM2	0.6178983576323502	0.0
ZFP36	-0.06273771714815118	0.0
DDX19B	-0.24445448421772015	0.0
ESRP2	0.13455562654892872	0.0
SRP19	-0.26606159739360336	0.0
HNRNPAB	-0.4485447137321099	0.0
RBMX	-0.7693014294542633	0.0
YBX2	-0.12991835405565577	0.0
PABPC4	-0.33169150299091155	0.0
RBM42	-0.23821147191597294	0.0
TRA2A	0.34728878639552246	0.0
SRSF2	0.48870306421999166	0.0
RAVER1	0.30835521557123025	0.0
IGF2BP2	-0.01667335620060828	0.0
FXR1	0.4479159421882627	0.0
HNRNPA0	-0.0831044326158629	0.0
SRP14	-0.20685846839097308	0.0
CMTR1	0.12323677517178006	0.0
TIAL1	0.03224516617802696	0.0
G3BP1	0.619799008141866	0.0
PUM1	-0.4240059476242473	0.0
CPEB4	-0.04414526352787708	0.0
SFPQ	0.6886697427327756	0.0
MBNL1	0.23301941339480625	0.0
YTHDC1	-0.11285643192435674	0.0
RBM38	-0.04756955747520375	0.0
TRA2B	-0.44820557702242125	0.0
AGO2	-0.29597563055713416	0.0
CFTR	-0.02893371453045808	0.0
RBM5	-0.42121139255135615	0.0
DAZAP1	0.6034145961018527	0.0
QKI	0.06067530384435654	0.0
SART3	-0.5124838131809457	0.0
RBM6	-0.1963919496252617	0.0
TIA1	-0.43913713366861384	0.0
ACO1	0.1367505353099971	0.0
KHSRP	-0.5722075025280682	0.0
RBM14	0.5087593344594468	0.0
HNRNPH1	0.6239487637645901	0.0
NOVA2	-0.9643966688331194	0.0
SRSF4	0.9859191508386433	0.0
YBX1	0.1443931523967522	0.0
HNRNPLL	0.11650743002520442	0.0
ERI1	-0.08380510426948368	0.0
CPEB1	0.4076885353515013	0.0
FMR1	-0.13263210873588893	0.0
NELFE	-0.36191332946732835	0.0
SUPV3L1	0.5625371979886704	0.0
SRSF10	-1.1782089219687448	0.0
NOVA1	0.024202118318778137	0.0
G3BP2	-0.35154109643245435	0.0
HNRNPA1	0.46208246342897186	0.0
(Intercept)	-6.352355383845179	0.0
