	Estimate	p-value
CELF2	0.25824392205767877	0.0
HNRNPAB	-0.2691940774517187	0.0
SRP19	-0.20767249841002872	0.0
RBMS3	0.2820402760974068	0.0
YBX2	0.46895835113078166	0.0
RALY	0.03199647215110777	0.0
RBM42	0.5086757522503149	0.0
KHSRP	-0.04488390493701511	0.0
PCBP1	-0.6959956931764848	0.0
TRA2A	-0.7361647842491638	0.0
SF3B1	0.28062117250948754	0.0
IFIH1	-0.4091552679644378	0.0
SRP54	0.1749565249448313	0.0
DHX58	0.14224880548183266	0.0
FUS	-0.22890745893054135	0.0
ZFP36L2	0.0206954494456296	0.0
SRSF4	-0.8065263127351839	0.0
RBM3	0.5368124846502993	0.0
IGF2BP2	0.2185956672189451	0.0
RBMS1	-0.17009372999198688	0.0
RBM25	0.07369887137561798	0.0
CELF4	0.2837524668209652	0.0
HNRNPA0	-0.21023393847304547	0.0
SRP14	-0.26751613234267635	0.0
CMTR1	-0.20886028067618317	0.0
YBX1	-0.3757234100173469	0.0
SYNCRIP	0.09314155467669293	0.0
SNRPA	-0.29553265064202644	0.0
MSI1	0.22837603792287992	0.0
PHAX	-0.24503054812673666	0.0
CPEB4	-0.30477928413622835	0.0
PABPN1	-0.22173299391364387	0.0
AKAP1	0.02477063288800748	0.0
RBM38	-0.29512242130296024	0.0
SRRM1	0.04550747721781561	0.0
CPEB1	-0.5732913679761997	0.0
SRSF9	-0.42390837922228547	0.0
PPIE	-0.22432515371953984	0.0
OAS1	-0.12182794464274527	0.0
AGO2	-0.23910795245761438	0.0
CELF5	-0.2658495215825876	0.0
CFTR	0.3595623908394818	0.0
FMR1	0.16025338906158007	0.0
NELFE	-0.046473784126531394	0.0
TUT1	-0.647772642295736	0.0
SUPV3L1	-0.26969354331529233	0.0
DDX58	-0.13765773338013407	0.0
RBM5	-0.0024344304746589662	0.0
PPRC1	0.10015452866209118	0.0
DAZAP1	-0.029919220996170354	0.0
QKI	0.32702531622963243	0.0
ESRP1	-0.06279685774530931	0.0
RBM24	0.6713404668316442	0.0
NOVA1	-0.036106972236963235	0.0
ZCRB1	-0.28917819686531465	0.0
NONO	0.356943845199292	0.0
PUM2	0.13319090811856332	0.0
SNRNP70	0.38187101824846925	0.0
HNRNPDL	-0.12115101666471148	0.0
RBM6	0.1780920441259442	0.0
PCBP2	-0.049290427606340725	0.0
DHX9	0.28511621300303114	0.0
G3BP2	0.02593375472796703	0.0
ZFP36	0.3748055496413495	0.0
SAMD4A	0.7136428560109765	0.0
DDX19B	-0.18491804257372166	0.0
HNRNPH2	0.34044982099925547	0.0
(Intercept)	6.824666836557002	0.0
