	Estimate	p-value
CELF2	-0.19491704169016563	0.0
HNRNPA2B1	0.2891122693782428	0.0
ACO1	-0.1312596630554656	0.0
SF1	0.3427902250682078	0.0
HNRNPM	0.23471457473428445	0.0
RBM42	-0.006856115093807569	0.0
KHSRP	-0.43002670073572186	0.0
ZRANB2	0.1458882619696137	0.0
XPO5	-0.08366399488393265	0.0
RBM14	0.22125772307614677	0.0
NXF1	0.17098608582356847	0.0
FUS	0.25584465085083624	0.0
CSTF2	0.20594886367626966	0.0
ZFP36L2	0.01378855090530278	0.0
HNRNPH3	-0.6543528846016332	0.0
IGF2BP2	-0.0821073710878762	0.0
HNRNPLL	-0.40158257103618444	0.0
CMTR1	-0.33726250746529823	0.0
MSI1	-0.046124133651349916	0.0
AKAP1	-0.13016356069051035	0.0
HNRNPF	0.6028676750497243	0.0
SRRM1	0.20850765207040406	0.0
SF3B4	0.05184643327332111	0.0
KHDRBS3	0.20344718779292753	0.0
TRA2B	-0.060188564864535186	0.0
CELF5	-0.2606318710687212	0.0
CFTR	-0.04754256802386822	0.0
FMR1	-0.09656465098736507	0.0
NELFE	-0.4048628017513637	0.0
SRSF10	0.0712905502000755	0.0
ESRP1	0.6649276388952529	0.0
ZCRB1	0.14403700481242843	0.0
RBM24	-0.04912770059493526	0.0
NONO	-0.07680953623823786	0.0
PCBP2	-0.5655042216752847	0.0
FXR2	-0.32350133925339714	0.0
ZFP36	-0.0884818884979352	0.0
SAMD4A	-0.1385602679938276	0.0
DDX19B	-0.015479051580351684	0.0
HNRNPH2	-0.2521433825213778	0.0
(Intercept)	-2.0245530548533344	0.0
