	Estimate	p-value
CPEB2	0.0663054070692109	0.0
CFTR	-0.1333130774947643	0.0
ZFP36L2	-0.12823773256276388	0.0
ACO1	-0.2281123895123107	0.0
ESRP1	0.3827143620588959	0.0
RBM6	-0.33670514195883045	0.0
ERI1	-0.3551163182475342	0.0
YBX2	0.044500380634582115	0.0
XPO5	0.14025273540003505	0.0
RBMS1	0.5146409144358228	0.0
SRP68	-0.03605184711494482	0.0
RBFOX2	0.5323042555774523	0.0
PABPC1	0.4513180340115992	0.0
FXR1	-0.17487605703637618	0.0
ESRP2	0.2486441170529458	0.0
GRN	0.4376120958866048	0.0
RBM8A	0.14884228558454157	0.0
KHSRP	0.08640269464212255	0.0
MSI1	-0.04133083368127183	0.0
TRA2B	0.7523848846325554	0.0
CELF2	-0.1070192057293791	0.0
RBM5	-0.49986788183316216	0.0
DDX58	0.31713008304594237	0.0
MBNL1	0.5043851578913571	0.0
(Intercept)	-15.75749387801807	0.0
