	Estimate	p-value
TIA1	-0.09413228364121962	0.0
CELF2	-0.5023624206334028	0.0
ESRP2	0.2308361464663324	0.0
HNRNPA2B1	0.215864320147391	0.0
RBMS3	-0.16789215480776495	0.0
YBX2	-0.05806349126201077	0.0
NCL	0.027097424965141725	0.0
PABPC4	-0.07346036181851717	0.0
RBM42	-0.08328163644282827	0.0
SNRPB2	-0.0983072770427011	0.0
XPO5	0.09986492381071956	0.0
IFIH1	0.07286254059122525	0.0
RC3H1	-0.5082117366087409	0.0
SRP54	0.00303505428032505	0.0
NXF1	-0.13773917779070152	0.0
DHX58	0.12427443309362413	0.0
RAVER1	0.18296744960734185	0.0
HNRNPH3	0.17399580784260715	0.0
RBM3	0.16948333385025172	0.0
IGF2BP2	0.033355649300013626	0.0
RBM25	0.4194231798934307	0.0
FXR1	0.17752259838634832	0.0
PABPC1	-0.11607970446908403	0.0
RBFOX2	0.19106802149414742	0.0
SRP14	-0.15583083384351748	0.0
CMTR1	-0.007506659728260923	0.0
SNRPA	-0.01173648451028736	0.0
SRSF3	-0.23214595601845195	0.0
CELF1	0.21707863866451083	0.0
RBM38	-0.06934957328128191	0.0
ERI1	-0.27611444403713664	0.0
SRSF9	-0.19797808398102368	0.0
OAS1	0.021866698288801972	0.0
ZNF638	0.23914693121718344	0.0
FMR1	-0.2625915591777679	0.0
GRN	0.13154186667482448	0.0
RBM5	-0.053775670830251976	0.0
DAZAP1	-0.1418322825709919	0.0
EIF4A3	-0.10257292886799928	0.0
QKI	-0.14095669619512244	0.0
RBM24	0.10080510218504533	0.0
ESRP1	0.6930215024814474	0.0
SNRNP70	-0.07720914996971705	0.0
CPEB2	-0.039155926781453576	0.0
RBM6	-0.07605370694547152	0.0
PCBP2	-0.11038338298284367	0.0
FXR2	-0.2753128459308116	0.0
G3BP2	0.15765777265609476	0.0
ZFP36	-0.03311095001788231	0.0
SAMD4A	0.04531391668052226	0.0
HNRNPA1	-0.07716243726093758	0.0
HNRNPL	-0.2780617521729474	0.0
(Intercept)	1.1310586103449385	0.0
