	Estimate	p-value
SF3B4	-0.1971479144055178	0.0
PPIE	0.3298125408972667	0.0
CFTR	0.15227740772741932	0.0
NONO	0.25290967941437903	0.0
ACO1	-0.124481137726877	0.0
ESRP1	0.7187005331808316	0.0
HNRNPD	-0.31142268301122294	0.0
RBMS3	0.08247820558436972	0.0
HNRNPA2B1	-0.14866833887983527	0.0
IGF2BP2	0.0028310229538610204	0.0
SRSF6	0.4155452951372321	0.0
RBM6	-0.03592761202439136	0.0
ERI1	-0.3125170461132489	0.0
CMTR1	-0.7791878633266784	0.0
YBX2	-0.19599355390107553	0.0
AKAP1	0.0865886065913396	0.0
SAMD4A	0.13867168456898116	0.0
RBMS1	0.6594211662202722	0.0
G3BP1	0.6043316433404669	0.0
FUS	0.4770708158007117	0.0
EIF4A3	-0.008104633652301407	0.0
RBFOX2	0.3861529279008485	0.0
ADAR	-0.09292070774230665	0.0
HNRNPLL	-0.22262324190830304	0.0
HNRNPU	0.5936600345003725	0.0
SART3	-0.1965389220611754	0.0
CPEB4	-0.20117773412700965	0.0
SRP14	-0.3550109798063146	0.0
RAVER1	0.23298133769968454	0.0
RBM42	-0.1130294538538656	0.0
TIA1	-0.1778356709629746	0.0
HNRNPH3	-0.46020247802190584	0.0
CELF4	-0.1475022742631616	0.0
AGO2	-0.24491013416903273	0.0
HNRNPA3	-0.4450926688372423	0.0
HNRNPF	-0.44617886841785537	0.0
SUPV3L1	0.7146343822951978	0.0
GRN	-0.07055466198704041	0.0
SNRPB2	0.003021261758351497	0.0
IGHMBP2	-0.07779600587658894	0.0
SRP54	-0.06150088484878079	0.0
PPRC1	0.2562514776082634	0.0
MSI1	-0.04567759227618001	0.0
QKI	-0.1273850599625836	0.0
SFPQ	0.4545227109641071	0.0
PABPC4	-0.5457116026344572	0.0
YBX1	0.3524678094285619	0.0
ZFP36	0.09334084911578666	0.0
CELF2	-0.2042008396539895	0.0
OAS1	-0.12323496983243132	0.0
HNRNPK	-0.42283692304465	0.0
DHX58	0.2722737358614165	0.0
SRSF9	-0.1219624503099533	0.0
PCBP1	0.001645982452119596	0.0
RBM38	-0.20433747245168354	0.0
NOVA1	-0.1467475771992997	0.0
SP1	0.13277033044703107	0.0
(Intercept)	-2.176215763308351	0.0
