	Estimate	p-value
CPEB2	0.3156457590729259	0.0
SRSF7	0.3555117766240641	0.0
IFIH1	-0.19132864042653341	0.0
PCBP2	-0.2696374235496551	0.0
CFTR	0.07676678150754856	0.0
ZFP36L2	0.05466665070556603	0.0
RBMS3	0.16939793654964763	0.0
NUDT21	0.10930618030327746	0.0
RBM6	0.006646249161554485	0.0
TUT1	-0.3511223256489907	0.0
SRP19	-0.5922739312653644	0.0
YBX2	0.023108392866254435	0.0
HNRNPU	-0.2156973400191474	0.0
SART3	-0.3216893604951897	0.0
ZRANB2	-0.011912031118157751	0.0
RAVER1	-0.12574503680510196	0.0
ZCRB1	0.45057647399014616	0.0
RBM3	-0.16567658297209592	0.0
FXR1	0.2208457085605673	0.0
SF1	0.6474485603947958	0.0
SRSF5	0.2752547937485419	0.0
CELF4	-0.14524821860366433	0.0
SUPV3L1	0.3323294656936843	0.0
FXR2	-0.2218714353124338	0.0
SNRPB2	-0.36438432481479033	0.0
PPRC1	-0.13615418928621248	0.0
FMR1	-0.26164659027470044	0.0
ZFP36	0.013368968922893854	0.0
RBM38	0.026099737292927888	0.0
SP1	0.2088187152774218	0.0
TIAL1	0.4974862902399923	0.0
SRSF6	0.14081564013806586	0.0
CSTF2	0.113680599832092	0.0
RBFOX2	0.29685507795574695	0.0
ADAR	-0.12035129072411282	0.0
HNRNPLL	-0.7389815022218942	0.0
RBM42	-0.09336789651046451	0.0
AGO1	-0.2091243383601859	0.0
CNOT4	-0.047229873065053996	0.0
ELAVL1	-0.5030732756869207	0.0
RBM8A	0.12105602409335084	0.0
RBMX	-0.08485515116227949	0.0
QKI	-0.20774943942981083	0.0
CELF2	-0.48745588665007494	0.0
HNRNPA0	-0.034714667291415535	0.0
DDX58	0.17198622008358105	0.0
NOVA1	-0.07801869462605165	0.0
SSB	-0.09584174679773858	0.0
KHDRBS1	-0.4290341586411168	0.0
SF3B4	-0.7435756928660837	0.0
PPIE	0.1443770259613252	0.0
HNRNPM	1.0132291117146188	0.0
NONO	0.38005890828361333	0.0
GRSF1	0.03535426887749407	0.0
ESRP1	0.7568900358755059	0.0
ERI1	-0.6221428886464373	0.0
AKAP1	-0.32272650308240214	0.0
SNRPA	-0.18018447821630343	0.0
SYNCRIP	0.09778086684052352	0.0
SRP68	0.4815412770938814	0.0
FUS	0.35063268451626667	0.0
SRRM1	-0.27308308921499075	0.0
NOVA2	-0.27874419631797065	0.0
HNRNPDL	-0.09081521963634753	0.0
HNRNPH3	-0.6045721074373079	0.0
GRN	0.138419970338781	0.0
NELFE	-0.2736252488065518	0.0
OAS1	-0.017279197453546113	0.0
SRSF9	-0.2840868779802186	0.0
MBNL1	0.21898377804208333	0.0
CELF1	0.46521343898564427	0.0
HNRNPH2	-0.15075824640658414	0.0
ACO1	-0.15471308251382548	0.0
KHDRBS3	-0.040719782817144806	0.0
IGF2BP2	0.07460955366982568	0.0
HNRNPAB	0.24930187342163418	0.0
NCL	0.26507102960038265	0.0
RBMS1	0.1513910076225166	0.0
G3BP1	0.5068703440958573	0.0
PABPC1	-0.4114379698214466	0.0
CPEB4	-0.35383213695164223	0.0
DDX19B	-0.34158134312639044	0.0
ESRP2	0.04712665601186625	0.0
U2AF2	-0.05135552826864252	0.0
RALY	0.00406170611670309	0.0
HNRNPF	0.05665216099599505	0.0
RBM24	-0.031439685625486435	0.0
HNRNPH1	-0.564349841522364	0.0
IGHMBP2	-0.09879777321536162	0.0
MSI1	-0.11487463517011734	0.0
TRA2B	-0.24246469054026049	0.0
PABPC4	-0.1437101192413175	0.0
RBM5	-0.481377209372552	0.0
CELF5	-0.11949176883290141	0.0
(Intercept)	4.5535013586273605	0.0
