	Estimate	p-value
CPEB2	-0.20447217507543872	0.0
IFIH1	0.07124186840027423	0.0
SSB	-0.12993780468203714	0.0
ZFP36L2	-0.043974617523522996	0.0
ACO1	-0.0589485113026349	0.0
ESRP1	0.31787495827948176	0.0
G3BP2	-0.5450040543435185	0.0
GRSF1	0.12412769922293664	0.0
NUDT21	0.7071316414908299	0.0
KHDRBS3	0.05593931916620076	0.0
IGF2BP2	0.19037979872047148	0.0
PABPN1	0.33635001237324513	0.0
RBM6	0.13835226521833494	0.0
CSTF2	-0.03033772388927093	0.0
CMTR1	0.09263696571868565	0.0
AKAP1	-0.1523702405179765	0.0
NCL	0.6245349619242895	0.0
SAMD4A	-0.17963744727154038	0.0
PHAX	0.841478299767177	0.0
RBMS1	0.42843527598100783	0.0
G3BP1	-0.2782230470328845	0.0
RBFOX2	0.28834185720497113	0.0
EIF4A3	-0.4366978822364155	0.0
PABPC1	0.0035790294385668053	0.0
SART3	-0.09432691856567077	0.0
CPEB4	0.1720167591740746	0.0
RAVER1	0.15973177886287693	0.0
RBM3	0.15494554108427705	0.0
ZCRB1	-0.11153133947110067	0.0
NOVA2	0.16189625651251438	0.0
RBM14	-0.007275103335300312	0.0
FXR1	0.46510784118309634	0.0
TRA2A	-0.329454830060012	0.0
HNRNPH3	-0.38752441816120925	0.0
ESRP2	-0.03186151826910294	0.0
CNOT4	-0.002840758972404378	0.0
U2AF2	0.05651566404440744	0.0
CELF4	0.06969890561363057	0.0
HNRNPF	1.0618808043891796	0.0
SUPV3L1	-1.1580981337034333	0.0
GRN	-0.17467568222209873	0.0
HNRNPL	-0.1103574814947918	0.0
RBM8A	-0.20132166257160666	0.0
FXR2	0.29523995207234066	0.0
SNRPB2	-0.405256594883782	0.0
IGHMBP2	-0.21739998225589843	0.0
SRP54	-0.3301659333686687	0.0
YBX1	0.18447771229420187	0.0
ZFP36	0.04804918202609568	0.0
FMR1	-0.4790470339126106	0.0
CELF2	-0.4238505332323821	0.0
OAS1	-0.006208799874661497	0.0
DHX58	0.4330499081679101	0.0
PCBP1	-0.532628887669299	0.0
RBM38	0.04681765038439223	0.0
RBM5	-0.18793049834792536	0.0
RBM25	-0.08461124942682333	0.0
CELF5	-0.282171764154115	0.0
NOVA1	-0.1455394614507017	0.0
SP1	-0.49984598617885345	0.0
(Intercept)	-3.9773555366194753	0.0
