	Estimate	p-value
SRSF7	-0.6249414084039672	0.0
IFIH1	-0.04530063917851711	0.0
CFTR	0.21254067864644013	0.0
ZFP36L2	0.23731604585525706	0.0
NUDT21	0.5330707942513713	0.0
RBM6	-0.14731662644622334	0.0
SRP19	0.5088148779773423	0.0
YBX2	0.4187072193592516	0.0
EIF4A3	0.008235758734981613	0.0
HNRNPU	-0.19022512712531153	0.0
SART3	0.30854107016723376	0.0
ZRANB2	0.8797218264697337	0.0
RAVER1	-0.29304084841213607	0.0
ZCRB1	-0.2692026043766102	0.0
RBM3	-0.2581970437279811	0.0
FXR1	-0.1971570561190859	0.0
TRA2A	-0.4724344882015293	0.0
SRSF5	-0.46171091336104386	0.0
CELF4	-0.7269557931413781	0.0
HNRNPA3	-0.5456356648630374	0.0
SUPV3L1	0.21986113022057893	0.0
FXR2	0.44716985235805856	0.0
SNRPB2	-0.35788506749953825	0.0
PPRC1	0.3628991190748111	0.0
FMR1	0.19556449344814872	0.0
SRSF3	-0.39540620417091504	0.0
RBM38	-0.009633113163722229	0.0
SFPQ	0.36794109187301527	0.0
SP1	-0.08525891336133906	0.0
PUM2	0.47804396392964443	0.0
SRSF6	0.3805414325739829	0.0
XPO5	0.08165412220154292	0.0
RBFOX2	0.38123939711443317	0.0
ADAR	-0.8254630580645792	0.0
HNRNPLL	-0.4640349147285141	0.0
RBM42	-0.007082828422662363	0.0
RBM14	-0.7655221074939109	0.0
RBM8A	-0.05499189215910438	0.0
QKI	-0.5621117983430333	0.0
CELF2	-0.4044559880233071	0.0
HNRNPA0	-0.5499066279338628	0.0
SF3B4	-0.016433410493958828	0.0
HNRNPM	-0.2848246941036355	0.0
NONO	0.9917784815688825	0.0
GRSF1	-0.7252503982894153	0.0
ESRP1	0.2278229136524087	0.0
SNRNP70	0.08354640245772688	0.0
SRSF10	0.3432159817256485	0.0
ERI1	-0.34598652319576806	0.0
EIF4B	-0.4508495734662277	0.0
SNRPA	-0.9768434067231351	0.0
SYNCRIP	-0.1419100708975719	0.0
PHAX	0.4481421560028788	0.0
FUS	0.12506381402710842	0.0
SRP14	0.23646849213187515	0.0
HNRNPDL	0.29280098769385066	0.0
TIA1	-0.6582093445545469	0.0
AGO2	-0.6265152084654827	0.0
GRN	0.39457290164835374	0.0
RC3H1	0.608530647392856	0.0
HNRNPA1	0.6592298990989456	0.0
DAZAP1	0.5555934571831511	0.0
NELFE	-0.6953686807522695	0.0
OAS1	0.34951949268548305	0.0
SRSF9	-0.647980018754148	0.0
MBNL1	-0.38823066673248563	0.0
CELF1	-0.0650938425169224	0.0
HNRNPH2	-0.4660754047833513	0.0
G3BP2	0.21656303627152096	0.0
KHDRBS3	-0.09404920157113383	0.0
HNRNPA2B1	-0.40827331581792803	0.0
HNRNPAB	0.36160064871011927	0.0
SF3B1	-0.6778886700081193	0.0
NCL	-0.13389547337418628	0.0
RBMS1	-0.07391084508746368	0.0
NXF1	0.4214736030749271	0.0
CPEB4	0.4350082228052848	0.0
HNRNPC	0.3569566147946952	0.0
ESRP2	-0.3322280905533366	0.0
U2AF2	0.6133949550874078	0.0
RALY	0.24111070562103817	0.0
RBM24	0.0224907264145347	0.0
IGHMBP2	-0.22200699907505433	0.0
MSI1	0.24348263671474873	0.0
TRA2B	0.7403553380563642	0.0
ZNF638	0.8738485241866927	0.0
CELF5	-0.020613502757849456	0.0
(Intercept)	3.020187899278992	0.0
