	Estimate	p-value
ADAR	0.0769105647242174	0.0
NCL	-0.48772622600091475	0.0
HNRNPM	-0.21576082226198495	0.0
HNRNPA3	-0.2347618366442758	0.0
NUDT21	0.27634245781185107	0.0
PCBP1	0.5610106196505434	0.0
RC3H1	-0.27012854358306304	0.0
HNRNPH3	-0.7800215323740476	0.0
RBMS1	0.13963409296849896	0.0
SNRPA	0.14545397600575113	0.0
SRSF5	-0.5707555170378944	0.0
PHAX	-0.2713628323633324	0.0
CELF1	0.18834641733904262	0.0
SRSF1	-0.5184270129750441	0.0
OAS1	0.5315833793820269	0.0
KHDRBS1	-0.04897405130613175	0.0
CELF5	0.14252337896180567	0.0
EIF4A3	-0.4065797174206066	0.0
ESRP1	0.35472112033712466	0.0
RBM24	-0.6399427804416646	0.0
NONO	0.01175440017156204	0.0
CPEB2	0.013090610858163043	0.0
HNRNPDL	-0.06466467219765125	0.0
HNRNPL	-0.010502117381749887	0.0
ELAVL1	-0.12857068687767648	0.0
CELF2	0.1699584787156781	0.0
RBMS3	-0.6737577200803572	0.0
SNRPB2	-0.22650312180357424	0.0
ZRANB2	0.057083439889740184	0.0
XPO5	0.21380187690880836	0.0
DHX58	-0.11218055690074469	0.0
CSTF2	0.6872288517032695	0.0
ZFP36L2	-0.06226807641910953	0.0
RBM3	-0.2358034428969592	0.0
PABPC1	0.030673982725029136	0.0
MSI1	-0.22820828186097553	0.0
GRSF1	0.1012810912244587	0.0
AKAP1	0.029126557853834195	0.0
KHDRBS3	0.020349695149054686	0.0
PPIE	-0.03512137464187348	0.0
SNRNP70	0.4178678015725614	0.0
PCBP2	-0.07056609908417583	0.0
ZFP36	-0.025523248189994602	0.0
DDX19B	0.043152990922992296	0.0
SRP19	0.6102545966034516	0.0
HNRNPAB	-0.8538072327198609	0.0
RBMX	0.6744562508312308	0.0
SF1	0.24733298003757348	0.0
AGO1	0.39276868553718175	0.0
YBX2	-0.06525360452082721	0.0
CNOT4	-0.4687037959080987	0.0
PABPC4	0.1858298986778702	0.0
RALY	-0.4779759229110276	0.0
SRSF2	0.1338344098193725	0.0
NXF1	0.566754461041775	0.0
SRP68	0.18873554162680817	0.0
RAVER1	-0.09647634300607599	0.0
IGF2BP2	0.05357074780279594	0.0
FXR1	0.141457656863424	0.0
SRP14	-0.22571573716441218	0.0
G3BP1	-0.4574448773702139	0.0
SFPQ	0.04425472931060699	0.0
MBNL1	0.20862094175026677	0.0
YTHDC1	-0.1841562127131932	0.0
RBM38	0.2178178124629645	0.0
SF3B4	0.7725279827469536	0.0
SRSF9	-0.2357050322889203	0.0
AGO2	0.21790200272954585	0.0
CFTR	0.20328321912542363	0.0
DAZAP1	0.2294559899692416	0.0
QKI	-0.29793773974107507	0.0
HNRNPA2B1	0.2005090601661373	0.0
ACO1	0.333766791486955	0.0
EIF4B	-0.31341632501636185	0.0
SSB	0.4327673937816089	0.0
KHSRP	-0.3896464370262685	0.0
RBM14	0.2772603524306518	0.0
HNRNPD	0.4539399839591306	0.0
HNRNPH1	-0.4555859520273955	0.0
NOVA2	-0.5628871839085545	0.0
SRSF4	-0.5848690275182185	0.0
YBX1	-0.13943842960314262	0.0
SYNCRIP	-0.46095037252209276	0.0
ERI1	0.34676870075739374	0.0
CPEB1	-0.22698704427131877	0.0
FMR1	-0.5862889325002018	0.0
NELFE	-0.5782951254479692	0.0
SRSF10	0.5880920766770279	0.0
FXR2	-0.6223231044952866	0.0
DHX9	0.1301744184784474	0.0
G3BP2	-0.1688603082712045	0.0
SAMD4A	-0.15050063710964653	0.0
HNRNPA1	0.49695279544914844	0.0
(Intercept)	3.480876929620886	0.0
