	Estimate	p-value
ESRP2	1.1515638236162444	0.0
SF1	-0.3895377969304138	0.0
TRA2A	0.08330321786214832	0.0
IGHMBP2	0.015771866085011833	0.0
IGF2BP2	-0.1830155007805594	0.0
HNRNPA0	-0.0946401838863053	0.0
SRP14	-0.5880064081118419	0.0
RBFOX2	0.4400339155928825	0.0
CPEB4	-0.37349077245123996	0.0
HNRNPF	0.13419891725016359	0.0
SRSF9	0.12226439657282472	0.0
KHDRBS3	-0.24764927321655844	0.0
DDX58	-0.0656072410851051	0.0
RBM5	-0.2806060142978422	0.0
ZCRB1	0.2326437862306611	0.0
G3BP2	0.3828741415536677	0.0
ZFP36	-0.12658083874053927	0.0
SAMD4A	-0.11711885048076506	0.0
HNRNPH2	-0.37568328668542933	0.0
(Intercept)	1.1954675803456496	0.0
