	Estimate	p-value
IFIH1	0.1285748461143686	0.0
CFTR	0.04555810802485807	0.0
ZFP36L2	-0.029493560084124404	0.0
RBMS3	0.3349434158471636	0.0
RBM6	-0.5643016098402656	0.0
TUT1	0.2160724422445108	0.0
SRP19	-0.15820172502775198	0.0
YBX2	0.008755458592578619	0.0
EIF4A3	-0.07397931264907302	0.0
HNRNPU	-0.353827829272345	0.0
RAVER1	0.12031645291811832	0.0
ZCRB1	0.05803527223228455	0.0
RBM3	0.2540550452321909	0.0
TRA2A	0.6248076277226231	0.0
SRSF5	0.3210216716651695	0.0
HNRNPA3	1.0319607718695192	0.0
SUPV3L1	0.39883518561312475	0.0
YBX1	0.2168686489074036	0.0
ZFP36	-0.021869022566986834	0.0
FMR1	-0.5221377859693265	0.0
SRSF3	-0.19266725932541695	0.0
RBM38	0.01015273503285019	0.0
TIAL1	0.7516456161120328	0.0
DHX9	0.8764960235584613	0.0
PUM2	-0.5993658065657159	0.0
SRSF6	-0.004543107693353254	0.0
CMTR1	-0.6212110903010932	0.0
SAMD4A	-0.05492695367507994	0.0
XPO5	0.05151512343292014	0.0
RBFOX2	0.9934629297395895	0.0
ADAR	0.05471037755772262	0.0
HNRNPLL	-0.07004828834331528	0.0
CPEB1	0.1723854033009603	0.0
ELAVL1	-0.20537281769689242	0.0
RBM8A	-0.6359866239398062	0.0
RBMX	-0.3395014453703472	0.0
QKI	-0.2125598201705472	0.0
SRSF2	0.3111489703798772	0.0
CELF2	-0.0403948358183258	0.0
DDX58	0.09153664670523334	0.0
NOVA1	-0.10471786167585073	0.0
SSB	-0.07056184109544716	0.0
PCBP1	0.29928455077587746	0.0
KHDRBS1	-0.20413310422979986	0.0
SF3B4	0.04039438916732728	0.0
PPIE	-0.049120476484752124	0.0
HNRNPM	0.07767908237091531	0.0
TARDBP	-0.7493204535769591	0.0
PUM1	-0.04226539165168669	0.0
ESRP1	0.6659285153644916	0.0
PABPN1	0.2987228648393335	0.0
SRSF10	-0.5233361797632655	0.0
ERI1	0.09801554560512937	0.0
EIF4B	-0.28049010157786614	0.0
AKAP1	-0.0766620168939331	0.0
SNRPA	-0.1660560466677306	0.0
NOVA2	0.04624054353848295	0.0
TIA1	-0.3071207747058104	0.0
AGO2	-0.12434831110016498	0.0
GRN	-0.1364289605650908	0.0
RC3H1	-0.24901151125207832	0.0
HNRNPA1	-0.08323349838226482	0.0
DAZAP1	-0.08879272297232338	0.0
NELFE	-0.3334565729844111	0.0
OAS1	-0.04865482238935681	0.0
PTBP1	0.08387091251176523	0.0
MBNL1	0.6740944360528137	0.0
CELF1	-0.10459753345613523	0.0
ACO1	0.31152671926305064	0.0
KHDRBS3	0.02409221437680767	0.0
IGF2BP2	-0.03861567715384576	0.0
HNRNPAB	0.2769768519646313	0.0
SF3B1	-0.031351621335883983	0.0
YTHDC1	-0.3645718223672991	0.0
G3BP1	-0.16387641363916522	0.0
NXF1	-0.2653917645144914	0.0
CPEB4	0.18552969548634385	0.0
DDX19B	-0.039265322272123704	0.0
ESRP2	0.553749205118608	0.0
HNRNPF	0.005017166271268275	0.0
RBM24	0.2734709948574717	0.0
IGHMBP2	0.29302914704150296	0.0
MSI1	0.02302815787985557	0.0
TRA2B	-0.22583943406180934	0.0
PABPC4	-0.41473314409975315	0.0
DHX58	0.06974112852851355	0.0
RBM5	0.5681442424337265	0.0
CELF5	0.8036802930162206	0.0
(Intercept)	-8.65389758972304	0.0
