	Estimate	p-value
KHDRBS1	-4.241333428368004	0.0
SF3B4	0.11427258741727328	0.0
PPIE	-0.38080065897126764	0.0
IFIH1	-0.19048927715519454	0.0
PCBP2	-2.7529579685306733	0.0
TARDBP	3.750431187542704	0.0
HNRNPH2	4.578095443683633	0.0
ZFP36L2	0.6457084997056511	0.0
ACO1	-0.8312792741064026	0.0
ESRP1	0.6441534741596278	0.0
GRSF1	-2.342632968779186	0.0
KHDRBS3	0.38626262249666615	0.0
IGF2BP2	-0.6717105102567112	0.0
HNRNPAB	0.2096710640627049	0.0
YBX2	-0.2980637752172699	0.0
SNRPA	-0.5304448329555916	0.0
SAMD4A	-0.15017724335002408	0.0
XPO5	-2.4846056956333658	0.0
PHAX	-2.875666655036662	0.0
G3BP1	0.561923881898146	0.0
SRP68	-1.483025206514136	0.0
FUS	2.6638492830631626	0.0
RBFOX2	0.16708514834303612	0.0
DDX58	0.3484421443004809	0.0
HNRNPLL	3.148042345013641	0.0
CPEB4	1.2729512351560444	0.0
RAVER1	1.4468724528626054	0.0
RBM42	-0.49511270457181294	0.0
CPEB1	0.013324396516610411	0.0
DDX19B	-0.37186081499702245	0.0
SRRM1	2.2162598745552087	0.0
TRA2A	-0.8767922969180638	0.0
ESRP2	-0.035917349988400384	0.0
AGO2	0.6006056948413864	0.0
FXR2	0.6157143542112985	0.0
SNRPB2	3.4730397745123462	0.0
SRP54	0.4006115026810106	0.0
PPRC1	0.7814105424253186	0.0
QKI	1.1619727229102195	0.0
NELFE	-1.0014207275654117	0.0
FMR1	-2.273046048794247	0.0
ZFP36	-0.3277069457452886	0.0
OAS1	-0.0678932873159116	0.0
SRSF3	-0.20022614417145593	0.0
RBM38	-0.10058680308898679	0.0
ZNF638	0.6602160935374024	0.0
RBM5	1.7003404495982524	0.0
RBM25	-3.6536150974948876	0.0
CELF5	-1.212571126693557	0.0
NOVA1	-1.7727200807061287	0.0
PCBP1	-1.8727177099524122	0.0
(Intercept)	-1.7968876363739827	0.0
