	Estimate	p-value
ADAR	-0.05193873332048943	0.0
ESRP2	0.8733427291400859	0.0
HNRNPM	1.0488394044749187	0.0
RBM42	-0.5229888628259182	0.0
NUDT21	-0.258616927467259	0.0
PCBP1	-0.14908683275047607	0.0
IFIH1	0.49182671612389595	0.0
SRP54	0.33665509253962295	0.0
RAVER1	0.0580439921298313	0.0
RBM3	-0.042700186623550546	0.0
G3BP1	-0.30967467705592483	0.0
CPEB4	0.0026852531395112744	0.0
AKAP1	0.07093860264147647	0.0
RBM38	0.11104956674636654	0.0
HNRNPF	0.09783405059495823	0.0
ERI1	0.3293785221544984	0.0
OAS1	-0.0018070995915041577	0.0
CFTR	0.2080645813137417	0.0
NELFE	-0.0022732931592659295	0.0
TUT1	-1.6686451586414177	0.0
DDX58	-0.19651774193636196	0.0
ESRP1	0.5168696897541045	0.0
RBM6	-0.5378081231363074	0.0
FXR2	0.47497480872747444	0.0
DHX9	-0.6669230190169557	0.0
ZFP36	0.1507995155854212	0.0
PABPN1	0.6034384314132815	0.0
HNRNPH2	-0.06714806666472087	0.0
(Intercept)	-7.773379583933636	0.0
