	Estimate	p-value
ADAR	-0.23894116155051554	0.0
NCL	-0.3204117525837643	0.0
HNRNPM	0.5888443352919264	0.0
HNRNPA3	-0.2322431192187845	0.0
NUDT21	0.19903243092945044	0.0
RC3H1	0.22798008972986303	0.0
SRP54	-0.19336230257437878	0.0
HNRNPU	0.3251605512431518	0.0
HNRNPH3	-0.3076968676067107	0.0
RBMS1	0.08004410140441631	0.0
SNRPA	0.29146966667623414	0.0
SRSF5	-0.007200427236199458	0.0
RBFOX2	0.44424421851789275	0.0
PHAX	-0.28026112019467364	0.0
CELF1	-0.3690990382974949	0.0
SRSF1	0.14445143743559227	0.0
OAS1	-0.002615110431050711	0.0
KHDRBS1	-0.463550665766503	0.0
CELF5	-0.2697232003847988	0.0
TUT1	-0.2697652430787103	0.0
EIF4A3	-0.008335423149692656	0.0
ESRP1	0.5961791422148082	0.0
RBM24	-0.05750121198354771	0.0
NONO	0.01887016912905419	0.0
CPEB2	-0.06660837380500428	0.0
HNRNPL	-0.24137678837892462	0.0
ELAVL1	-0.22295227423302758	0.0
HNRNPK	0.37541602352235615	0.0
CELF2	-0.09214667327529866	0.0
RBMS3	0.005432815812367514	0.0
SNRPB2	-0.3122008159883938	0.0
XPO5	-0.008791661108179083	0.0
TARDBP	0.4070462753358517	0.0
DHX58	0.0718667341915657	0.0
CSTF2	0.38034360810925416	0.0
ZFP36L2	-0.03886972005338951	0.0
RBM3	-0.016561709864248653	0.0
IGHMBP2	0.11671963052862507	0.0
RBM25	0.1349755162769077	0.0
CELF4	0.04478342060658844	0.0
PABPC1	0.04489447027460536	0.0
MSI1	-0.06963282633475149	0.0
SRSF6	-0.018875640891296043	0.0
AKAP1	-0.1689857762375196	0.0
HNRNPF	0.14058342381905298	0.0
SRRM1	0.21683691008642283	0.0
KHDRBS3	-0.18242983453106376	0.0
PPIE	0.216704241692372	0.0
GRN	0.10412455564982083	0.0
DDX58	0.17627426373480443	0.0
PPRC1	0.13225346173802144	0.0
PUM2	0.46199504652523016	0.0
PCBP2	0.003947445615470252	0.0
RBM8A	-0.04565249560501761	0.0
ZFP36	0.07319167302577131	0.0
PABPN1	0.10282681992170967	0.0
DDX19B	-0.33284722208313755	0.0
HNRNPH2	0.13499071221435208	0.0
ESRP2	0.40121345478227705	0.0
SRP19	0.12302514323231466	0.0
HNRNPAB	-0.25684411895645287	0.0
RBMX	-0.3373184536103733	0.0
AGO1	-0.2096702239945533	0.0
YBX2	0.022487889911334158	0.0
CNOT4	-0.03634238405805078	0.0
PABPC4	-0.18267056073766258	0.0
RALY	0.27913003692188376	0.0
RBM42	-0.18006560267267427	0.0
TRA2A	0.34162874156872497	0.0
SRSF2	-0.20473883771057827	0.0
NXF1	0.26890744976572295	0.0
FUS	0.1214341513755098	0.0
SRP68	0.1180932748992829	0.0
RAVER1	0.08264202450642724	0.0
IGF2BP2	-0.04607397545069018	0.0
FXR1	0.30395199773941667	0.0
HNRNPA0	-0.05773417576341042	0.0
SRP14	-0.21395636883374214	0.0
CMTR1	-0.18932296338092708	0.0
TIAL1	0.16088102506300694	0.0
SRSF3	-0.31062848362976764	0.0
G3BP1	0.18307465336433773	0.0
PUM1	-0.6697915292765764	0.0
CPEB4	-0.06923237287796533	0.0
SP1	-0.4324057335727335	0.0
SFPQ	0.36404873846554914	0.0
MBNL1	0.31258867536164053	0.0
YTHDC1	-0.2362677306328988	0.0
RBM38	-0.22149031499768204	0.0
SF3B4	0.07162536486439286	0.0
SRSF9	-0.19467126927974968	0.0
TRA2B	0.5217298664109543	0.0
ZNF638	-0.14944438017685135	0.0
CFTR	-0.052801538999118554	0.0
RBM5	-0.22614057944252478	0.0
QKI	-0.14389931694566518	0.0
SART3	0.20271164346281267	0.0
RBM6	-0.2705522141508816	0.0
U2AF2	0.004625363882262368	0.0
HNRNPC	0.05709606555803634	0.0
PTBP1	-0.16821043396992752	0.0
SRSF7	-0.12521125733738026	0.0
TIA1	-0.18603193703559312	0.0
HNRNPA2B1	-0.1362567224251895	0.0
ACO1	-0.17909987394486715	0.0
EIF4B	-0.059331033126863	0.0
SSB	0.1699809591471333	0.0
KHSRP	-0.12992897115037624	0.0
RBM14	-0.45349758542345664	0.0
HNRNPH1	0.0053349336269761655	0.0
NOVA2	-0.049987208696622994	0.0
SRSF4	0.3604813651969937	0.0
YBX1	0.10502783966072396	0.0
HNRNPLL	-0.44111722007834503	0.0
SYNCRIP	0.4070096162695539	0.0
ERI1	-0.09566387368358992	0.0
CPEB1	-0.1105276949670277	0.0
FMR1	-0.15653472946827107	0.0
NELFE	-0.30776413887847776	0.0
SUPV3L1	-0.2135762099529533	0.0
SRSF10	-0.3385334818012462	0.0
NOVA1	0.20453864338397168	0.0
FXR2	0.02497342884658922	0.0
DHX9	0.1844328951881799	0.0
G3BP2	0.11639389824119868	0.0
SAMD4A	0.0770972278250679	0.0
HNRNPA1	-0.04334711247977685	0.0
(Intercept)	-1.0678988365411115	0.0
