	Estimate	p-value
NCL	1.3421790558876545	0.0
HNRNPM	1.0077626286500136	0.0
HNRNPA3	0.1799198451700329	0.0
NUDT21	-0.3619743959368381	0.0
PCBP1	-0.10802527063130352	0.0
RC3H1	-1.1512071073887693	0.0
SRP54	0.6754683209772225	0.0
HNRNPU	1.1424379428789484	0.0
HNRNPH3	0.8753306048722946	0.0
RBMS1	-1.1145703367035176	0.0
SRSF5	-1.2608402915782186	0.0
PHAX	-1.4475888778613903	0.0
SRSF1	-1.5418609685541562	0.0
KHDRBS1	-3.773641257942857	0.0
CELF5	-1.3416558527998672	0.0
TUT1	0.9712230160451713	0.0
EIF4A3	0.03440248809973334	0.0
ESRP1	0.7824740115679942	0.0
ZCRB1	0.0362737150268308	0.0
CPEB2	0.5193043740574596	0.0
HNRNPL	1.8257468692849128	0.0
ELAVL1	1.0527276139226902	0.0
CELF2	0.0617235718603204	0.0
RBMS3	0.26761742500115954	0.0
SNRPB2	0.5658052041305175	0.0
XPO5	-0.6794221451957435	0.0
DHX58	0.08889916794216152	0.0
CSTF2	-0.12202078108122016	0.0
RBM3	0.07108275493335264	0.0
IGHMBP2	0.08048812908465308	0.0
RBM25	0.6256194816298557	0.0
PABPC1	-0.5091889663346107	0.0
MSI1	0.1641652345684142	0.0
SRSF6	-0.749574123916981	0.0
AKAP1	-0.04378592848908058	0.0
SRRM1	0.7416764620362599	0.0
KHDRBS3	-0.4648677125715397	0.0
PPIE	0.3901287298258496	0.0
GRN	0.4485618053298568	0.0
DDX58	-0.08038316181238464	0.0
PPRC1	0.4984954629149363	0.0
PUM2	0.46786577685981456	0.0
SNRNP70	0.3403855199382246	0.0
PCBP2	-1.2729912656895006	0.0
RBM8A	-1.4772669144752681	0.0
ZFP36	-0.7605643265219397	0.0
PABPN1	-1.0390785736888486	0.0
DDX19B	0.30183068392054757	0.0
HNRNPH2	-0.23941689208956063	0.0
ESRP2	-0.009649442030659428	0.0
SRP19	2.030477427386955	0.0
HNRNPAB	0.07509647178657025	0.0
AGO1	-0.12205875449519893	0.0
YBX2	0.2847497821335837	0.0
PABPC4	0.09194012968071785	0.0
RALY	-0.5290352966655238	0.0
TRA2A	-0.6171908227072173	0.0
SF3B1	-0.1910500851759679	0.0
SRSF2	0.9399661874204913	0.0
FUS	-0.3389615263120016	0.0
IGF2BP2	0.2528561189060152	0.0
HNRNPA0	-0.09211317747280198	0.0
CMTR1	0.8082268339685443	0.0
SRSF3	2.7864834152600366	0.0
G3BP1	0.4383576274258839	0.0
PUM1	1.367560262683522	0.0
CPEB4	0.4491551095311387	0.0
SP1	0.18838481709104615	0.0
RBM38	0.350715597030953	0.0
YTHDC1	-0.04633598840954323	0.0
MBNL1	0.3445024303395233	0.0
SF3B4	-0.017738180256545957	0.0
TRA2B	-0.908827308631544	0.0
AGO2	-0.5478041455085507	0.0
CFTR	0.12530643378566197	0.0
RBM5	-0.3174812190901172	0.0
QKI	-0.7897024911792792	0.0
SART3	0.5982315405269416	0.0
RBM6	1.0877542873339519	0.0
U2AF2	0.5706931488147449	0.0
SRSF11	0.9446085285273761	0.0
PTBP1	-1.4117232797761414	0.0
SRSF7	-0.8749625225661739	0.0
TIA1	0.10075856134085748	0.0
HNRNPA2B1	-1.751629288964553	0.0
ACO1	0.18227706794108145	0.0
EIF4B	0.854792005509672	0.0
IFIH1	-0.4717623616659714	0.0
HNRNPH1	0.741384651386348	0.0
HNRNPD	0.49218300680057947	0.0
NOVA2	-0.13476883835455467	0.0
SRSF4	-0.13774500009572566	0.0
SYNCRIP	0.9578004226829194	0.0
ERI1	-0.24163652206459424	0.0
CPEB1	-1.267674730685731	0.0
NELFE	1.5318513599493633	0.0
SUPV3L1	-0.8321832247984156	0.0
NOVA1	-1.3837383724618344	0.0
FXR2	-0.022824516688017438	0.0
DHX9	0.34818020951535456	0.0
G3BP2	-0.08773349548826759	0.0
SAMD4A	0.2582211028120689	0.0
(Intercept)	-17.5718999644863	0.0
