	Estimate	p-value
CPEB2	0.19047412044872433	0.0
IFIH1	0.10289075318346241	0.0
PCBP2	-0.078349668293683	0.0
CFTR	0.007972402756281194	0.0
ZFP36L2	0.17951274825928284	0.0
SRSF1	-0.07567412222269287	0.0
RBMS3	-0.12771104811883824	0.0
NUDT21	0.02749790232948436	0.0
RBM6	0.23553111350532213	0.0
TUT1	0.21752515955590923	0.0
SRP19	0.24150515881324977	0.0
YBX2	-0.030669470823565748	0.0
EIF4A3	0.08857481898403682	0.0
SART3	-0.2639299905931013	0.0
ZRANB2	-0.17453606144494382	0.0
RBM3	-0.03662244819116625	0.0
FXR1	0.16844518288419702	0.0
TRA2A	0.19826791613871037	0.0
HNRNPA3	0.6179419940165559	0.0
SUPV3L1	-0.10087647138005698	0.0
SNRPB2	-0.2316496989360264	0.0
KHSRP	0.08142103907520937	0.0
SRSF4	0.2926257253475486	0.0
PPRC1	0.13214737348027006	0.0
YBX1	-0.24183826282574084	0.0
ZFP36	-0.09266805530529794	0.0
SRSF3	0.28294578618946264	0.0
RBM38	0.1682696359116432	0.0
SP1	-0.5417527000569762	0.0
CSTF2	0.22267727831802986	0.0
CMTR1	-0.08810694394521423	0.0
XPO5	0.08977348204569593	0.0
RBFOX2	-0.26176063889147805	0.0
HNRNPLL	0.2125614441398819	0.0
ADAR	-0.15182913931090586	0.0
RBM14	-0.49218268757449674	0.0
CPEB1	0.47643620432120215	0.0
CNOT4	0.19425138806329031	0.0
ELAVL1	0.3907563923311007	0.0
RBMX	1.952751436534093	0.0
CELF2	-0.2461747817283676	0.0
HNRNPA0	0.03676129289747357	0.0
DDX58	0.06839629590226415	0.0
RBM25	0.020113525617238504	0.0
NOVA1	0.1139875684491754	0.0
SSB	-0.04268223965292026	0.0
KHDRBS1	0.014898103529343364	0.0
SF3B4	-0.10338801344718054	0.0
PPIE	-0.006247645285418102	0.0
NONO	-0.11742701985281848	0.0
PUM1	0.5338969603204349	0.0
GRSF1	0.05283275564610779	0.0
ESRP1	0.18487475128630537	0.0
SNRNP70	0.05240495250523684	0.0
PABPN1	-0.323112329157627	0.0
SRSF10	-0.831786909179542	0.0
ERI1	0.08338881106728009	0.0
AKAP1	0.33470536266026496	0.0
SNRPA	0.5050266128565936	0.0
SYNCRIP	0.012628326639914422	0.0
PHAX	-0.17003053316394867	0.0
FUS	-0.3476637836733104	0.0
SRRM1	0.5225604404371538	0.0
NOVA2	-0.34920403961121677	0.0
TIA1	0.17750515979092782	0.0
HNRNPH3	-0.051402026588932684	0.0
AGO2	-0.22148490726459152	0.0
GRN	-0.030835567743089543	0.0
RC3H1	0.20702474688362757	0.0
HNRNPL	-0.8315476687298782	0.0
SRP54	-0.28753290071375337	0.0
HNRNPA1	-0.30909978809877703	0.0
NELFE	0.5800416603344167	0.0
OAS1	-0.21595874804177867	0.0
SRSF9	0.5166968195919156	0.0
MBNL1	-0.30976545233159	0.0
CELF1	0.5131467343000922	0.0
HNRNPH2	0.07265605002196579	0.0
G3BP2	-0.17178653675480238	0.0
HNRNPD	-0.5771713173704794	0.0
KHDRBS3	0.3327179797033945	0.0
HNRNPA2B1	-0.09927360195674381	0.0
IGF2BP2	0.14279714403568666	0.0
HNRNPAB	-0.160024071158817	0.0
SF3B1	-0.3489563404013334	0.0
YTHDC1	0.5007147744350322	0.0
NCL	-0.012101719781965628	0.0
RBMS1	-0.14944612791452472	0.0
G3BP1	-0.034390140785547446	0.0
PABPC1	-0.04284614489049682	0.0
CPEB4	0.6126320334828687	0.0
DDX19B	0.13801075300998675	0.0
HNRNPC	-0.20265245864098475	0.0
SRSF11	0.0999656505462155	0.0
ESRP2	-0.06165616078596203	0.0
U2AF2	-0.1868007743368682	0.0
RALY	-0.5631334718576197	0.0
HNRNPF	0.1042721593312802	0.0
RBM24	-0.029418092690777387	0.0
MSI1	-0.16126269378618346	0.0
PABPC4	0.10213173021001086	0.0
TRA2B	-0.09199973266292949	0.0
DHX58	0.12929229591247482	0.0
ZNF638	-0.537108319084568	0.0
RBM5	-0.23406151990843704	0.0
CELF5	0.22210695159716998	0.0
(Intercept)	-4.397522568107165	0.0
