	Estimate	p-value
CFTR	0.13671634561656362	0.0
ZFP36L2	-0.07135862458492781	0.0
ACO1	0.7064709417882532	0.0
NUDT21	-0.22688007466900745	0.0
KHDRBS3	0.3141893916029805	0.0
RBM6	0.1973725818695305	0.0
YBX2	0.03421347454118784	0.0
AKAP1	0.20904248580758916	0.0
SNRPA	0.5022966642125621	0.0
RBFOX2	-0.12739810100188087	0.0
PABPC1	-0.34287505687264974	0.0
RBM14	0.20471670388106222	0.0
RBM3	0.10443315259255039	0.0
CPEB1	-0.5252677586216742	0.0
ESRP2	-0.21732667385771176	0.0
RBM24	-0.906171987834077	0.0
IGHMBP2	0.7013520689687999	0.0
MSI1	-0.03908984590480472	0.0
QKI	-0.13098115583430853	0.0
TRA2B	0.7671271098655956	0.0
NELFE	0.2926586121709944	0.0
CELF2	-0.6765107717755047	0.0
OAS1	0.04996643552288084	0.0
RBM38	-0.17929842808663202	0.0
(Intercept)	-7.342475674758534	0.0
