	Estimate	p-value
CPEB2	0.18068799133433786	0.0
CFTR	0.027973194002234608	0.0
ZFP36L2	0.06952797800648369	0.0
SRSF1	-0.10418259428108426	0.0
RBMS3	0.13146629072428115	0.0
NUDT21	-0.26109318456317543	0.0
RBM6	-0.10474166069704013	0.0
TUT1	0.38145171022644675	0.0
SRP19	0.28563076190433956	0.0
EIF4A3	-0.16706351226817323	0.0
SART3	-0.26704356870057755	0.0
ZCRB1	0.15653153522818203	0.0
SRSF5	0.2910044117713157	0.0
CELF4	-0.22460606299065702	0.0
SNRPB2	-0.12072287257425224	0.0
FXR2	-0.19765191077433625	0.0
ZFP36	0.004536990530342372	0.0
SP1	-0.07292409770855858	0.0
TIAL1	0.07442168655353684	0.0
SRSF6	-0.064943667017819	0.0
CSTF2	0.23599660091831864	0.0
SAMD4A	-0.06778360604525635	0.0
XPO5	0.18203507062628077	0.0
RBFOX2	-0.228636231168105	0.0
ADAR	-0.0062071896821502826	0.0
RBM14	-0.13863391806397413	0.0
AGO1	-0.22591617594888413	0.0
CNOT4	0.2545895443855088	0.0
RBM8A	-0.23131958128898447	0.0
RBMX	0.3430107747431208	0.0
QKI	-0.4128106684588635	0.0
CELF2	0.09490506343379035	0.0
SSB	-0.19651068410633593	0.0
KHDRBS1	0.26714347113409737	0.0
SF3B4	-0.019583617494192518	0.0
HNRNPM	0.0558984200859477	0.0
NONO	0.04022955718848589	0.0
PUM1	0.39129138474027975	0.0
ESRP1	-0.005329740269987643	0.0
GRSF1	0.16982257469757656	0.0
SNRNP70	0.010137779719956552	0.0
PABPN1	-0.40714856703685665	0.0
ERI1	0.12402509759854019	0.0
EIF4B	-0.18034083037020687	0.0
AKAP1	0.5507755623110606	0.0
PHAX	0.10186746756296816	0.0
SRP68	0.06734053660075028	0.0
SRP14	-0.01830663089621648	0.0
NOVA2	-0.6134532999620986	0.0
TIA1	0.21164878537746093	0.0
AGO2	-0.05065406787865337	0.0
SRP54	0.11922511847316118	0.0
HNRNPA1	0.1404982045998444	0.0
OAS1	-0.12771518975206944	0.0
SRSF9	0.5904758294764412	0.0
MBNL1	-0.12300274171815528	0.0
CELF1	0.5319917688134526	0.0
ACO1	0.06775872297646773	0.0
G3BP2	0.1617017827082741	0.0
KHDRBS3	0.18734284114413274	0.0
IGF2BP2	0.08937651910722116	0.0
HNRNPAB	0.13239196425481914	0.0
NCL	-0.35685408390653595	0.0
RBMS1	0.0819853929041452	0.0
PABPC1	-0.030370788214549596	0.0
CPEB4	-0.25928411057067147	0.0
SRSF11	0.051012028947523755	0.0
ESRP2	0.12903340548542924	0.0
RALY	-0.3322160047775398	0.0
RBM24	-0.20641440705923064	0.0
IGHMBP2	0.24026983175009503	0.0
MSI1	-0.0001498179336236749	0.0
PABPC4	0.07672977539135992	0.0
DHX58	0.10547308478696832	0.0
ZNF638	0.16796829409209293	0.0
CELF5	0.2982832922597186	0.0
(Intercept)	-8.620356173509366	0.0
