	Estimate	p-value
CELF2	-0.4756523964242057	0.0
SNRPB2	-0.07151809910006413	0.0
TARDBP	0.05802585313053524	0.0
PCBP1	-0.5865541710945718	0.0
RAVER1	-0.031015081761322894	0.0
SRP14	0.44488978533718404	0.0
SNRPA	-0.20350340549949708	0.0
RBFOX2	-0.3312414049095919	0.0
SRSF3	-0.16511367537911842	0.0
CPEB4	-0.5376515523940392	0.0
SP1	0.1646049136240043	0.0
MBNL1	-0.27356578722994485	0.0
PPIE	-0.10433292052280055	0.0
NELFE	0.255844790593182	0.0
TUT1	0.19511994930578525	0.0
SUPV3L1	0.11771193951011924	0.0
DAZAP1	0.44908386280475976	0.0
EIF4A3	0.37646048018252826	0.0
QKI	0.46733466497407	0.0
RBM24	0.01622986955226831	0.0
ESRP1	0.5990274096217427	0.0
SNRNP70	0.012195017816898038	0.0
RBM8A	-0.0761027566382291	0.0
ZFP36	-0.048260242605301464	0.0
PABPN1	-0.23409866823060463	0.0
(Intercept)	-2.478875660608752	0.0
