	Estimate	p-value
CPEB2	-2.010879183674362	0.0
TIAL1	0.09158025990560859	0.0
SRSF7	-2.774458266268234	0.0
CFTR	0.5133300914685526	0.0
HNRNPH2	1.2442818093955235	0.0
ZFP36L2	0.14116424011505627	0.0
ACO1	-2.10415058523307	0.0
ESRP1	1.037862409252762	0.0
IGF2BP2	-2.131616189791998	0.0
SRSF6	-0.5134751897903084	0.0
TUT1	-0.4673997939499728	0.0
EIF4B	3.764166863135622	0.0
SAMD4A	0.6741042377100379	0.0
RBMS1	2.189065656559855	0.0
RBM3	0.5503764908538995	0.0
HNRNPH3	-1.3722476899922098	0.0
SRSF5	1.1772247599851793	0.0
ESRP2	0.8640426242304533	0.0
HNRNPA3	0.8833063097245816	0.0
HNRNPF	0.12718483360460175	0.0
SUPV3L1	1.3104825660787505	0.0
GRN	2.766089971104504	0.0
FXR2	-4.82882990155075	0.0
SRSF4	0.038962548962283516	0.0
MSI1	-1.619730085159871	0.0
QKI	-0.012477939152960998	0.0
YBX1	-1.5007252231408	0.0
HNRNPA0	-3.0014781988827446	0.0
RBM38	-0.9104444620350347	0.0
CELF5	0.54132330338409	0.0
NOVA1	0.038020032330303655	0.0
SSB	3.0254528144779598	0.0
(Intercept)	-10.754913722820978	0.0
