	Estimate	p-value
SF3B4	0.005216535579377454	0.0
PPIE	0.6216686072671054	0.0
PCBP2	-0.6452326864566145	0.0
CFTR	-0.11519066131895223	0.0
ZFP36L2	0.18090691915213186	0.0
ACO1	-0.5776174750457848	0.0
ESRP1	0.9991596971525079	0.0
G3BP2	0.07779452431785472	0.0
GRSF1	0.8316974767998679	0.0
NUDT21	0.4211960584196418	0.0
KHDRBS3	-0.48290418863847223	0.0
IGF2BP2	0.14251060147677974	0.0
SNRNP70	0.805356360135426	0.0
PABPN1	0.0562683967446056	0.0
HNRNPAB	0.21034637440567078	0.0
TUT1	-1.1769213748333083	0.0
YBX2	0.24064031623601223	0.0
SNRPA	-0.2553809195961534	0.0
SYNCRIP	0.7584537257770403	0.0
PHAX	-0.1259941989827631	0.0
NXF1	0.19223059909436768	0.0
EIF4A3	0.9212557512552112	0.0
PABPC1	0.568825756534965	0.0
HNRNPLL	-0.6087681389474564	0.0
RBM42	1.2358040523176244	0.0
CPEB4	-0.29377048295402614	0.0
ZCRB1	0.7037429344362646	0.0
CPEB1	-0.23716280487886277	0.0
NOVA2	0.46606872988541975	0.0
RBM14	-0.3848696852247382	0.0
SF1	0.8166455630899254	0.0
SRSF11	0.6857205887220617	0.0
HNRNPH3	-0.25375627320429683	0.0
ESRP2	0.8665551086521016	0.0
AGO2	0.14712336196051778	0.0
RALY	-0.6132187682639015	0.0
SUPV3L1	-1.1087482682662821	0.0
RBM24	-0.2839044871222406	0.0
FXR2	-0.3773512718080645	0.0
IGHMBP2	0.05495057147679508	0.0
SRP54	0.2636135346642766	0.0
MSI1	-0.8760782844810195	0.0
PPRC1	-0.32300370726893074	0.0
QKI	-0.19635176480406025	0.0
PABPC4	-0.1499838333598886	0.0
NELFE	-0.10703063797266057	0.0
YBX1	-0.26727892705568324	0.0
ZFP36	0.1172502613666444	0.0
CELF2	0.2504448722119093	0.0
OAS1	-0.36092350679506907	0.0
SRSF9	-0.3212712024844768	0.0
PTBP1	-1.7310849637885464	0.0
ZNF638	-0.6438074388497111	0.0
RBM5	-1.4660620214387277	0.0
MBNL1	0.22360528696829782	0.0
PCBP1	-0.36141439787334934	0.0
(Intercept)	-3.4930985061876076	0.0
