	Estimate	p-value
ZFP36L2	1.0292066837536633	0.0
PUM1	-0.7198493528835777	0.0
ESRP1	1.2684646036211413	0.0
G3BP2	-0.12862504248162082	0.0
IGF2BP2	0.46120371933604376	0.0
PABPN1	-0.7051768744345682	0.0
ERI1	-0.008442162037524771	0.0
TUT1	1.1548159176191692	0.0
YBX2	0.39901282628829776	0.0
SNRPA	-0.9655909484281299	0.0
SYNCRIP	0.7722437600704626	0.0
RBFOX2	-0.4011674455669462	0.0
RBM42	0.2572923372878036	0.0
RAVER1	0.25658153287735713	0.0
ESRP2	0.751843130219869	0.0
RALY	-1.1485755421207424	0.0
RBM24	0.1849050912292598	0.0
SNRPB2	0.492071585772895	0.0
CELF2	0.16712063318079573	0.0
ZFP36	0.078281873264362	0.0
SRSF9	0.6377193439228702	0.0
RBM38	-0.5044800244705534	0.0
CELF5	-0.8095310778506827	0.0
PCBP1	0.03575504982287553	0.0
(Intercept)	-8.237897258100285	0.0
