	Estimate	p-value
ADAR	-0.29296346336987844	0.0
NCL	0.16733620646842842	0.0
HNRNPM	1.0862701872471932	0.0
HNRNPA3	-0.9596758123872984	0.0
NUDT21	1.0639495297827686	0.0
PCBP1	0.8530432092613343	0.0
RC3H1	-0.2260335039503278	0.0
SRP54	0.10179149136016724	0.0
HNRNPH3	0.13657284552103655	0.0
RBMS1	-1.1193410245611517	0.0
SNRPA	0.5779224807718519	0.0
SRSF5	-1.142304708765771	0.0
RBFOX2	-0.3737280899830661	0.0
PHAX	-1.8495876686102253	0.0
CELF1	-0.8313411882023356	0.0
SRSF1	-0.695723456401089	0.0
OAS1	0.22455814252264894	0.0
CELF5	-0.571093659474274	0.0
TUT1	-0.6704019192752804	0.0
EIF4A3	-0.8904416853919446	0.0
ESRP1	-0.2067609805499354	0.0
RBM24	0.625575486946407	0.0
ZCRB1	0.14133776383537433	0.0
NONO	0.3372202581628927	0.0
CPEB2	1.0692690042709683	0.0
HNRNPDL	1.2616220594242946	0.0
ELAVL1	-1.3769595280535067	0.0
HNRNPK	1.2887892903074267	0.0
CELF2	0.16199805441255272	0.0
RBMS3	0.08439697557138609	0.0
ZRANB2	-0.5369014638650959	0.0
TARDBP	2.307258684446456	0.0
DHX58	0.06578528308147802	0.0
CSTF2	-0.06298259479258916	0.0
ZFP36L2	0.7079591580277343	0.0
RBM3	0.5134494993185809	0.0
IGHMBP2	-0.6267108312071328	0.0
RBM25	-0.081666001013601	0.0
CELF4	0.4935112565464832	0.0
PABPC1	-0.36814778871639764	0.0
SRSF6	-0.49996732049656134	0.0
GRSF1	1.2476431168561168	0.0
AKAP1	0.05053457606104361	0.0
HNRNPF	1.0503827975658415	0.0
SRRM1	0.369940656331588	0.0
KHDRBS3	-0.12135319540039025	0.0
PPIE	-0.003593481515546948	0.0
GRN	1.0738743256145418	0.0
DDX58	0.7413310979190539	0.0
PPRC1	-0.8157149200086312	0.0
PUM2	0.6556239853340492	0.0
SNRNP70	-0.28983321936681505	0.0
PCBP2	-1.4520996830953674	0.0
RBM8A	-1.0214637075147721	0.0
PABPN1	0.516532535345315	0.0
DDX19B	-0.5859842380595986	0.0
ESRP2	0.37399383603074976	0.0
HNRNPAB	2.1291586685363426	0.0
RBMX	0.46996102365238	0.0
SF1	0.6543065765077343	0.0
AGO1	-0.2813486637053364	0.0
YBX2	-0.01892013250168656	0.0
PABPC4	1.0469834142689876	0.0
CNOT4	-1.4671271951408245	0.0
RALY	-1.2471135480047366	0.0
SF3B1	-1.5062678692096418	0.0
NXF1	-1.7073562160992615	0.0
FUS	-0.3945175749620922	0.0
SRP68	-0.2582312297237893	0.0
IGF2BP2	-0.20643217324649496	0.0
FXR1	3.399307265311385	0.0
HNRNPA0	-0.5355284630498112	0.0
CMTR1	-0.14596768500966317	0.0
SRP14	-0.7696839214987801	0.0
TIAL1	-0.5606599075230406	0.0
SRSF3	0.5772946461272801	0.0
G3BP1	0.5079311082859359	0.0
PUM1	1.4331754958607206	0.0
CPEB4	0.08036394710956579	0.0
SP1	0.27801333040343734	0.0
SFPQ	-0.8280586390958644	0.0
RBM38	0.39276525616928115	0.0
YTHDC1	-1.1857516883464023	0.0
MBNL1	-0.9797081292992194	0.0
SF3B4	-1.1471100318875327	0.0
ZNF638	0.0075482871613383185	0.0
AGO2	0.6743482926731257	0.0
CFTR	0.12112345377218436	0.0
RBM5	0.5856246976482008	0.0
QKI	-1.8064927339871009	0.0
SART3	0.1477842705123258	0.0
RBM6	0.04710325857229836	0.0
U2AF2	-1.3210434284563985	0.0
HNRNPC	-0.4637925077721532	0.0
SRSF11	2.3730474433166036	0.0
PTBP1	2.803846221538253	0.0
SRSF7	0.4346175404706893	0.0
TIA1	-1.1267557626168112	0.0
HNRNPA2B1	0.6840391304964921	0.0
ACO1	-1.216323733802891	0.0
SSB	-0.48736361216389434	0.0
RBM14	-1.1294966493867438	0.0
IFIH1	-1.0115928681278286	0.0
HNRNPD	1.157717560027562	0.0
SRSF4	-2.310079675472764	0.0
YBX1	-0.6488639229306983	0.0
HNRNPLL	0.8727211154540729	0.0
SYNCRIP	-1.4189136033937901	0.0
ERI1	0.6474518962915554	0.0
CPEB1	0.212457442754231	0.0
FMR1	-0.17025410262947793	0.0
NELFE	-1.1500005484431064	0.0
SUPV3L1	-0.40160914908781686	0.0
SRSF10	0.6568248835200401	0.0
FXR2	-0.7289650439822268	0.0
G3BP2	-2.116356758598805	0.0
HNRNPA1	-1.7415282398893788	0.0
(Intercept)	22.059000011899485	0.0
