	Estimate	p-value
CPEB2	0.20978265300743093	0.0
PPIE	0.5312169016903007	0.0
CFTR	0.1607130410242884	0.0
NONO	0.6745456347594939	0.0
PUM1	0.38404077135394693	0.0
ESRP1	0.1513624374322849	0.0
GRSF1	0.3221875770549169	0.0
ACO1	0.1672722260222218	0.0
KHDRBS3	0.20763864686065717	0.0
IGF2BP2	0.07031588110121925	0.0
SRP19	0.2893439098616086	0.0
CMTR1	-0.3580710511946174	0.0
YBX2	-0.2776096322462018	0.0
AKAP1	0.40999131794661603	0.0
SAMD4A	0.2740933903409251	0.0
RBMS1	0.46507878057868973	0.0
EIF4A3	-0.6196623602606144	0.0
RBFOX2	0.0650393547223763	0.0
ADAR	-0.2632834437707163	0.0
SRRM1	0.2839117044854633	0.0
DDX19B	-0.5107542785462262	0.0
NOVA2	-0.49503757221381267	0.0
TRA2A	0.18032577929832666	0.0
SRSF11	0.04371076568085325	0.0
HNRNPH1	0.18086553250596402	0.0
SRP54	-0.4475848786313732	0.0
MSI1	-0.10118938197079541	0.0
PPRC1	0.20080171239327138	0.0
QKI	-0.5500911983352291	0.0
PABPC4	-0.04466311734483846	0.0
NELFE	0.5791421583349096	0.0
YBX1	0.18647138713955375	0.0
ZFP36	0.013036546116554276	0.0
OAS1	-0.026787291767682558	0.0
RBM38	-0.249104045455397	0.0
MBNL1	-0.037875291278772504	0.0
(Intercept)	-11.81761637333251	0.0
