	Estimate	p-value
NCL	0.16641793878195363	0.0
HNRNPA3	-0.006462160917005452	0.0
SRP54	0.15613355059134787	0.0
HNRNPH3	-0.21527733341190008	0.0
RBMS1	0.4150920700519186	0.0
RBFOX2	-0.2774666259758983	0.0
CELF1	0.24894747350371577	0.0
OAS1	0.01096964422797761	0.0
ESRP1	0.11919003499350822	0.0
NONO	0.24441427003460803	0.0
CPEB2	0.13416618679256664	0.0
HNRNPL	-0.8760353294890721	0.0
ELAVL1	0.2751931858707676	0.0
HNRNPK	0.5857838609322179	0.0
CELF2	-0.28357936416400586	0.0
RBMS3	-0.2183712284745181	0.0
SNRPB2	0.07846094890307415	0.0
XPO5	-0.01163659027992342	0.0
ZRANB2	-0.18775410773416323	0.0
DHX58	0.195376049283074	0.0
ZFP36L2	-0.09259222413565638	0.0
RBM3	-0.08164878116812001	0.0
MSI1	-0.06141340250012471	0.0
GRSF1	0.35377720881538005	0.0
AKAP1	0.14819730003959666	0.0
HNRNPF	-0.08794922772827699	0.0
KHDRBS3	-0.037924571384452266	0.0
GRN	-0.20607652017469108	0.0
PPRC1	-0.049215314751526684	0.0
PUM2	0.1242162564693372	0.0
SNRNP70	0.37292946108443104	0.0
PCBP2	-0.2312728441461959	0.0
ZFP36	0.09595895057276525	0.0
PABPN1	0.06937700430482296	0.0
DDX19B	-0.11458150115352594	0.0
HNRNPH2	-0.04733266771233774	0.0
ESRP2	-0.05078702471726243	0.0
AGO1	-0.06488231068016834	0.0
YBX2	-0.05695830089420592	0.0
PABPC4	-0.054610334458279675	0.0
CNOT4	0.14071011015834373	0.0
RALY	-0.32448727139730554	0.0
TRA2A	-0.007275298547306394	0.0
NXF1	-0.4163578103716114	0.0
FUS	-0.31204068553747777	0.0
RAVER1	-0.1506107536987346	0.0
FXR1	0.16199376598813298	0.0
HNRNPA0	-0.1893775416064261	0.0
CMTR1	0.23220950282985228	0.0
SRP14	0.17616038984363527	0.0
TIAL1	-0.4103269798698277	0.0
G3BP1	-0.1852488943874066	0.0
CPEB4	-0.36308617875312643	0.0
RBM38	0.08117060699751263	0.0
MBNL1	-0.2623360083816194	0.0
TRA2B	0.10919338504266266	0.0
CFTR	0.16489966423412375	0.0
QKI	-0.06807809732154904	0.0
RBM6	0.08536387627607805	0.0
U2AF2	-0.3285490219071702	0.0
HNRNPC	-0.005413775967432893	0.0
HNRNPA2B1	0.32451332191620413	0.0
ACO1	-0.0658867927685084	0.0
EIF4B	0.03086913066685243	0.0
SSB	0.02869915444975138	0.0
IFIH1	-0.23099115334628817	0.0
HNRNPH1	0.09096455201476779	0.0
HNRNPD	-0.5319066233617576	0.0
NOVA2	-0.35014151616586586	0.0
YBX1	-0.09876209581047454	0.0
SYNCRIP	0.22853345624679644	0.0
ERI1	0.34823337356676354	0.0
FMR1	0.17727056033020686	0.0
NELFE	0.42595951780078095	0.0
FXR2	0.22501466408611956	0.0
DHX9	0.04398500679861278	0.0
SAMD4A	0.027277393860063004	0.0
(Intercept)	-1.0329015798409464	0.0
