	Estimate	p-value
TIA1	0.14821323746396647	0.0
CELF2	-0.16960756992995107	0.0
RBMX	1.1880432903276397	0.0
EIF4B	0.13031709102502634	0.0
YBX2	0.2823451023225139	0.0
NCL	-0.25446225210008566	0.0
KHSRP	-0.26470241015436025	0.0
HNRNPD	-0.7490892181632774	0.0
DHX58	-0.21747758768352732	0.0
ZFP36L2	0.7641311702249453	0.0
RAVER1	0.4509192389571677	0.0
RBM3	-0.18741741450158717	0.0
IGF2BP2	-0.29178745406053097	0.0
PABPC1	-0.2410492596647026	0.0
HNRNPA0	-0.8753252842941706	0.0
RBFOX2	-0.40376324422119236	0.0
SRSF5	0.3853614132120039	0.0
SYNCRIP	0.883401220428053	0.0
AKAP1	0.6826833422164011	0.0
KHDRBS3	0.11277248923396013	0.0
AGO2	-0.2222829005824456	0.0
GRN	-0.1534405813387276	0.0
DAZAP1	-1.099888924777724	0.0
EIF4A3	-0.4797253008615598	0.0
QKI	-0.6444134396019061	0.0
ZCRB1	0.05005503017722826	0.0
RBM6	0.7126618898818554	0.0
FXR2	-0.3015375922017695	0.0
HNRNPA1	0.46322036463532507	0.0
(Intercept)	-2.7911983265549245	0.0
