	Estimate	p-value
SRSF7	-0.09436479518578611	0.0
CFTR	0.1875716877409317	0.0
ZFP36L2	-0.0771978348695179	0.0
PUM1	0.21943915702512684	0.0
ESRP1	0.16209954709504132	0.0
G3BP2	0.3981094749360883	0.0
GRSF1	-0.35098582133091144	0.0
RBMS3	-0.0891424363625062	0.0
ACO1	-0.11844243225893698	0.0
KHDRBS3	0.37448506455718644	0.0
SRSF6	0.3724663031415043	0.0
IGF2BP2	0.39788569808445634	0.0
SNRNP70	-0.13926405940238415	0.0
HNRNPAB	-0.26486953345793773	0.0
YBX2	0.08705736706452798	0.0
AKAP1	0.12013261689387758	0.0
PHAX	0.33327201569538256	0.0
RBMS1	0.1777859366955668	0.0
SRP68	0.0792122711448535	0.0
FUS	-0.42408547873807867	0.0
PABPC1	-0.20598247188310786	0.0
CPEB4	-0.28759750879596363	0.0
RAVER1	0.09446027368463186	0.0
RBM3	0.015927946267847944	0.0
ESRP2	0.012725249220882279	0.0
CELF4	0.043241573120617494	0.0
GRN	-0.2889608247363562	0.0
HNRNPA1	0.013388129546050564	0.0
MSI1	0.01845487527162859	0.0
PPRC1	-0.3791285211482497	0.0
QKI	-0.42331270115818975	0.0
YBX1	-0.008784702112300855	0.0
CELF2	-0.33856071746121835	0.0
RBM38	0.03128288959824021	0.0
MBNL1	-0.2427341660698372	0.0
CELF5	0.4540566157236691	0.0
(Intercept)	4.694319424848267	0.0
