	Estimate	p-value
CPEB2	0.3237847088210029	0.0
SRSF7	-0.6650398274982477	0.0
IFIH1	0.3727944856674384	0.0
PCBP2	0.9111794682646958	0.0
ZFP36L2	0.1810091881142839	0.0
RBMS3	-0.5610532939839091	0.0
NUDT21	1.1777687832822559	0.0
RBM6	0.02791224031964351	0.0
TUT1	0.3396224566058418	0.0
SRP19	0.2778358181637569	0.0
YBX2	0.2648014486858217	0.0
SART3	0.4754709030757566	0.0
ZCRB1	-0.8415692024677821	0.0
RBM3	-0.019762045893090344	0.0
FXR1	0.5244969842268028	0.0
SF1	1.2381073917569072	0.0
TRA2A	0.0925503360141991	0.0
CELF4	-0.14875212604759652	0.0
HNRNPA3	-0.8759809393075774	0.0
SUPV3L1	-0.20200578616984166	0.0
SRSF4	-0.764486696336933	0.0
KHSRP	0.23718375360979943	0.0
PPRC1	0.2964870906063984	0.0
YBX1	0.15874962654650615	0.0
ZFP36	0.02496087044885187	0.0
SRSF3	-1.4623328793048516	0.0
DHX9	0.11458042477407193	0.0
SRSF6	0.4086974267302539	0.0
CSTF2	0.16112162118882223	0.0
SAMD4A	-0.2990631287241483	0.0
RBFOX2	-0.2724406091371809	0.0
ADAR	-0.5607022696635637	0.0
RBM42	1.0624242209299626	0.0
CPEB1	-0.8073235803315253	0.0
AGO1	-0.11227122787756783	0.0
RBM8A	-0.36960673954531525	0.0
RBMX	-0.7187011118652558	0.0
QKI	-0.6377953187784464	0.0
SRSF2	-0.36725728550801806	0.0
CELF2	0.1302422952675766	0.0
HNRNPA0	-0.5452839540858945	0.0
RBM25	-0.8089089367984685	0.0
NOVA1	-0.6362133071964061	0.0
SSB	0.2526836673467028	0.0
PCBP1	-1.4307930167033243	0.0
KHDRBS1	2.0509777597321266	0.0
PPIE	-0.42360090577406273	0.0
HNRNPM	-1.6020193267889395	0.0
NONO	1.4177511585812181	0.0
PUM1	-0.8348955757308476	0.0
GRSF1	-0.7614923740164232	0.0
ESRP1	-0.06849374074272863	0.0
SRSF10	0.6738573639688861	0.0
ERI1	0.1294701435240881	0.0
EIF4B	-0.37737380545550914	0.0
AKAP1	0.5133485058805445	0.0
SNRPA	-0.24786224953234398	0.0
PHAX	0.10527579420846284	0.0
SRP68	0.5669935369711906	0.0
FUS	-0.07529653415326829	0.0
SRRM1	0.03006464432239009	0.0
SRP14	0.14717410711019197	0.0
NOVA2	0.5061381803298486	0.0
HNRNPDL	0.14479613247951345	0.0
AGO2	0.08025788775653664	0.0
GRN	0.1667324255220149	0.0
RC3H1	0.0961827544269639	0.0
HNRNPA1	-0.0228484102114081	0.0
DAZAP1	0.047710150834756826	0.0
OAS1	0.050062803392864064	0.0
SRSF9	-0.025663576503163643	0.0
MBNL1	-0.8039418555204081	0.0
CELF1	0.4831777790553048	0.0
ACO1	0.13984448006327588	0.0
G3BP2	0.5928194119591352	0.0
KHDRBS3	0.04268001261417151	0.0
HNRNPAB	0.1946187139197415	0.0
RBMS1	-0.15165733977741025	0.0
NXF1	0.49008186597550213	0.0
PABPC1	-0.47144491801217664	0.0
CPEB4	0.5346972093524307	0.0
HNRNPC	-0.31415537648025726	0.0
SRSF11	0.484181193422211	0.0
ESRP2	-0.7370656378606951	0.0
RALY	0.04555111219793671	0.0
RBM24	0.3883297487548179	0.0
HNRNPH1	0.1481775463132764	0.0
IGHMBP2	0.5143500527782916	0.0
MSI1	-0.3294465229072946	0.0
DHX58	-0.48768826451639885	0.0
ZNF638	0.9666856412373568	0.0
RBM5	-0.14171772443058145	0.0
CELF5	0.10216026684792634	0.0
(Intercept)	0.038128981949247326	0.0
